Subject Line A;Subject Line B;Target
If you're an expert in crafting;If you’re an expert in crafting, consider leading a workshop...;B
The local food pantry is running;The local food pantry is running low on supplies. We're...;B
Free Yoga Classes;Free yoga classes are being offered at the park every...;B
Car-Free Day;Our neighborhood is organizing a car-free day next month to...;B
Lost: A gold bracelet;Lost: A gold bracelet in the vicinity of Pine Street...;A
The local volunteer fire department;The local volunteer fire department is hosting an open house...;A
Attention all tech enthusiasts;Attention all tech enthusiasts: We're forming a new club to...;B
Heads Up! There Will Be a Temporary Road Closure on...;Heads up! There will be a temporary road closure on...;A
I Found a Set of House Keys Near the Fountain...;I found a set of house keys near the fountain...;B
Starting an Indoor Soccer League this Winter;We’re starting an indoor soccer league this winter and need...;B
Annual Community Potluck Next Saturday;The annual community potluck is scheduled for next Saturday at...;B
The local museum will be closed for renovations;Notice: The local museum will be closed for renovations starting...;B
If Anyone Needs Assistance;If anyone needs assistance with fall yard cleanup, our high...;B
A Lost Cat;Lost cat: A small black and white cat named Oreo...;B
Make a difference for our kids;The youth soccer league is looking for coaches and referees...;B
The local historical society is hosting a lecture;The local historical society is hosting a lecture on the...;A
Found: A Small Remote Control Car;Found: A small remote control car in the alley behind...;B
Annual Haunted House Fundraiser is Back...;The annual haunted house fundraiser is back! We're looking for...;B
Keep Sidewalks Clear of Leaves and Debris;Community service reminder: Please keep sidewalks clear of leaves and...;A
The local art gallery is seeking;The local art gallery is seeking submissions for a community...;B
Good morning, fellow residents!;Good morning, fellow residents! We're organizing a clean-up day at...;B
I Bake Custom Cakes For Any Occasion;I bake custom cakes for any occasion—birthdays, anniversaries, you name...;B
Found a Digital Camera at Ridge Trail Viewpoint;Found a digital camera at the viewpoint on Ridge Trail....;B
Volunteers Needed for the Library's Annual Book Sale;Volunteers needed for the library’s annual book sale. If you...;B
Lost: A Set of Gold-Rimmed Reading Glasses;Lost: A set of gold-rimmed reading glasses, possibly left in...;B
Anyone Interested in Joining a Weekly Meal-Prep Group?;Anyone interested in joining a weekly meal-prep group? We get...;A
Found a set of car keys in Westside Mall;Found a set of car keys in the Westside Mall...;A
We are seeking guest speakers for our monthly;We are looking for guest speakers for our monthly virtual...;B
Our local museum seeks volunteers;Our local museum is currently seeking volunteers to help guide...;A
Join us this Friday at 7 PM in the;The high school band is hosting a charity concert to...;A
The city will be repaving several roads;The city will be repaving several roads starting next week....;B
Annual Plant Swap Next Saturday at Botanical Gardens;Our annual plant swap is happening next Saturday at the...;B
My Computer Has Been Acting Up...;My computer has been acting up, and I think it...;B
The community center is offering free CPR;The community center is offering free CPR and first aid...;A
Lost: A small drone, last seen near Pine Grove Park.;Lost: A small drone, last seen near Pine Grove Park....;B
The Local Food Bank is in Urgent Need of Canned...;The local food bank is in urgent need of canned...;B
Clean the Creek;"Join us for the annual ""Clean the Creek"" day next...";B
I'm offering tutoring services for middle and high school students...;I'm offering tutoring services for middle and high school students...;B
The Photography Club is Looking for New Members!;The photography club is looking for new members! We meet...;A
Missing Cat Whiskers;"Missing cat: ""Whiskers,"" a fluffy white Persian, has been missing...";A
Seeking Donations of Old Costumes and Props;The community theater is seeking donations of old costumes and...;B
There's a computer skills workshop this Thursday.;There’s a computer skills workshop focusing on basic skills like...;B
Found a small child's bike;Found a small child's bike near the community center. It's...;B
I'm Offering Guitar Lessons;I'm offering guitar lessons in the evenings and weekends. Whether...;A
Our Local Fire Station Open House;Our local fire station will be holding an open house...;B
The Neighborhood Council is Hosting a Forum;The neighborhood council is hosting a forum to discuss upcoming...;A
A friendly reminder that property taxes are due at the...;A friendly reminder that property taxes are due at the...;B
The Local Art League is Hosting;The local art league is hosting a weekend workshop on...;B
"The annual ""Books for Kids""";"The annual ""Books for Kids"" drive is happening now. We're...";B
Attention all runners: The community 10K;Attention all runners: The community 10K race is just around...;A
Lost drone alert: I lost my drone while taking aerial...;Lost drone alert: I lost my drone while taking aerial...;B
Our local history group is seeking old;Our local history group is seeking old photographs and stories...;B
Found a smartphone in Central Park near the fountain;Found a smartphone in Central Park near the fountain. It's...;A
The evening classes in web design and digital marketing starting;The local community college is offering evening classes in web...;B
Our Community Garden Has Plots Available;Our community garden has a few plots available for the...;B
Light Up the Night;"Our annual ""Light Up the Night"" holiday parade is seeking...";B
Lost Pets: Check the Animal Shelter;If you've lost a pet, remember to check the animal...;B
The Neighborhood Association is Planning;The neighborhood association is planning a series of workshops on...;B
Free Concert in the Park this Sunday;The local symphony orchestra will be giving a free concert...;A
Volunteers needed for our annual river regatta next;Volunteers needed for our annual river regatta next month. We...;A
The Community Pool is Now Open for the Season;Reminder: The community pool is now open for the season....;A
Lost a precious silver locket at the downtown market;Lost a precious silver locket at the downtown market last...;B
The local university extension is offering a series of lectures...;The local university extension is offering a series of lectures...;B
A Note to All Dog Owners;A note to all dog owners: Please clean up after...;B
Found a pair of prescription glasses at the bus stop...;Found a pair of prescription glasses at the bus stop...;A
I lost a small gold locket;I lost a small gold locket near the central plaza...;B
Join us for our annual;"Join us for our annual ""Taste of the Town"" food...";A
A stray dog has been seen roaming near the industrial...;A stray dog has been seen roaming near the industrial...;B
The Amazing Talent Our Students Have to Offer;The high school's annual art show is open to the...;A
We're Organizing a Neighborhood Carpool System;We're organizing a neighborhood carpool system to help reduce traffic...;B
The local library is starting;The local library is starting a series of bi-weekly workshops...;A
Annual Maintenance of the Town's Water System;Please be advised that the annual maintenance of the town's...;A
A Brown Leather Briefcase Was Left;A brown leather briefcase was left in the cab of...;B
There is a community effort to restore the old;There's a community effort to restore the old mill and...;B
The High School is Collecting Donations for Drama Production;The high school is collecting donations for their upcoming drama...;A
Our Community Garden Plots Are Now Available;Our community garden plots are now available for the coming...;A
We're Looking for Volunteers;We’re looking for volunteers to help with the spring festival...;A
I Found a Set of Keys Near the Lake Trail;I found a set of keys near the lake trail,...;A
There will be a CPR;There will be a CPR and first aid training session...;A
The monthly meeting;The monthly meeting of the town council will take place...;A
The local art club is holding;The local art club is holding an outdoor painting session...;B
Our town's historical society is looking;Our town's historical society is looking for volunteers to help...;A
Missing: a Small Drone;Missing: a small drone, last seen flying over Community Park....;B
Annual Bake Sale THIS Saturday!;The community center's annual bake sale to support local homeless...;B
The road will be partially closed;The road by the elementary school will be partially closed...;B
The Local Veterans' Association Charity Run;The local veterans' association is organizing a charity run next...;A
A Silver Locket was Found;A silver locket was found in the community hall following...;B
I Just Opened a Yoga Studio;I just opened a yoga studio downtown and am offering...;A
The Community Orchestra Has Openings for Violinists and Cellists;The community orchestra has openings for violinists and cellists for...;B
"There is a recall on the ""Baker's Delight"" bread maker";There is a recall on the “Baker’s Delight” bread maker...;A
Lost Cat;Lost cat: an orange tabby with a white chest, very...;B
We Are Initiating a Neighborhood Carpool Program;We are initiating a neighborhood carpool program. If you're interested...;A
To Voice Your Opinions About a New Playground;There's a proposal to build a new playground at the...;A
The Annual Community Photo Contest;The annual community photo contest is now accepting entries. This...;B
Volunteers Needed for Downtown Clean-up Day;Volunteers are needed for the downtown clean-up day next Saturday....;B
"This month's book is ""Where the Crawdads Sing""";The local book club is looking for new members to...;B
A Reminder to All Residents;A reminder to all residents to adhere to the recycling...;A
High School Car Wash Fundraiser This Sunday;The high school track and field team is hosting a...;B
Is Anyone Interested in a Weekly Game Night?;Is anyone interested in a weekly game night? I was...;A
A New Exhibit on Regional Wildlife;There's a new exhibit on regional wildlife at the Natural...;A
The Community Health Clinic Will Be Closed Next;The community health clinic will be closed for renovations starting...;B
An orange and white bicycle was found;An orange and white bicycle was found locked outside the...;A
The Annual Food Drive Starts Next Week;The annual food drive for the local pantry starts next...;A
If Anyone Has Expertise in Repairing;If anyone has expertise in repairing old radios, the school's...;B
The local animal shelter;The local animal shelter is offering discounted adoption fees this...;A
Reminder: Property taxes are due at the end of the...;Reminder: Property taxes are due at the end of the...;A
The community soccer league is looking;The community soccer league is looking for referees for the...;B
A Wallet Was Found;A wallet was found at the bus station on Main...;B
We're launching a weekend farmers' market;We're launching a weekend farmers' market starting this Saturday in...;A
I've Been Practicing Spanish and I'm;I've been practicing Spanish and I'm looking for someone to...;B
A Small Black Notebook Lost;Lost: A small black notebook containing important research notes, last...;B
The City's Annual Jazz Festival;The city's annual jazz festival is looking for volunteers. If...;B
The public_library_discontinues_late_fees_on_children_s_books;The public library is discontinuing late fees on all children's...;B
If You're a Homeowner Interested in Installing Solar;If you’re a homeowner interested in installing solar panels, the...;B
Found a set of hiking poles near Mount Parker;Found a set of hiking poles near the trailhead of...;A
The local theatre is in need of old;The local theatre company is in need of old suitcases...;B
A free e-waste recycling event will;A free e-waste recycling event will be held at the...;A
The Community Center Hosting Budget Management Workshop;The community center is hosting a workshop on budget management...;B
Notice for Garden Enthusiasts: The Annual Flower and Garden Show;Notice for garden enthusiasts: The annual flower and garden show...;A
A local high school's robotics club;A local high school's robotics club is showcasing their projects...;A
Our local theater group is looking;Our local theater group is looking for new members to...;B
Attention Parents: The community library is starting a new;Attention parents: The community library is starting a new storytime...;B
If Anyone Is Interested In Participating;If anyone is interested in participating in a community quilt...;A
Lost during last weekend's festival: a small;Lost during last weekend's festival: a small, digital camera. It’s...;A
The Downtown Improvement Committee;The downtown improvement committee is looking for volunteers to help...;B
Our Local Theater Seeks Vintage 1920s-Style Costumes;Our local theater is looking for old 1920s-style costumes for...;B
The annual community clean-up;The annual community clean-up day is fast approaching. Gather at...;A
We have noticed an increase;We have noticed an increase in litter in the park...;A
A Reminder that the Community Potluck;A reminder that the community potluck is happening this Sunday...;A
Join a night of stargazing at Hilltop Observatory this Friday;Local amateur astronomers are invited to join a night of...;A
The youth center is in urgent need of;The youth center is in urgent need of sports equipment...;B
Exciting News for Young Parents;Exciting news for young parents and tots! Our community center...;B
I Have A Bunch Of Moving Boxes In Good Condition;I have a bunch of moving boxes in good condition...;A
A set of keys was found on Oak Avenue...;A set of keys was found this morning on Oak...;B
To Anyone With Expertise In Tree Pruning;To anyone with expertise in tree pruning: The community orchard...;A
The local swim team is hosting;The local swim team is hosting tryouts next week for...;B
If anyone is missing a drone;If anyone is missing a drone, it was last seen...;A
The Historical Society tours;The Historical Society is offering guided tours of the old...;A
Volunteers Needed: The Food Bank;Volunteers needed: The food bank is looking for help sorting...;B
Keep Your Pets on a Leash;Reminder: Please keep your pets on a leash at all...;A
The Community Garden Harvest Festival;The community garden is organizing a harvest festival next month....;B
Lost: A small drone with red markings...;Lost: A small drone with red markings, last seen near...;B
Reminder to all residents: Leaf;Reminder to all residents: Leaf and brush pickup is scheduled...;A
I'm a Retired Librarian;I'm a retired librarian and would love to start a...;B
A Reading Group for Mystery Novel Fans;A reading group is forming at the local library for...;A
The high school's annual art show;The high school's annual art show is this weekend. Come...;B
Free Health Clinic This Saturday;Free health clinic this Saturday at the community center from...;B
Attention Dog Owners: A New Dog Park;Attention dog owners: A new dog park is opening next...;B
Found: A set of house keys with a novelty guitar...;Found: A set of house keys with a novelty guitar...;A
Car wash fundraiser this Sunday from 10 AM to;Local scout troops are holding a car wash fundraiser this...;B
The Community Choir is Looking for New Members;The community choir is looking for new members. No audition...;A
Make Your Own Soap;If you're interested in learning how to make your own...;B
The local museum seeking volunteers for exhibit on history of...;The local museum is seeking volunteers for their upcoming exhibit...;A
An outdoor yoga class;An outdoor yoga class will be held every morning at...;B
I found a set of keys near the bus stop...;I found a set of keys near the bus stop...;A
Parking will be restricted on Main Street this Friday;Reminder: Parking will be restricted on Main Street this Friday...;B
Lost: A child's teddy bear;Lost: A child's teddy bear, near the fountain in Central...;A
Community Picnic to Honor Our Service Members;The local veterans' association is organizing a community picnic next...;B
The neighborhood association is calling;The neighborhood association is looking for articles and photos for...;B
A Bicycle Was Found Locked;A bicycle was found locked to a bench at the...;B
The Community Pottery Studio Open House Event;The community pottery studio is holding an open house event...;A
Volunteers Needed for Downtown Beautification Project;Volunteers are needed for the downtown beautification project this spring....;A
Lost: Prescription glasses in a black case;Lost: Prescription glasses in a black case, possibly left on...;B
A Night of Stargazing at the Observatory;The local astronomy club is hosting a night of stargazing...;A
Found a backpack containing school books;Found a backpack containing school books and a lunchbox at...;A
I'm starting a 90-day transformation;I'm starting a fitness challenge group and looking for participants...;B
A documentary film about the history of our town is...;A documentary film about the history of our town is...;B
The annual River Run 5K;The annual River Run 5K is seeking sponsors. If your...;A
The annual community survey is live.;Reminder to all residents: The annual community survey is live....;B
Lost: A small Drone, last seen flying over Maple Park;Lost: A small drone, last seen flying over Maple Park...;A
;The public library is starting a teen book club this...;B
;A workshop on native plants and their benefits to our...;B
If you've found a set of car keys...;If you've found a set of car keys with a...;A
The local animal shelter is offering discounted microchipping services this;The local animal shelter is offering discounted microchipping services this...;B
Community Alert: Increase in Bicycle Thefts Downtown;Community Alert: We've noticed an increase in bicycle thefts in...;B
The community garden is now accepting applications...;The community garden on Fifth Street is now accepting applications...;A
Anyone Up for Forming a Local History Club;Anyone up for forming a local history club? We could...;A
Annual Street Cleaning Will Begin Next Week;A reminder that the annual street cleaning will begin next...;B
The jazz ensemble from the community college will;The jazz ensemble from the community college will be performing...;A
Found: A Small Pouch Containing Various Crafting Tools;Found: A small pouch containing various crafting tools, left behind...;B
The City's Transit Authority Will Be Holding;The city's transit authority will be holding a public hearing...;A
Lost During the Fun Run: a digital sports watch, black...;Lost during the fun run: a digital sports watch, black...;B
The local theater is seeking;The local theater is seeking old newspapers and magazines for...;A
The High School Robotics Team Needs Local Sponsors!;The high school robotics team is looking for local businesses...;B
Free ESL Classes;Free ESL classes will be offered every Monday and Wednesday...;A
Saturday beekeeping workshop;The local beekeepers association is hosting a beginner's workshop on...;A
A wallet was found near the outdoor gym in Central...;A wallet was found near the outdoor gym in Central...;B
I Make Handmade Jewelry;I make handmade jewelry and I'm thinking of setting up...;B
Volunteers Needed to Help Set Up and Take Down This...;Volunteers are needed to help set up and take down...;A
The High School's Annual Craft Bazaar Next Weekend;The high school's annual craft bazaar is next weekend. Come...;B
Lost: A Small Drone With A Red Stripe;Lost: a small drone with a red stripe, last seen...;B
Dog licenses must be renewed by;Reminder: Dog licenses must be renewed by the end of...;A
City Planning Reforestation Day Next Month...;The city is planning a reforestation day next month. We're...;B
A set of Car Keys with a novelty football keychain...;A set of car keys with a novelty football keychain...;A
Auditions will be held next Saturday at the community;The community orchestra is inviting local musicians to join their...;A
The local business association is host;The local business association is hosting a networking event for...;B
Found: A pair of prescription glasses in a black case...;Found: A pair of prescription glasses in a black case...;A
The Town Hall is Exhibiting Historical Photographs through the Decades;The town hall is exhibiting a collection of historical photographs...;B
I've noticed a few stray;I've noticed a few stray dogs around the neighborhood recently....;B
Lost: A children’s backpack with cartoon characters;Lost: A children’s backpack with cartoon characters, last seen at...;A
The local veterans' group;The local veterans' group is organizing a charity raffle to...;A
The Downtown Area Will Be Closed to Vehicle Traffic This...;The downtown area will be closed to vehicle traffic this...;B
A small gold ring;Found: A small gold ring at the city park near...;B
Volunteers Needed for the City's Annual Film Festival;Volunteers needed for the city’s annual film festival. Roles include...;B
Learn How to Make Your Garden More Eco-Friendly;The local botanical garden is starting a series of weekend...;A
The community center's swimming pool will be closed for annual...;Reminder: The community center's swimming pool will be closed for...;A
The Annual Community Art Contest;The annual community art contest is now accepting entries. This...;B
Lost Pet Ferret in Oakridge Neighborhood;A resident has reported a lost pet ferret in the...;A
The Local Historical Society is Seeking;The local historical society is seeking donations of artifacts and...;B
Is anyone else interested in sustainable living?;Is anyone else interested in sustainable living? I'm trying to...;A
The Community College is Offering a Series of Free Workshops;The community college is offering a series of free workshops...;A
Found: A Child's Drawing Pad with Sketches;Found: A child’s drawing pad with sketches, found on a...;B
Reminder: Next Saturday is the deadline for registering;A reminder that next Saturday is the deadline for registering...;A
The Downtown Parking Garage Will Be Undergoing Renovations;The downtown parking garage will be undergoing renovations starting next...;A
A drone was found in the;A drone was found in the high school football field...;B
The local senior center is looking for volunteers to;The local senior center is looking for volunteers to help...;A
Lost: A silver locket near Cedar Mall, sentimental value;Lost: A silver locket near Cedar Mall, sentimental value, contains...;B
The community theater's costume department is in urgent need;The community theater's costume department is in urgent need of...;A
Reminder: Quarterly Bulk Waste Collection;Reminder: The quarterly bulk waste collection is scheduled for next...;A
Meet the Author this Friday;"The public library is starting a new series called ""Meet...";B
I'm a Professional Photographer;I'm a professional photographer offering mini photo sessions this weekend...;A
Found: A set of professional drawing tools in a leather...;Found: A set of professional drawing tools in a leather...;A
Bring the kids to the neighborhood park's new playground this...;The neighborhood park's new playground equipment installation has been completed....;B
Volunteers Needed for Winter Festival;Volunteers are needed for the upcoming Winter Festival. If you...;A
Lost: A wristwatch with a blue strap;Lost: A wristwatch with a blue strap, last seen in...;B
The Local Garden Club's Free Session on Winter Gardening;The local garden club is offering a free session on...;A
The town's traffic light upgrade;The town's traffic lights at the intersection of Main and...;B
Reminder: Dog Walking Restrictions;Reminder: Dog walking is not allowed on the artificial turf...;A
The community center is hosting a;The community center is hosting a donation drive for school...;A
The City's Annual Tree Planting Event This Saturday;Reminder: The city’s annual tree planting event is happening this...;A
;Found: A small silver bracelet near the bus stop on...;A
Looking for recommendations for a reliable;Looking for recommendations for a reliable babysitter in the area....;A
The community library's Wi-Fi will be upgraded;The community library's Wi-Fi will be upgraded this Thursday, leading...;B
The Local Youth Soccer Club is Looking for Sponsors;The local youth soccer club is looking for sponsors for...;A
Join us for a bird-watching walk through Miller Woods this;Attention bird enthusiasts: Join us for a bird-watching walk through...;B
Lost: A pair of prescription sunglasses at Sunset Park;Lost: A pair of prescription sunglasses at Sunset Park. They...;A
The city council is seeking public feedback on the new...;The city council is seeking public feedback on the new...;B
Volunteers needed for the community;Volunteers needed for the community food bank this Friday. We're...;A
The Importance of Being Earnest;The high school drama club is performing their spring play,...;B
Found: A Drone in Thompson Field;Found: A drone in Thompson Field, likely from a recent...;A
The Neighborhood Watch Program is Organizing a Safety Workshop;The neighborhood watch program is organizing a safety workshop focused...;B
The Annual Book Sale;The annual book sale at the library is now accepting...;A
I Need a Helping Hand?;Need a helping hand? I’m available for babysitting or pet...;A
I accidentally ordered two of the same book;I accidentally ordered two of the same book online. It's...;A
Lost: A small gold earring with a blue gemstone...;Lost: A small gold earring with a blue gemstone, possibly...;B
The City is Conducting a Survey;The city is conducting a survey to understand the community’s...;B
The local veterans' home is looking;The local veterans' home is looking for volunteers to spend...;B
Annual Fireworks Display at the Waterfront;Reminder: The annual fireworks display for the Fourth of July...;A
The Environmental Club is Leading a Cleanup;The environmental club is leading a cleanup at Beachy Head...;A
Lost: A set of keys with a red fob;Lost: A set of keys with a red fob, last...;B
Attention All Runners;Attention all runners: The community 5K is just around the...;A
How to make your own candles;The crafters guild is hosting a workshop on how to...;B
No Parking on Main Street this Saturday;Reminder: No parking on Main Street this Saturday due to...;B
Join The Community Orchestra;The community orchestra is looking for musicians who play woodwind...;A
We’re Putting Together a Community Quilt;We’re putting together a community quilt and looking for contributors....;B
A child's drawing pad filled with sketches;Found: A child's drawing pad filled with sketches, left behind...;A
The city is updating its zoning regulations.;The city is updating its zoning regulations. A public hearing...;A
The Downtown Farmers' Market is Now Open;The downtown farmers' market is now open every Sunday from...;A
A Free Vaccination Clinic for Pets Will Be Held;Attention all pet owners: A free vaccination clinic for pets...;B
The Local Historical Society's Walking Tour;The local historical society is conducting a walking tour of...;A
A Blue And White Striped Beach Towel;Lost: A blue and white striped beach towel, left on...;B
If found, please contact me.;It has great sentimental value as it was a gift....;B
A GoPro Camera Found;Found: A GoPro camera near the trails at Ridgeback Mountain....;A
The Jazz Ensemble from the Community College;The jazz ensemble from the community college will be performing...;B
Notice of Power Outages;Notice of power outages: Scheduled electrical maintenance will occur this...;A
I've Started A Blog About Our Neighborhood's;I've just started a blog about our neighborhood’s history and...;A
Attention All Pet Owners: A free vaccination clinic for pets;Attention all pet owners: A free vaccination clinic for pets...;B
The local volunteer fire department;The local volunteer fire department is hosting an open house...;A
If anyone needs help setting up;If anyone needs help setting up their new computers or...;B
Join Us for a Night at the Movies in the...;Join us for a night at the movies in the...;A
Don't Miss Out on Great Bargains!;Reminder: The annual neighborhood garage sale is happening this Sunday...;A
Get Your Sneakers On for Charity Run Next Month!;Get your sneakers on for the charity run next month!...;A
A Meditation and Yoga Session;A meditation and yoga session will be held every Sunday...;A
Mary Johnson to Speak about Latest Book at 4 PM;The local library is introducing 'author of the month' series...;B
Lost: A blue and white striped beach towel near lifeguard...;Lost: A blue and white striped beach towel, left on...;B
The City Park Department is Looking;The city park department is looking for volunteers to help...;A
Our local pet shelter is in;Our local pet shelter is in desperate need of foster...;A
Seeking Volunteer Drivers for Weekly Grocery Shopping;The seniors' center is looking for volunteer drivers to help...;B
Community Alert: Reports of Suspicious Activities;Community Alert: There have been reports of suspicious activities in...;B
I’m organizing a winter;I’m organizing a winter clothing drive for the homeless shelter...;A
Attention, pet owners!;Attention, pet owners! There have been reports of increased tick...;A
The water main on Jefferson Ave will be shut off...;Notice: The water main on Jefferson Ave will be shut...;B
The annual River Cleanup;The annual river cleanup is happening this weekend. We're looking...;A
I’m trying to find a home for;I’m trying to find a home for a friendly stray...;A
The environmental club is leading a cleanup;The environmental club is leading a cleanup at Beachy Head...;A
