Subject Line A;Subject Line B;Target
Reminder: The community pool opens for the season this weekend!...;The community pool opens for the season this weekend!;B
If anyone is interested in learning about or discussing sustainable...;If Anyone Is Interested In Learning About Sustainable Living Practices;A
The downtown art gallery is celebrating its 5th anniversary with...;Join us for live music, refreshments, and local artists' work.;B
Iím offering lawn mowing services this summer. I have my...;I'm Offering Lawn Mowing Services;B
To anyone who helped push my car out of the...;Thank You for Helping Push My Car;B
Lost cat: Our family's gray tabby, Whiskers, has been missing...;Lost Cat Since Monday;B
Our community library is starting a weekend reading program for...;Our Weekend Reading Program for Kids;A
Attention cyclists: The city will be adding bike racks at...;Attention Cyclists: Bike Racks Coming Downtown;B
Does anyone have experience with rainwater collection systems? I'm looking...;Does Anyone Have Experience with Rainwater Collection Systems?;B
Calling all green thumbs! We're looking for guest contributors to...;Calling All Green Thumbs!;B
The annual community yard sale is scheduled for next Saturday...;Annual Community Yard Sale;B
A reminder that bulk trash pickup is happening next week....;Bulk Trash Pickup Next Week;A
I found a set of car keys near the coffee...;I Found a Set of Car Keys Near the Coffee...;B
We're starting a community cycling group that will meet every...;Community Cycling Group;A
I recently moved here and I'm a professional carpenter looking...;I recently moved here;B
The local theater is holding auditions for its summer production...;Auditions for Grease Production;B
If anyone is interested in a weekly knitting and crochet...;Weekly Knitting and Crochet Group;A
Our neighborhood watch is organizing a meeting to discuss recent...;Vehicle Break-Ins Meeting;B
I'm offering free piano lessons for beginners. I have a...;I'm offering free piano lessons for beginners.;A
The local high school's robotics team is hosting a car...;Car Wash Fundraiser This Saturday;A
Lost cat: My grey tabby, Misty, has been missing since...;LOST CAT: Grey Tabby Missing Since Yesterday;A
I'm organizing a book drive to help restock the library...;I'm Organizing a Book Drive;B
The community garden is offering a workshop on organic pest...;Organic Pest Control Methods;B
A black wallet was found in the park near the...;A Black Wallet Found in the Park;B
We're looking for local bands to perform at the upcoming...;We're looking for local bands to perform at the upcoming...;A
My kids have outgrown their bicycles, and I'd like to...;My Kids Need New Bicycles;A
Reminder to all residents: Please keep your dogs on a...;Please keep your dogs on a leash while in public...;B
The seniors' center is looking for volunteer drivers to help...;Volunteer Drivers Needed for Weekly Grocery Shopping Trips;A
Found a small drone in Lincoln Park near the playground....;Found a small drone in Lincoln Park near the playground;A
The city council is hosting a public forum on the...;The city council is hosting a public forum on the...;B
Anyone missing a green parakeet? A little bird has been...;Anyone missing a green parakeet?;A
The annual children's book fair will be held at the...;The annual children's book fair;A
I lost a silver bracelet somewhere between Park Avenue and...;I LOST A SILVER BRACELET;A
We're planning a cleanup day for the community trails system....;Cleanup Day for Community Trails System;B
The local fire department will be conducting a controlled burn...;Controlled Burn in Old Forest Preserve;B
Reminder: The community pool opens for the season this weekend!...;The Community Pool Opens for the Season This Weekend!;A
Please message me if interested.;Message Me If Interested;A
If anyone is interested in learning about or discussing sustainable...;Sustainable Living Practices;B
The downtown art gallery is celebrating its 5th anniversary with...;Downtown Art Gallery Celebrates 5th Anniversary;A
Reminder for all pet owners: The local park now requires...;The local park now requires all dogs to be on...;B
The city library is launching a new lecture series focused...;The city library is launching a new lecture series focused...;B
Found a blue USB drive in the community center parking...;Found a blue USB drive in the community center parking...;A
Reminder: Please adhere to the recycling guidelines posted on our...;Proper Sorting Helps Reduce Waste;A
We are starting a neighborhood initiative to assist the elderly...;Assisting the Elderly with Grocery Shopping;A
There's a new art exhibition at the downtown gallery featuring...;There's a new art exhibition at the downtown gallery featuring...;B
The annual Spring Fling Festival is seeking local vendors. If...;Local Vendors Sought for Spring Fling Festival;A
Missing: One small drone, last seen flying near Maple Street...;MISSING: One small drone, last seen flying near Maple Street...;B
Iím organizing a winter clothing drive for the homeless shelter...;Winter Clothing Drive for Homeless Shelter;A
Heads up, the annual community cleanup will be this Saturday....;Heads Up: Annual Community Cleanup This Saturday;B
Community Alert: Be on the lookout for increased deer activity...;Be on the lookout for increased deer activity near the...;B
Iím offering math tutoring for high school students. If your...;I‚Äôm Offering Math Tutoring for High School Students;A
If anyone finds a set of silver hoop earrings at...;If anyone finds a set of silver hoop earrings at...;B
Notice: The water main on Jefferson Ave will be shut...;EMERGENCY REPAIRS TOMORROW ON JEFFERSON AVE;A
Found a child's stuffed bear in the park near the...;Found a child's stuffed bear in the park near the...;A
The local theater group is looking for props and vintage...;The Local Theater Group Needs Your Help;A
Our community's annual book fair is returning! Weíre currently accepting...;Our community's annual book fair is returning!;A
A reminder that pet licenses need to be renewed by...;Pet Licenses Need to be Renewed;B
Volunteers needed for the community gardenís fall planting event next...;Volunteers Needed for Fall Planting Event;A
Looking for a study buddy for German language exams. If...;Let's Ace These Exams Together;B
The high school jazz band will be giving a free...;High School Jazz Band Free Concert This Thursday;B
If youíre an expert in crafting, consider leading a workshop...;If you're an expert in crafting, consider leading a workshop...;B
The local food pantry is running low on supplies. We're...;The Local Food Pantry is Running Low;A
Free yoga classes are being offered at the park every...;Free Yoga Classes Every Sunday;B
Our neighborhood is organizing a car-free day next month to...;Car-Free Day Next Month;B
Lost: A gold bracelet in the vicinity of Pine Street...;Lost: Gold bracelet found near Pine Street Market;A
The local volunteer fire department is hosting an open house...;The local volunteer fire department is hosting an open house...;B
Attention all tech enthusiasts: We're forming a new club to...;Attention all tech enthusiasts;A
Heads up! There will be a temporary road closure on...;Heads Up! Temporary Road Closure on Elm Street This Weekend;B
I found a set of house keys near the fountain...;I found a set of house keys near the fountain...;B
Weíre starting an indoor soccer league this winter and need...;Indoor Soccer League - Join Us!;B
The annual community potluck is scheduled for next Saturday at...;Annual Community Potluck Scheduled for Next Saturday;A
Notice: The local museum will be closed for renovations starting...;The Local Museum Will Be Closed for Renovations;B
If anyone needs assistance with fall yard cleanup, our high...;Fall Yard Cleanup Help Available;B
Lost cat: A small black and white cat named Oreo...;LOST CAT: Small black and white cat named Oreo missing;B
The youth soccer league is looking for coaches and referees...;NO EXPERIENCE NECESSARY WE PROVIDE TRAINING;A
The local historical society is hosting a lecture on the...;The Architectural History of Our Town;A
Found: A small remote control car in the alley behind...;Found: Red and black remote control car in alley;A
The annual haunted house fundraiser is back! We're looking for...;The Annual Haunted House Fundraiser Is Back;A
Community service reminder: Please keep sidewalks clear of leaves and...;Keep Sidewalks Clear of Leaves and Debris;B
The local art gallery is seeking submissions for a community...;The local art gallery is seeking submissions for a community...;A
Good morning, fellow residents! We're organizing a clean-up day at...;Good Morning, Fellow Residents!;A
I bake custom cakes for any occasionóbirthdays, anniversaries, you name...;I bake custom cakes for any occasion‚Äîbirthdays, anniversaries, you name...;A
Found a digital camera at the viewpoint on Ridge Trail....;Found a digital camera at the viewpoint on Ridge Trail.;B
Volunteers needed for the libraryís annual book sale. If you...;Volunteers Needed for Library's Annual Book Sale;A
Lost: A set of gold-rimmed reading glasses, possibly left in...;Lost: A Set of Gold-Rimmed Reading Glasses;A
Anyone interested in joining a weekly meal-prep group? We get...;Join Weekly Meal-Prep Group;B
Found a set of car keys in the Westside Mall...;Found a set of car keys in the Westside Mall...;A
We are looking for guest speakers for our monthly virtual...;We're Looking for Guest Speakers;B
Our local museum is currently seeking volunteers to help guide...;Seeking Volunteers for Weekend Tours;B
The high school band is hosting a charity concert to...;High School Band Charity Concert;A
The city will be repaving several roads starting next week....;Expect Detours and Plan Your Routes;B
Our annual plant swap is happening next Saturday at the...;Our Annual Plant Swap;A
My computer has been acting up, and I think it...;My computer has been acting up, and I think it...;B
The community center is offering free CPR and first aid...;FREE CPR and First Aid Training this Month;B
Lost: A small drone, last seen near Pine Grove Park....;Lost: A small drone, last seen near Pine Grove Park.;A
The local food bank is in urgent need of canned...;The Local Food Bank Urgently Needs Donations;B
"Join us for the annual ""Clean the Creek"" day next...";Clean the Creek Day Next Sunday;A
I'm offering tutoring services for middle and high school students...;I'm Offering Tutoring Services;B
The photography club is looking for new members! We meet...;The Photography Club;B
"Missing cat: ""Whiskers,"" a fluffy white Persian, has been missing...";Missing Cat Found;B
The community theater is seeking donations of old costumes and...;The community theater seeks donations of old costumes and props;A
Thereís a computer skills workshop focusing on basic skills like...;Computer Skills Workshop This Thursday;B
Found a small child's bike near the community center. It's...;Found a small child's bike near the community center.;A
I'm offering guitar lessons in the evenings and weekends. Whether...;Guitar Lessons;A
Our local fire station will be holding an open house...;Meet Our Firefighters;B
The neighborhood council is hosting a forum to discuss upcoming...;FORUM TO DISCUSS UPCOMING DEVELOPMENT PLANS;A
A friendly reminder that property taxes are due at the...;Property Taxes Are Due at the End of the Month;A
The local art league is hosting a weekend workshop on...;The local art league is hosting a weekend workshop on...;B
"The annual ""Books for Kids"" drive is happening now. We're...";"The annual ""Books for Kids"" drive is happening now.";B
Attention all runners: The community 10K race is just around...;Attention All Runners;B
Lost drone alert: I lost my drone while taking aerial...;LOST DRONE ALERT;A
Our local history group is seeking old photographs and stories...;Our Local History Group Seeking Old Photographs;B
Found a smartphone in Central Park near the fountain. It's...;Found a smartphone in Central Park near the fountain;B
The local community college is offering evening classes in web...;Upgrading your skills for today's job market;B
Our community garden has a few plots available for the...;Our Community Garden Has Plots Available;A
"Our annual ""Light Up the Night"" holiday parade is seeking...";Light Up the Night Holiday Parade;A
If you've lost a pet, remember to check the animal...;If you've lost a pet;B
The neighborhood association is planning a series of workshops on...;Improve Insulation and Reduce Utility Bills;A
The local symphony orchestra will be giving a free concert...;The local symphony orchestra will be giving a free concert...;B
Volunteers needed for our annual river regatta next month. We...;Volunteers Needed for Annual River Regatta;A
Reminder: The community pool is now open for the season....;The Community Pool is Now Open for the Season;B
Lost a precious silver locket at the downtown market last...;LOST Silver Locket at Downtown Market;A
The local university extension is offering a series of lectures...;Environmental Conservation Lectures;B
A note to all dog owners: Please clean up after...;A note to all dog owners: Please clean up after...;A
Found a pair of prescription glasses at the bus stop...;Found a pair of prescription glasses at the bus stop...;A
I lost a small gold locket near the central plaza...;I Lost A Small Gold Locket;B
"Join us for our annual ""Taste of the Town"" food...";"""Taste of the Town"" Food Festival";B
A stray dog has been seen roaming near the industrial...;Stray Dog Spotted in Industrial Area;A
The high school's annual art show is open to the...;The High School's Annual Art Show Is Open To The...;A
We're organizing a neighborhood carpool system to help reduce traffic...;Neighborhood Carpool System;B
The local library is starting a series of bi-weekly workshops...;Digital Literacy Workshops at Local Library;A
Please be advised that the annual maintenance of the town's...;Please be advised that the annual maintenance of the town's...;B
A brown leather briefcase was left in the cab of...;Brown leather briefcase left in downtown taxi;B
There's a community effort to restore the old mill and...;There's a community effort to restore the old mill and...;A
The high school is collecting donations for their upcoming drama...;The High School Needs Your Help;A
Our community garden plots are now available for the coming...;Community Garden Plots Now Available;B
Weíre looking for volunteers to help with the spring festival...;We're looking for volunteers;B
I found a set of keys near the lake trail,...;I Found A Set Of Keys Near The Lake Trail;A
There will be a CPR and first aid training session...;CPR and First Aid Training Session This Saturday;B
The monthly meeting of the town council will take place...;New Park Development Plans;B
The local art club is holding an outdoor painting session...;This Sunday at City Park;A
Our town's historical society is looking for volunteers to help...;Our Town's Historical Society Seeks Volunteers;B
Missing: a small drone, last seen flying over Community Park....;Missing Drone Over Community Park;B
The community center's annual bake sale to support local homeless...;The Community Center's Annual Bake Sale;A
The road by the elementary school will be partially closed...;The road by the elementary school will be partially closed...;B
The local veterans' association is organizing a charity run next...;The local veterans' association is organizing a charity run next...;B
A silver locket was found in the community hall following...;A Silver Locket Was Found;B
I just opened a yoga studio downtown and am offering...;I Just Opened a Yoga Studio;B
The community orchestra has openings for violinists and cellists for...;The community orchestra has openings for violinists and cellists for...;A
There is a recall on the ìBakerís Delightî bread maker...;There is a recall on the ‚ÄúBaker‚Äôs Delight‚Äù bread maker...;B
Lost cat: an orange tabby with a white chest, very...;LOST CAT: Orange Tabby with White Chest;B
We are initiating a neighborhood carpool program. If you're interested...;Neighborhood Carpool Program - Next Thursday;B
There's a proposal to build a new playground at the...;To Voice Your Opinions On The New Playground Proposal;A
The annual community photo contest is now accepting entries. This...;"""Annual Community Photo Contest Now Accepting Entries""";A
Volunteers are needed for the downtown clean-up day next Saturday....;Meet at the town square at 9 AM ready to...;B
The local book club is looking for new members to...;"""Join Local Book Club Discussions""";A
A reminder to all residents to adhere to the recycling...;Incorrect Sorting Can Lead To Contamination;A
The high school track and field team is hosting a...;High School Track and Field Team Car Wash Fundraiser;B
Is anyone interested in a weekly game night? I was...;Is anyone interested in a weekly game night?;B
There's a new exhibit on regional wildlife at the Natural...;There's a new exhibit on regional wildlife at the Natural...;A
The community health clinic will be closed for renovations starting...;The Community Health Clinic Will Be Closed;A
An orange and white bicycle was found locked outside the...;Orange and White Bicycle Found Outside Library;B
The annual food drive for the local pantry starts next...;The annual food drive for the local pantry starts next...;B
If anyone has expertise in repairing old radios, the school's...;If anyone has expertise in repairing old radios;A
The local animal shelter is offering discounted adoption fees this...;The local animal shelter is offering discounted adoption fees this...;B
Reminder: Property taxes are due at the end of the...;Property Taxes Are Due;B
A wallet was found at the bus station on Main...;Wallet Found at Bus Station;A
We're launching a weekend farmers' market starting this Saturday in...;We're launching a weekend farmers' market;B
I've been practicing Spanish and I'm looking for someone to...;I'm Looking for Someone to Practice Conversation with;B
Lost: A small black notebook containing important research notes, last...;Lost: A small black notebook containing important research notes;A
The city's annual jazz festival is looking for volunteers. If...;The city's annual jazz festival is looking for volunteers.;B
The public library is discontinuing late fees on all children's...;The public library is discontinuing late fees on all children's...;A
If youíre a homeowner interested in installing solar panels, the...;If you‚Äôre a homeowner interested in installing solar panels, the...;B
Found a set of hiking poles near the trailhead of...;Found a set of hiking poles near Mount Parker;B
The local theatre company is in need of old suitcases...;The local theatre company needs old suitcases and trunks for...;A
A free e-waste recycling event will be held at the...;A FREE E-WASTE RECYCLING EVENT THIS SATURDAY;B
The community center is hosting a workshop on budget management...;FREE Workshop on Budget Management and Personal Finance Next Tuesday;B
Notice for garden enthusiasts: The annual flower and garden show...;The annual flower and garden show is accepting last-minute entries.;A
A local high school's robotics club is showcasing their projects...;Young Inventors Showcase Their Creations;A
Our local theater group is looking for new members to...;Local theater group seeks new members;B
Attention parents: The community library is starting a new storytime...;The Community Library is Starting a New Storytime Session;A
If anyone is interested in participating in a community quilt...;If Anyone Is Interested In Participating In A Community Quilt...;A
Lost during last weekend's festival: a small, digital camera. Itís...;Lost digital camera with irreplaceable family photos;B
The downtown improvement committee is looking for volunteers to help...;The Downtown Improvement Committee is Looking for Volunteers;A
Our local theater is looking for old 1920s-style costumes for...;The Great Gatsby Costume Needed;A
The annual community clean-up day is fast approaching. Gather at...;Gather at City Hall next Saturday at;A
We have noticed an increase in litter in the park...;Let's keep our parks clean and pleasant for everyone.;B
A reminder that the community potluck is happening this Sunday...;Community Potluck This Sunday;B
Local amateur astronomers are invited to join a night of...;Bring Your Telescopes or Just Your Curiosity!;A
The youth center is in urgent need of sports equipment...;Urgent Need: Sports Equipment Donations;A
Exciting news for young parents and tots! Our community center...;Weekly Toddler Story Time;B
I have a bunch of moving boxes in good condition...;I Have Moving Boxes for Free;A
A set of keys was found this morning on Oak...;A Set of Keys Found on Oak Avenue;A
To anyone with expertise in tree pruning: The community orchard...;To Anyone With Expertise In Tree Pruning;A
The local swim team is hosting tryouts next week for...;The Local Swim Team Is Hosting Tryouts;B
If anyone is missing a drone, it was last seen...;If Anyone Is Missing A Drone;B
The Historical Society is offering guided tours of the old...;The Historical Society is offering guided tours of the old...;A
Volunteers needed: The food bank is looking for help sorting...;Volunteers Needed: Sorting Donations;A
Reminder: Please keep your pets on a leash at all...;Please keep your pets on a leash at all times;B
The community garden is organizing a harvest festival next month....;Harvest Festival Next Month;A
Lost: A small drone with red markings, last seen near...;Lost: A small drone with red markings near Maplewood Park;B
Reminder to all residents: Leaf and brush pickup is scheduled...;Leaf and Brush Pickup Scheduled for Next Monday;B
I'm a retired librarian and would love to start a...;I'm starting a storytime for kids at the community center.;A
A reading group is forming at the local library for...;Mystery Novels Reading Group;A
The high school's annual art show is this weekend. Come...;The High School's Annual Art Show This Weekend;A
Free health clinic this Saturday at the community center from...;Free Health Clinic This Saturday;B
Attention dog owners: A new dog park is opening next...;Attention Dog Owners: New Dog Park Opening Next Week;A
Found: A set of house keys with a novelty guitar...;Found: A set of house keys with a novelty guitar...;B
Local scout troops are holding a car wash fundraiser this...;Car Wash Fundraiser This Sunday;A
The community choir is looking for new members. No audition...;The community choir is looking for new members.;B
If you're interested in learning how to make your own...;Make Your Own Soap at the Arts and Crafts Center;B
The local museum is seeking volunteers for their upcoming exhibit...;The Local Museum Seeks Volunteers;A
An outdoor yoga class will be held every morning at...;Every Morning Outdoor Yoga Class;B
I found a set of keys near the bus stop...;Found keys near Main Street bus stop;A
Reminder: Parking will be restricted on Main Street this Friday...;Parking will be restricted on Main Street this Friday for...;A
Lost: A child's teddy bear, near the fountain in Central...;LOST: A child's teddy bear, near the fountain in Central...;A
The local veterans' association is organizing a community picnic next...;Honor Our Service Members;B
The neighborhood association is looking for articles and photos for...;The neighborhood association is looking for articles and photos for...;A
A bicycle was found locked to a bench at the...;Blue Mountain Bike Found at Bus Station;B
The community pottery studio is holding an open house event...;The Community Pottery Studio Open House;A
Volunteers are needed for the downtown beautification project this spring....;Volunteers Needed for Downtown Beautification Project;A
Lost: Prescription glasses in a black case, possibly left on...;LOST Prescription Glasses;B
The local astronomy club is hosting a night of stargazing...;Next Friday's Night of Stargazing;A
Found a backpack containing school books and a lunchbox at...;Found a Backpack at Victory Park;B
I'm starting a fitness challenge group and looking for participants...;I'm Starting a Fitness Challenge Group;A
A documentary film about the history of our town is...;A documentary film about the history of our town is...;B
The annual River Run 5K is seeking sponsors. If your...;The annual River Run 5K is seeking sponsors.;A
Reminder to all residents: The annual community survey is live....;The annual community survey is live.;B
Lost: A small drone, last seen flying over Maple Park...;Lost: A Small Drone, Last Seen Flying Over Maple Park;A
The public library is starting a teen book club this...;TEEN BOOK CLUB THIS SUMMER;A
A workshop on native plants and their benefits to our...;Native Plants and Their Benefits;B
If you've found a set of car keys with a...;If you've found a set of car keys with a...;A
The local animal shelter is offering discounted microchipping services this...;Protect your pets by ensuring they can always be identified;B
Community Alert: We've noticed an increase in bicycle thefts in...;Community Alert: Increase in Bicycle Thefts;B
The community garden on Fifth Street is now accepting applications...;The community garden on Fifth Street is now accepting applications...;B
Anyone up for forming a local history club? We could...;Anyone Up for Forming a Local History Club?;A
A reminder that the annual street cleaning will begin next...;Annual Street Cleaning Begins Next Week;A
The jazz ensemble from the community college will be performing...;Jazz Ensemble Performance at City Park This Friday;B
Found: A small pouch containing various crafting tools, left behind...;Found: A small pouch containing various crafting tools;A
The city's transit authority will be holding a public hearing...;The City's Transit Authority Will Hold Public Hearing;B
Lost during the fun run: a digital sports watch, black...;Lost Digital Sports Watch;A
The local theater is seeking old newspapers and magazines for...;The local theater is seeking old newspapers and magazines for...;A
The high school robotics team is looking for local businesses...;The High School Robotics Team Needs Your Support;B
Free ESL classes will be offered every Monday and Wednesday...;Free ESL classes;A
The local beekeepers association is hosting a beginner's workshop on...;Beginner's Workshop on Beekeeping This Saturday;B
A wallet was found near the outdoor gym in Central...;Wallet Found Near Central Park Outdoor Gym;A
I make handmade jewelry and I'm thinking of setting up...;I Make Handmade Jewelry;B
Volunteers are needed to help set up and take down...;Volunteers Needed for Harvest Festival;A
The high school's annual craft bazaar is next weekend. Come...;The High School's Annual Craft Bazaar;B
Lost: a small drone with a red stripe, last seen...;Lost Drone with Red Stripe;A
Reminder: Dog licenses must be renewed by the end of...;Dog licenses must be renewed by the end of this...;A
The city is planning a reforestation day next month. We're...;The City is Planning a Reforestation Day;B
A set of car keys with a novelty football keychain...;A set of car keys with a novelty football keychain...;B
The community orchestra is inviting local musicians to join their...;Auditions next Saturday at the community music hall;A
The local business association is hosting a networking event for...;Networking Event for Small Business Owners;B
Found: A pair of prescription glasses in a black case...;FOUND: A Pair of Prescription Glasses;A
The town hall is exhibiting a collection of historical photographs...;The Town Hall Exhibiting Historical Photographs;B
I've noticed a few stray dogs around the neighborhood recently....;I've noticed a few stray dogs around the neighborhood recently.;A
Lost: A childrenís backpack with cartoon characters, last seen at...;LOST: A children‚Äôs backpack with cartoon characters;B
The local veterans' group is organizing a charity raffle to...;The Local Veterans' Group Organizing Charity Raffle;A
The downtown area will be closed to vehicle traffic this...;The downtown area will be closed to vehicle traffic this...;B
Found: A small gold ring at the city park near...;A Small Gold Ring Found at City Park;A
Volunteers needed for the cityís annual film festival. Roles include...;Volunteers Needed for the City‚Äôs Annual Film Festival;A
The local botanical garden is starting a series of weekend...;Sustainable Gardening Practices;B
Reminder: The community center's swimming pool will be closed for...;The Community Center's Swimming Pool Will Be Closed;B
The annual community art contest is now accepting entries. This...;Our Town in Color;A
A resident has reported a lost pet ferret in the...;LOST PET FERRET IN OAKRIDGE NEIGHBORHOOD;B
The local historical society is seeking donations of artifacts and...;The local historical society is seeking donations of artifacts and...;A
Is anyone else interested in sustainable living? I'm trying to...;Is Anyone Else Interested in Sustainable Living;A
The community college is offering a series of free workshops...;FREE WORKSHOPS ON FINANCIAL LITERACY;B
Found: A childís drawing pad with sketches, found on a...;Found: A Child's Drawing Pad with Superhero Drawings;B
A reminder that next Saturday is the deadline for registering...;Next Saturday is the deadline for registering for the community...;B
The downtown parking garage will be undergoing renovations starting next...;Downtown Parking Garage Renovations Starting Next Month;B
A drone was found in the high school football field...;Drone Found in High School Football Field;B
The local senior center is looking for volunteers to help...;Tech Tutoring Sessions Needed at Local Senior Center;B
Lost: A silver locket near Cedar Mall, sentimental value, contains...;Lost: Silver Locket near Cedar Mall;A
The community theater's costume department is in urgent need of...;Fabric Donations Needed for Romeo and Juliet Production;B
Reminder: The quarterly bulk waste collection is scheduled for next...;Reminder: Quarterly Bulk Waste Collection;B
"The public library is starting a new series called ""Meet...";Meet the Author This Friday;A
I'm a professional photographer offering mini photo sessions this weekend...;I'm a professional photographer offering mini photo sessions this weekend...;B
Found: A set of professional drawing tools in a leather...;Found: Professional drawing tools in a leather case;A
The neighborhood park's new playground equipment installation has been completed....;Bring the kids this weekend for the official opening;A
Volunteers are needed for the upcoming Winter Festival. If you...;Volunteers Needed for Winter Festival;A
Lost: A wristwatch with a blue strap, last seen in...;Lost: A wristwatch with a blue strap;A
The local garden club is offering a free session on...;Winter Gardening - How to Prepare Your Garden;B
The town's traffic lights at the intersection of Main and...;Traffic Lights Upgrades Next Week;A
Reminder: Dog walking is not allowed on the artificial turf...;Reminder: Dog walking is not allowed on the artificial turf...;B
The community center is hosting a donation drive for school...;The Community Center is Hosting a Donation Drive for School...;B
Reminder: The cityís annual tree planting event is happening this...;The city's annual tree planting event is happening this Saturday;A
Found: A small silver bracelet near the bus stop on...;FOUND: Small Silver Bracelet near Bus Stop;A
Looking for recommendations for a reliable babysitter in the area....;Looking for Reliable Babysitter;B
The community library's Wi-Fi will be upgraded this Thursday, leading...;The community library's Wi-Fi will be upgraded this Thursday, leading...;B
The local youth soccer club is looking for sponsors for...;Businesses Needed for Sponsorship;B
Attention bird enthusiasts: Join us for a bird-watching walk through...;Attention bird enthusiasts: Join us for a bird-watching walk through...;A
Lost: A pair of prescription sunglasses at Sunset Park. They...;LOST: Black Ray-Bans at Sunset Park;A
The city council is seeking public feedback on the new...;The City Council Seeks Public Feedback on New Bike Lanes;A
Volunteers needed for the community food bank this Friday. We're...;Volunteers Needed for Community Food Bank;A
The high school drama club is performing their spring play,...;The Importance of Being Earnest;B
Found: A drone in Thompson Field, likely from a recent...;Found: A Drone in Thompson Field;B
The neighborhood watch program is organizing a safety workshop focused...;Join Us For A Safety Workshop;A
The annual book sale at the library is now accepting...;The annual book sale at the library is now accepting...;B
Need a helping hand? Iím available for babysitting or pet...;Need a helping hand?;A
I accidentally ordered two of the same book online. It's...;I ACCIDENTALLY ORDERED TWO OF THE SAME BOOK;A
Lost: A small gold earring with a blue gemstone, possibly...;LOST: Small Gold Earring with Blue Gemstone;B
The city is conducting a survey to understand the communityís...;The City Conducts Survey To Understand Community Needs;B
The local veterans' home is looking for volunteers to spend...;Volunteers Needed for Local Veterans' Home;A
Reminder: The annual fireworks display for the Fourth of July...;The Annual Fireworks Display;A
The environmental club is leading a cleanup at Beachy Head...;Meet at the main parking lot at 10 AM.;A
Lost: A set of keys with a red fob, last...;Lost: A set of keys with a red fob near...;B
Attention all runners: The community 5K is just around the...;Attention all runners: The community 5K is just around the...;B
The crafters guild is hosting a workshop on how to...;How to Make Your Own Candles;A
Reminder: No parking on Main Street this Saturday due to...;Vehicles parked illegally will be towed at the owner's expense;B
The community orchestra is looking for musicians who play woodwind...;The community orchestra is looking for musicians who play woodwind...;B
Weíre putting together a community quilt and looking for contributors....;We're putting together a community quilt and looking for contributors.;B
Found: A child's drawing pad filled with sketches, left behind...;Found: Child's Drawing Pad Left at Central Park;B
The city is updating its zoning regulations. A public hearing...;The City is Updating its Zoning Regulations;A
The downtown farmers' market is now open every Sunday from...;Every Sunday from 8 AM to 2 PM - Downtown...;B
Attention all pet owners: A free vaccination clinic for pets...;Attention all pet owners: Free vaccination clinic for pets next...;A
The local historical society is conducting a walking tour of...;The Local Historical Society is Conducting a Walking Tour;B
Lost: A blue and white striped beach towel, left on...;Lost: A blue and white striped beach towel;A
It has great sentimental value as it was a gift....;If Found, Please Contact Me;B
Found: A GoPro camera near the trails at Ridgeback Mountain....;Found: GoPro camera near Ridgeback Mountain trails;B
