A;B
Our community garden needs volunteers for a workday this Saturday...;Our Community Garden Needs Volunteers This Saturday
Looking for a book club or discussion group? Join our...;Looking for a Book Club or Discussion Group
The town's annual farmers' market is happening every Sunday from...;The town's annual farmers' market is happening every Sunday from...
Want to get creative? Our art class for adults meets...;Want to get creative? Our art class for adults meets...
Looking to declutter your garage? Consider donating unwanted tools and...;Declutter Your Garage - Donate Unwanted Tools
My friend is raising money for her dance studio by...;Get in shape while supporting a good cause
The library is hosting a book sale next Saturday from...;The Library Book Sale Next Saturday
Need help with your yard work? Consider hiring one of...;Need Help With Your Yard Work
The animal shelter is in need of donations to support...;The animal shelter needs your help.
Join us for a free yoga class every Saturday morning...;Join us for free yoga class every Saturday morning at
The local animal shelter is hosting an adoption fair this...;Meet some furry friends at the local animal shelter adoption...
Calling all artists! Our town's annual art show is just...;Calling All Artists!
Get ready for some holiday fun at our Winter Wonderland...;Enjoy Hot Cocoa, Cookie Decorating, and More Festive Activities
The town's Parks & Recreation department is offering a series...;Free Outdoor Movie Nights
Join us for a yoga class on the rooftop of...;Join us for a yoga class on the rooftop of...
Calling all book lovers! Our local bookstore is hosting an...;Don't Miss Out!
Get ready to groove at our annual summer festival! Live...;Get Ready to Groove at Our Annual Summer Festival
Attention all gardeners! Our community center is hosting a free...;Attention All Gardeners!
Join us for a movie night under the stars in...;Join us for a movie night under the stars next...
Calling all foodies! Our local farmers market is now open...;Calling all foodies! Our local farmers market is now open...
Get moving at our weekly fitness class on Tuesdays! Join...;Get Moving at Our Weekly Fitness Class
Explore local history! Join us for a guided tour of...;Explore Local History
Get creative with clay! Our pottery class is now open...;Get Creative with Clay!
Calling all bookworms! The library is hosting an author reading...;Don't Miss Out!
Spring into fitness! Join our yoga class this Wednesday at...;Spring into Fitness!
Meet the makers! Our artisan market returns next weekend, showcasing...;Meet the Makers!
Take a culinary journey! Learn how to cook international dishes...;Take a Culinary Journey!
