Subject Line A;Subject Line B
The community center is offering free dance classes every Wednesday...;Dance classes for all levels
Get ready to sweat with our new Zumba class on...;New Fitness Opportunity
Our monthly meditation session will take place this Thursday at...;Inner peace this Thursday
The local park is hosting a free outdoor movie night...;Classic Film Under Stars
Lost: A small drone with blue markings, last seen near...;Lost Drone with Blue Markings
The community center is hosting a free yoga class for...;Yoga Class for Seniors
Local artist Emma Taylor's latest exhibit opens tonight at the...;Gallery Exhibit Tonight
The school's annual book fair is happening next week during...;New Favorite Book for Kids
Attention, car enthusiasts! The classic car show returns this Saturday...;Car Enthusiasts Rejoice
Pet grooming services available now at Pet Paradise on Main...;Book an Appointment Today
Reminder: The deadline to pay your property taxes without penalty...;Reminder: Deadline for property tax payments
"Join us for our annual ""Taste of the Town"" food...";Sample dishes from local restaurants and enjoy live music
Lost: A set of silver-rimmed reading glasses, possibly left on...;Lost: Silver-rimmed reading glasses
The community center is looking for volunteer drivers to help...;Grocery shopping trips require volunteer drivers
Free yoga workshop this weekend at the park! All levels...;Yoga workshop this weekend
Wanted: a set of golf clubs with a distinctive red...;Found: Golf Clubs with Red Head Cover
Community Clean-Up Day: Join us this Saturday morning as we...;Meet at the town square at 9 am for supplies...
Free Yoga Session: Get flexible with our free yoga session...;All levels welcome, no experience necessary
Lost Pet Alert: A golden retriever named Max has gone...;Golden Retriever Missing
Art Class for Kids: Let your little ones unleash their...;Let your little ones unleash
Reminder: The annual Fall Festival will take place this Saturday...;Don't miss out on the fun
Road Closure Alert: Oak Street will be closed for roadwork...;Road Closure Alert
Free Yoga Session This Sunday! Join us at the community...;Join us at the community center this weekend
Book Club Meeting Rescheduled The book club meeting previously scheduled...;Book Club Meeting Rescheduled
Community Clean-Up Day Join us on Saturday morning at 9:00...;Saturday morning at 9:00 AM
Book Lover's Club meets this Wednesday at the library to...;Join us for lively conversation!
The local theater group seeks vintage 1920s-style costumes for their...;Vintage 1920s-style costumes needed
This weekend, join us at the farmer's market at the...;This Weekend's Farmer's Market
"The technology club is enrolling for a workshop on ""Smart...";Smart Home Automation Workshop
Our community library launches its new reading challenge starting next...;Start Reading and Win Prizes
Join us at the weekly farmer's market this Saturday at...;This Saturday at the town square
Community clean-up event this Saturday at 9 AM! Let's work...;Meet us at the park entrance with gloves, trash bags,...
Local art studio hosting free painting class for beginners! All...;Local Art Studio Hosting Free Class
Attention all book lovers: The library is hosting a used...;Attention all book lovers
Reminder to all residents: Don't forget that the annual town...;The annual town fair is just around the corner
Found: A lost cat in the neighborhood! If you're missing...;A lost cat in the neighborhood!
The local art studio is offering a free painting class...;All Skill Levels Welcome
Reminder to all dog owners: Please keep those leashes short!...;Reminder for dog owners
The community garden is looking for volunteers to help with...;Community Garden Needs Volunteers
Lost: A small, black dog with a distinctive white patch...;Lost: Small black dog with white patch near park
"Book Club: Join us for a discussion on ""The Alchemist""...";"Join us for a discussion on ""The Alchemist"""
The local library is hosting a book club for adults...;Discuss New Releases
The local library is hosting a book club for adults...;Join us for a book club
The annual Holiday Parade will take place on December 15th...;Join the Fun at the Holiday Parade
