A;B
Community Pool Opens for the Season this Weekend!;Reminder: The community pool opens for the season this weekend!...
I'm starting a casual meet-up group;If anyone is interested in learning about or discussing sustainable...
Celebrating its 5th anniversary with an open house next;The downtown art gallery is celebrating its 5th anniversary with...
I'm offering lawn mowing services this summer.;I’m offering lawn mowing services this summer. I have my...
Thank you So Much;To anyone who helped push my car out of the...
Lost Cat Since Monday;Lost cat: Our family's gray tabby, Whiskers, has been missing...
Our community library starting weekend reading program;Our community library is starting a weekend reading program for...
Attention Cyclists: The City Will Be Adding Bike;Attention cyclists: The city will be adding bike racks at...
Does Anyone Have Experience;Does anyone have experience with rainwater collection systems? I'm looking...
Calling all green thumbs!;Calling all green thumbs! We're looking for guest contributors to...
The Annual Community Yard Sale;The annual community yard sale is scheduled for next Saturday...
Bulk Trash Pickup Happening Next Week;A reminder that bulk trash pickup is happening next week....
I Found a Set of Car Keys;I found a set of car keys near the coffee...
Starting a Community Cycling Group;We're starting a community cycling group that will meet every...
I recently moved here;I recently moved here and I'm a professional carpenter looking...
"Auditions for Summer Production of ""Grease""";The local theater is holding auditions for its summer production...
I'm trying to get a weekly knitting and crochet group...;If anyone is interested in a weekly knitting and crochet...
Organizing a Meeting to Discuss Recent Concerns;Our neighborhood watch is organizing a meeting to discuss recent...
I'm offering free piano lessons for beginners.;I'm offering free piano lessons for beginners. I have a...
The local high school's robotics team is hosting a car;The local high school's robotics team is hosting a car...
Lost Cat: My Grey Tabby;Lost cat: My grey tabby, Misty, has been missing since...
I'm organizing a book;I'm organizing a book drive to help restock the library...
Organic pest control methods;The community garden is offering a workshop on organic pest...
A black wallet was found in the park near the...;A black wallet was found in the park near the...
We're looking for local bands to perform;We're looking for local bands to perform at the upcoming...
I'd like to give them away;My kids have outgrown their bicycles, and I'd like to...
Please keep your dogs;Reminder to all residents: Please keep your dogs on a...
Seeking Volunteer Drivers for Weekly Grocery Shopping;The seniors' center is looking for volunteer drivers to help...
Found a small drone in Lincoln Park near the playground.;Found a small drone in Lincoln Park near the playground....
The city council is hosting a public;The city council is hosting a public forum on the...
Anyone Missing a Green Parakeet?;Anyone missing a green parakeet? A little bird has been...
The Annual Children's Book Fair;The annual children's book fair will be held at the...
I lost a silver bracelet;I lost a silver bracelet somewhere between Park Avenue and...
We're planning;We're planning a cleanup day for the community trails system....
The local fire department will be conducting a controlled burn;The local fire department will be conducting a controlled burn...
The Community Pool Opens for the Season!;Reminder: The community pool opens for the season this weekend!...
Please Message Me If;Please message me if interested....
I'm starting a casual meet-up group;If anyone is interested in learning about or discussing sustainable...
Celebrating its 5th Anniversary with an Open House;The downtown art gallery is celebrating its 5th anniversary with...
The Local Park Now Requires;Reminder for all pet owners: The local park now requires...
The city is launching a new lecture;The city library is launching a new lecture series focused...
Found a blue USB drive in the community center;Found a blue USB drive in the community center parking...
Proper sorting helps reduce waste and keeps our;Reminder: Please adhere to the recycling guidelines posted on our...
We Are Starting a Neighborhood Initiative;We are starting a neighborhood initiative to assist the elderly...
There's a new art exhibition at the downtown gallery;There's a new art exhibition at the downtown gallery featuring...
The Spring Fling Festival;The annual Spring Fling Festival is seeking local vendors. If...
Missing: One small drone, last seen flying near;Missing: One small drone, last seen flying near Maple Street...
I’m organizing a winter;I’m organizing a winter clothing drive for the homeless shelter...
Heads Up, the Annual Community Cleanup will;Heads up, the annual community cleanup will be this Saturday....
Be on the lookout for increased deer activity near;Community Alert: Be on the lookout for increased deer activity...
I’m Offering Math Tutoring;I’m offering math tutoring for high school students. If your...
If Finds a Set of Silver Hoop Earrings at;If anyone finds a set of silver hoop earrings at...
Notice: The Water Main on Jefferson Ave Will Be Shut...;Notice: The water main on Jefferson Ave will be shut...
Found a Child's Stuffed Bear in the Park...;Found a child's stuffed bear in the park near the...
The local Theater Group Needs Your Help!;The local theater group is looking for props and vintage...
Our community's annual book;Our community's annual book fair is returning! We’re currently accepting...
Renew Pet Licenses by the End of This Month;A reminder that pet licenses need to be renewed by...
Volunteers Needed for Community Garden’s Fall Planting Event Next Week;Volunteers needed for the community garden’s fall planting event next...
Let's ace these exams together!;Looking for a study buddy for German language exams. If...
The high school jazz band will be giving a free...;The high school jazz band will be giving a free...
If you're an expert in crafting;If you’re an expert in crafting, consider leading a workshop...
The local food pantry is running;The local food pantry is running low on supplies. We're...
Free Yoga Classes;Free yoga classes are being offered at the park every...
Car-Free Day;Our neighborhood is organizing a car-free day next month to...
Lost: A gold bracelet;Lost: A gold bracelet in the vicinity of Pine Street...
The local volunteer fire department;The local volunteer fire department is hosting an open house...
Attention all tech enthusiasts;Attention all tech enthusiasts: We're forming a new club to...
Heads Up! There Will Be a Temporary Road Closure on...;Heads up! There will be a temporary road closure on...
I Found a Set of House Keys Near the Fountain...;I found a set of house keys near the fountain...
Starting an Indoor Soccer League this Winter;We’re starting an indoor soccer league this winter and need...
Annual Community Potluck Next Saturday;The annual community potluck is scheduled for next Saturday at...
The local museum will be closed for renovations;Notice: The local museum will be closed for renovations starting...
If Anyone Needs Assistance;If anyone needs assistance with fall yard cleanup, our high...
A Lost Cat;Lost cat: A small black and white cat named Oreo...
Make a difference for our kids;The youth soccer league is looking for coaches and referees...
The local historical society is hosting a lecture;The local historical society is hosting a lecture on the...
Found: A Small Remote Control Car;Found: A small remote control car in the alley behind...
Annual Haunted House Fundraiser is Back...;The annual haunted house fundraiser is back! We're looking for...
Keep Sidewalks Clear of Leaves and Debris;Community service reminder: Please keep sidewalks clear of leaves and...
The local art gallery is seeking;The local art gallery is seeking submissions for a community...
Good morning, fellow residents!;Good morning, fellow residents! We're organizing a clean-up day at...
I Bake Custom Cakes For Any Occasion;I bake custom cakes for any occasion—birthdays, anniversaries, you name...
Found a Digital Camera at Ridge Trail Viewpoint;Found a digital camera at the viewpoint on Ridge Trail....
Volunteers Needed for the Library's Annual Book Sale;Volunteers needed for the library’s annual book sale. If you...
Lost: A Set of Gold-Rimmed Reading Glasses;Lost: A set of gold-rimmed reading glasses, possibly left in...
Anyone Interested in Joining a Weekly Meal-Prep Group?;Anyone interested in joining a weekly meal-prep group? We get...
Found a set of car keys in Westside Mall;Found a set of car keys in the Westside Mall...
We are seeking guest speakers for our monthly;We are looking for guest speakers for our monthly virtual...
Our local museum seeks volunteers;Our local museum is currently seeking volunteers to help guide...
Join us this Friday at 7 PM in the;The high school band is hosting a charity concert to...
The city will be repaving several roads;The city will be repaving several roads starting next week....
Annual Plant Swap Next Saturday at Botanical Gardens;Our annual plant swap is happening next Saturday at the...
My Computer Has Been Acting Up...;My computer has been acting up, and I think it...
The community center is offering free CPR;The community center is offering free CPR and first aid...
Lost: A small drone, last seen near Pine Grove Park.;Lost: A small drone, last seen near Pine Grove Park....
The Local Food Bank is in Urgent Need of Canned...;The local food bank is in urgent need of canned...
Clean the Creek;"Join us for the annual ""Clean the Creek"" day next..."
I'm offering tutoring services for middle and high school students...;I'm offering tutoring services for middle and high school students...
The Photography Club is Looking for New Members!;The photography club is looking for new members! We meet...
Missing Cat Whiskers;"Missing cat: ""Whiskers,"" a fluffy white Persian, has been missing..."
Seeking Donations of Old Costumes and Props;The community theater is seeking donations of old costumes and...
There's a computer skills workshop this Thursday.;There’s a computer skills workshop focusing on basic skills like...
Found a small child's bike;Found a small child's bike near the community center. It's...
I'm Offering Guitar Lessons;I'm offering guitar lessons in the evenings and weekends. Whether...
Our Local Fire Station Open House;Our local fire station will be holding an open house...
The Neighborhood Council is Hosting a Forum;The neighborhood council is hosting a forum to discuss upcoming...
A friendly reminder that property taxes are due at the...;A friendly reminder that property taxes are due at the...
The Local Art League is Hosting;The local art league is hosting a weekend workshop on...
"The annual ""Books for Kids""";"The annual ""Books for Kids"" drive is happening now. We're..."
Attention all runners: The community 10K;Attention all runners: The community 10K race is just around...
Lost drone alert: I lost my drone while taking aerial...;Lost drone alert: I lost my drone while taking aerial...
Our local history group is seeking old;Our local history group is seeking old photographs and stories...
Found a smartphone in Central Park near the fountain;Found a smartphone in Central Park near the fountain. It's...
The evening classes in web design and digital marketing starting;The local community college is offering evening classes in web...
Our Community Garden Has Plots Available;Our community garden has a few plots available for the...
Light Up the Night;"Our annual ""Light Up the Night"" holiday parade is seeking..."
Lost Pets: Check the Animal Shelter;If you've lost a pet, remember to check the animal...
The Neighborhood Association is Planning;The neighborhood association is planning a series of workshops on...
Free Concert in the Park this Sunday;The local symphony orchestra will be giving a free concert...
Volunteers needed for our annual river regatta next;Volunteers needed for our annual river regatta next month. We...
The Community Pool is Now Open for the Season;Reminder: The community pool is now open for the season....
Lost a precious silver locket at the downtown market;Lost a precious silver locket at the downtown market last...
The local university extension is offering a series of lectures...;The local university extension is offering a series of lectures...
A Note to All Dog Owners;A note to all dog owners: Please clean up after...
Found a pair of prescription glasses at the bus stop...;Found a pair of prescription glasses at the bus stop...
I lost a small gold locket;I lost a small gold locket near the central plaza...
Join us for our annual;"Join us for our annual ""Taste of the Town"" food..."
A stray dog has been seen roaming near the industrial...;A stray dog has been seen roaming near the industrial...
The Amazing Talent Our Students Have to Offer;The high school's annual art show is open to the...
We're Organizing a Neighborhood Carpool System;We're organizing a neighborhood carpool system to help reduce traffic...
The local library is starting;The local library is starting a series of bi-weekly workshops...
Annual Maintenance of the Town's Water System;Please be advised that the annual maintenance of the town's...
A Brown Leather Briefcase Was Left;A brown leather briefcase was left in the cab of...
There is a community effort to restore the old;There's a community effort to restore the old mill and...
The High School is Collecting Donations for Drama Production;The high school is collecting donations for their upcoming drama...
Our Community Garden Plots Are Now Available;Our community garden plots are now available for the coming...
We're Looking for Volunteers;We’re looking for volunteers to help with the spring festival...
I Found a Set of Keys Near the Lake Trail;I found a set of keys near the lake trail,...
There will be a CPR;There will be a CPR and first aid training session...
The monthly meeting;The monthly meeting of the town council will take place...
The local art club is holding;The local art club is holding an outdoor painting session...
Our town's historical society is looking;Our town's historical society is looking for volunteers to help...
Missing: a Small Drone;Missing: a small drone, last seen flying over Community Park....
Annual Bake Sale THIS Saturday!;The community center's annual bake sale to support local homeless...
The road will be partially closed;The road by the elementary school will be partially closed...
The Local Veterans' Association Charity Run;The local veterans' association is organizing a charity run next...
A Silver Locket was Found;A silver locket was found in the community hall following...
I Just Opened a Yoga Studio;I just opened a yoga studio downtown and am offering...
The Community Orchestra Has Openings for Violinists and Cellists;The community orchestra has openings for violinists and cellists for...
"There is a recall on the ""Baker's Delight"" bread maker";There is a recall on the “Baker’s Delight” bread maker...
Lost Cat;Lost cat: an orange tabby with a white chest, very...
We Are Initiating a Neighborhood Carpool Program;We are initiating a neighborhood carpool program. If you're interested...
To Voice Your Opinions About a New Playground;There's a proposal to build a new playground at the...
The Annual Community Photo Contest;The annual community photo contest is now accepting entries. This...
Volunteers Needed for Downtown Clean-up Day;Volunteers are needed for the downtown clean-up day next Saturday....
"This month's book is ""Where the Crawdads Sing""";The local book club is looking for new members to...
A Reminder to All Residents;A reminder to all residents to adhere to the recycling...
High School Car Wash Fundraiser This Sunday;The high school track and field team is hosting a...
Is Anyone Interested in a Weekly Game Night?;Is anyone interested in a weekly game night? I was...
A New Exhibit on Regional Wildlife;There's a new exhibit on regional wildlife at the Natural...
The Community Health Clinic Will Be Closed Next;The community health clinic will be closed for renovations starting...
An orange and white bicycle was found;An orange and white bicycle was found locked outside the...
The Annual Food Drive Starts Next Week;The annual food drive for the local pantry starts next...
If Anyone Has Expertise in Repairing;If anyone has expertise in repairing old radios, the school's...
The local animal shelter;The local animal shelter is offering discounted adoption fees this...
Reminder: Property taxes are due at the end of the...;Reminder: Property taxes are due at the end of the...
The community soccer league is looking;The community soccer league is looking for referees for the...
A Wallet Was Found;A wallet was found at the bus station on Main...
We're launching a weekend farmers' market;We're launching a weekend farmers' market starting this Saturday in...
I've Been Practicing Spanish and I'm;I've been practicing Spanish and I'm looking for someone to...
A Small Black Notebook Lost;Lost: A small black notebook containing important research notes, last...
The City's Annual Jazz Festival;The city's annual jazz festival is looking for volunteers. If...
The public_library_discontinues_late_fees_on_children_s_books;The public library is discontinuing late fees on all children's...
If You're a Homeowner Interested in Installing Solar;If you’re a homeowner interested in installing solar panels, the...
Found a set of hiking poles near Mount Parker;Found a set of hiking poles near the trailhead of...
The local theatre is in need of old;The local theatre company is in need of old suitcases...
A free e-waste recycling event will;A free e-waste recycling event will be held at the...
The Community Center Hosting Budget Management Workshop;The community center is hosting a workshop on budget management...
Notice for Garden Enthusiasts: The Annual Flower and Garden Show;Notice for garden enthusiasts: The annual flower and garden show...
A local high school's robotics club;A local high school's robotics club is showcasing their projects...
Our local theater group is looking;Our local theater group is looking for new members to...
Attention Parents: The community library is starting a new;Attention parents: The community library is starting a new storytime...
If Anyone Is Interested In Participating;If anyone is interested in participating in a community quilt...
Lost during last weekend's festival: a small;Lost during last weekend's festival: a small, digital camera. It’s...
The Downtown Improvement Committee;The downtown improvement committee is looking for volunteers to help...
Our Local Theater Seeks Vintage 1920s-Style Costumes;Our local theater is looking for old 1920s-style costumes for...
The annual community clean-up;The annual community clean-up day is fast approaching. Gather at...
We have noticed an increase;We have noticed an increase in litter in the park...
A Reminder that the Community Potluck;A reminder that the community potluck is happening this Sunday...
Join a night of stargazing at Hilltop Observatory this Friday;Local amateur astronomers are invited to join a night of...
The youth center is in urgent need of;The youth center is in urgent need of sports equipment...
Exciting News for Young Parents;Exciting news for young parents and tots! Our community center...
I Have A Bunch Of Moving Boxes In Good Condition;I have a bunch of moving boxes in good condition...
A set of keys was found on Oak Avenue...;A set of keys was found this morning on Oak...
To Anyone With Expertise In Tree Pruning;To anyone with expertise in tree pruning: The community orchard...
The local swim team is hosting;The local swim team is hosting tryouts next week for...
If anyone is missing a drone;If anyone is missing a drone, it was last seen...
The Historical Society tours;The Historical Society is offering guided tours of the old...
Volunteers Needed: The Food Bank;Volunteers needed: The food bank is looking for help sorting...
Keep Your Pets on a Leash;Reminder: Please keep your pets on a leash at all...
The Community Garden Harvest Festival;The community garden is organizing a harvest festival next month....
Lost: A small drone with red markings...;Lost: A small drone with red markings, last seen near...
Reminder to all residents: Leaf;Reminder to all residents: Leaf and brush pickup is scheduled...
I'm a Retired Librarian;I'm a retired librarian and would love to start a...
A Reading Group for Mystery Novel Fans;A reading group is forming at the local library for...
The high school's annual art show;The high school's annual art show is this weekend. Come...
Free Health Clinic This Saturday;Free health clinic this Saturday at the community center from...
Attention Dog Owners: A New Dog Park;Attention dog owners: A new dog park is opening next...
Found: A set of house keys with a novelty guitar...;Found: A set of house keys with a novelty guitar...
Car wash fundraiser this Sunday from 10 AM to;Local scout troops are holding a car wash fundraiser this...
The Community Choir is Looking for New Members;The community choir is looking for new members. No audition...
Make Your Own Soap;If you're interested in learning how to make your own...
The local museum seeking volunteers for exhibit on history of...;The local museum is seeking volunteers for their upcoming exhibit...
An outdoor yoga class;An outdoor yoga class will be held every morning at...
I found a set of keys near the bus stop...;I found a set of keys near the bus stop...
Parking will be restricted on Main Street this Friday;Reminder: Parking will be restricted on Main Street this Friday...
Lost: A child's teddy bear;Lost: A child's teddy bear, near the fountain in Central...
Community Picnic to Honor Our Service Members;The local veterans' association is organizing a community picnic next...
The neighborhood association is calling;The neighborhood association is looking for articles and photos for...
A Bicycle Was Found Locked;A bicycle was found locked to a bench at the...
The Community Pottery Studio Open House Event;The community pottery studio is holding an open house event...
Volunteers Needed for Downtown Beautification Project;Volunteers are needed for the downtown beautification project this spring....
Lost: Prescription glasses in a black case;Lost: Prescription glasses in a black case, possibly left on...
A Night of Stargazing at the Observatory;The local astronomy club is hosting a night of stargazing...
Found a backpack containing school books;Found a backpack containing school books and a lunchbox at...
I'm starting a 90-day transformation;I'm starting a fitness challenge group and looking for participants...
A documentary film about the history of our town is...;A documentary film about the history of our town is...
The annual River Run 5K;The annual River Run 5K is seeking sponsors. If your...
The annual community survey is live.;Reminder to all residents: The annual community survey is live....
Lost: A small Drone, last seen flying over Maple Park;Lost: A small drone, last seen flying over Maple Park...
;The public library is starting a teen book club this...
;A workshop on native plants and their benefits to our...
If you've found a set of car keys...;If you've found a set of car keys with a...
The local animal shelter is offering discounted microchipping services this;The local animal shelter is offering discounted microchipping services this...
Community Alert: Increase in Bicycle Thefts Downtown;Community Alert: We've noticed an increase in bicycle thefts in...
The community garden is now accepting applications...;The community garden on Fifth Street is now accepting applications...
Anyone Up for Forming a Local History Club;Anyone up for forming a local history club? We could...
Annual Street Cleaning Will Begin Next Week;A reminder that the annual street cleaning will begin next...
The jazz ensemble from the community college will;The jazz ensemble from the community college will be performing...
Found: A Small Pouch Containing Various Crafting Tools;Found: A small pouch containing various crafting tools, left behind...
The City's Transit Authority Will Be Holding;The city's transit authority will be holding a public hearing...
Lost During the Fun Run: a digital sports watch, black...;Lost during the fun run: a digital sports watch, black...
The local theater is seeking;The local theater is seeking old newspapers and magazines for...
The High School Robotics Team Needs Local Sponsors!;The high school robotics team is looking for local businesses...
Free ESL Classes;Free ESL classes will be offered every Monday and Wednesday...
Saturday beekeeping workshop;The local beekeepers association is hosting a beginner's workshop on...
A wallet was found near the outdoor gym in Central...;A wallet was found near the outdoor gym in Central...
I Make Handmade Jewelry;I make handmade jewelry and I'm thinking of setting up...
Volunteers Needed to Help Set Up and Take Down This...;Volunteers are needed to help set up and take down...
The High School's Annual Craft Bazaar Next Weekend;The high school's annual craft bazaar is next weekend. Come...
Lost: A Small Drone With A Red Stripe;Lost: a small drone with a red stripe, last seen...
Dog licenses must be renewed by;Reminder: Dog licenses must be renewed by the end of...
City Planning Reforestation Day Next Month...;The city is planning a reforestation day next month. We're...
A set of Car Keys with a novelty football keychain...;A set of car keys with a novelty football keychain...
Auditions will be held next Saturday at the community;The community orchestra is inviting local musicians to join their...
The local business association is host;The local business association is hosting a networking event for...
Found: A pair of prescription glasses in a black case...;Found: A pair of prescription glasses in a black case...
The Town Hall is Exhibiting Historical Photographs through the Decades;The town hall is exhibiting a collection of historical photographs...
I've noticed a few stray;I've noticed a few stray dogs around the neighborhood recently....
Lost: A children’s backpack with cartoon characters;Lost: A children’s backpack with cartoon characters, last seen at...
The local veterans' group;The local veterans' group is organizing a charity raffle to...
The Downtown Area Will Be Closed to Vehicle Traffic This...;The downtown area will be closed to vehicle traffic this...
A small gold ring;Found: A small gold ring at the city park near...
Volunteers Needed for the City's Annual Film Festival;Volunteers needed for the city’s annual film festival. Roles include...
Learn How to Make Your Garden More Eco-Friendly;The local botanical garden is starting a series of weekend...
The community center's swimming pool will be closed for annual...;Reminder: The community center's swimming pool will be closed for...
The Annual Community Art Contest;The annual community art contest is now accepting entries. This...
Lost Pet Ferret in Oakridge Neighborhood;A resident has reported a lost pet ferret in the...
The Local Historical Society is Seeking;The local historical society is seeking donations of artifacts and...
Is anyone else interested in sustainable living?;Is anyone else interested in sustainable living? I'm trying to...
The Community College is Offering a Series of Free Workshops;The community college is offering a series of free workshops...
Found: A Child's Drawing Pad with Sketches;Found: A child’s drawing pad with sketches, found on a...
Reminder: Next Saturday is the deadline for registering;A reminder that next Saturday is the deadline for registering...
The Downtown Parking Garage Will Be Undergoing Renovations;The downtown parking garage will be undergoing renovations starting next...
A drone was found in the;A drone was found in the high school football field...
The local senior center is looking for volunteers to;The local senior center is looking for volunteers to help...
Lost: A silver locket near Cedar Mall, sentimental value;Lost: A silver locket near Cedar Mall, sentimental value, contains...
The community theater's costume department is in urgent need;The community theater's costume department is in urgent need of...
Reminder: Quarterly Bulk Waste Collection;Reminder: The quarterly bulk waste collection is scheduled for next...
Meet the Author this Friday;"The public library is starting a new series called ""Meet..."
I'm a Professional Photographer;I'm a professional photographer offering mini photo sessions this weekend...
Found: A set of professional drawing tools in a leather...;Found: A set of professional drawing tools in a leather...
Bring the kids to the neighborhood park's new playground this...;The neighborhood park's new playground equipment installation has been completed....
Volunteers Needed for Winter Festival;Volunteers are needed for the upcoming Winter Festival. If you...
Lost: A wristwatch with a blue strap;Lost: A wristwatch with a blue strap, last seen in...
The Local Garden Club's Free Session on Winter Gardening;The local garden club is offering a free session on...
The town's traffic light upgrade;The town's traffic lights at the intersection of Main and...
Reminder: Dog Walking Restrictions;Reminder: Dog walking is not allowed on the artificial turf...
The community center is hosting a;The community center is hosting a donation drive for school...
The City's Annual Tree Planting Event This Saturday;Reminder: The city’s annual tree planting event is happening this...
;Found: A small silver bracelet near the bus stop on...
Looking for recommendations for a reliable;Looking for recommendations for a reliable babysitter in the area....
The community library's Wi-Fi will be upgraded;The community library's Wi-Fi will be upgraded this Thursday, leading...
The Local Youth Soccer Club is Looking for Sponsors;The local youth soccer club is looking for sponsors for...
Join us for a bird-watching walk through Miller Woods this;Attention bird enthusiasts: Join us for a bird-watching walk through...
Lost: A pair of prescription sunglasses at Sunset Park;Lost: A pair of prescription sunglasses at Sunset Park. They...
The city council is seeking public feedback on the new...;The city council is seeking public feedback on the new...
Volunteers needed for the community;Volunteers needed for the community food bank this Friday. We're...
The Importance of Being Earnest;The high school drama club is performing their spring play,...
Found: A Drone in Thompson Field;Found: A drone in Thompson Field, likely from a recent...
The Neighborhood Watch Program is Organizing a Safety Workshop;The neighborhood watch program is organizing a safety workshop focused...
The Annual Book Sale;The annual book sale at the library is now accepting...
I Need a Helping Hand?;Need a helping hand? I’m available for babysitting or pet...
I accidentally ordered two of the same book;I accidentally ordered two of the same book online. It's...
Lost: A small gold earring with a blue gemstone...;Lost: A small gold earring with a blue gemstone, possibly...
The City is Conducting a Survey;The city is conducting a survey to understand the community’s...
The local veterans' home is looking;The local veterans' home is looking for volunteers to spend...
Annual Fireworks Display at the Waterfront;Reminder: The annual fireworks display for the Fourth of July...
The Environmental Club is Leading a Cleanup;The environmental club is leading a cleanup at Beachy Head...
Lost: A set of keys with a red fob;Lost: A set of keys with a red fob, last...
Attention All Runners;Attention all runners: The community 5K is just around the...
How to make your own candles;The crafters guild is hosting a workshop on how to...
No Parking on Main Street this Saturday;Reminder: No parking on Main Street this Saturday due to...
Join The Community Orchestra;The community orchestra is looking for musicians who play woodwind...
We’re Putting Together a Community Quilt;We’re putting together a community quilt and looking for contributors....
A child's drawing pad filled with sketches;Found: A child's drawing pad filled with sketches, left behind...
The city is updating its zoning regulations.;The city is updating its zoning regulations. A public hearing...
The Downtown Farmers' Market is Now Open;The downtown farmers' market is now open every Sunday from...
A Free Vaccination Clinic for Pets Will Be Held;Attention all pet owners: A free vaccination clinic for pets...
The Local Historical Society's Walking Tour;The local historical society is conducting a walking tour of...
A Blue And White Striped Beach Towel;Lost: A blue and white striped beach towel, left on...
If found, please contact me.;It has great sentimental value as it was a gift....
A GoPro Camera Found;Found: A GoPro camera near the trails at Ridgeback Mountain....
The Jazz Ensemble from the Community College;The jazz ensemble from the community college will be performing...
Notice of Power Outages;Notice of power outages: Scheduled electrical maintenance will occur this...
I've Started A Blog About Our Neighborhood's;I've just started a blog about our neighborhood’s history and...
Attention All Pet Owners: A free vaccination clinic for pets;Attention all pet owners: A free vaccination clinic for pets...
The local volunteer fire department;The local volunteer fire department is hosting an open house...
If anyone needs help setting up;If anyone needs help setting up their new computers or...
Join Us for a Night at the Movies in the...;Join us for a night at the movies in the...
Don't Miss Out on Great Bargains!;Reminder: The annual neighborhood garage sale is happening this Sunday...
Get Your Sneakers On for Charity Run Next Month!;Get your sneakers on for the charity run next month!...
A Meditation and Yoga Session;A meditation and yoga session will be held every Sunday...
Mary Johnson to Speak about Latest Book at 4 PM;The local library is introducing 'author of the month' series...
Lost: A blue and white striped beach towel near lifeguard...;Lost: A blue and white striped beach towel, left on...
The City Park Department is Looking;The city park department is looking for volunteers to help...
Our local pet shelter is in;Our local pet shelter is in desperate need of foster...
Seeking Volunteer Drivers for Weekly Grocery Shopping;The seniors' center is looking for volunteer drivers to help...
Community Alert: Reports of Suspicious Activities;Community Alert: There have been reports of suspicious activities in...
I’m organizing a winter;I’m organizing a winter clothing drive for the homeless shelter...
Attention, pet owners!;Attention, pet owners! There have been reports of increased tick...
The water main on Jefferson Ave will be shut off...;Notice: The water main on Jefferson Ave will be shut...
The annual River Cleanup;The annual river cleanup is happening this weekend. We're looking...
I’m trying to find a home for;I’m trying to find a home for a friendly stray...
The environmental club is leading a cleanup;The environmental club is leading a cleanup at Beachy Head...
A Community Garage Sale!;Heads up! A community garage sale is set for next...
Certified Sitter Available!;Experienced babysitter available! I'm certified in CPR and have five...
I'm planning;I'm planning a plant exchange next month. Bring your cuttings,...
Lost Dog Alert: Missing from near Central Park since yesterday.;Lost Dog Alert: Missing from near Central Park since yesterday....
Street Fair this Saturday!;Street Fair this Saturday! Join us from noon to 5...
Important Discussions on Budget and New School Policies;Reminder: School board meeting tonight at 8 PM in the...
The Book of the Month is 'The Great Gatsby';Book Lover's Club is meeting this Wednesday at the library....
Yard Waste Pickup Starts This Friday;Yard waste pickup starts this Friday. Please have your leaves...
A New Coffee Shop, Bean There, is Opening this Monday;A new coffee shop, Bean There, is opening on Elm...
Community Alert: Be on the lookout for suspicious activity near...;Community Alert: Be on the lookout for suspicious activity near...
Fitness Fun Day this Wednesday at 5 PM.;Fitness Fun Day at the Community Center this Wednesday at...
Seeking Volunteers for Local Food Pantry this Saturday;Seeking volunteers for the local food pantry this Saturday. Help...
Got Extra Garden Tools?;Got extra garden tools? The community garden is accepting donations....
Raising Money for School Trip;My daughter is raising money for her school trip by...
Bike Sale: Selling several gently used bikes;Bike Sale: Selling several gently used bikes Saturday at 111...
Found Cat: Grey tabby near Willow Park...;Found Cat: Grey tabby found near Willow Park. Appears well...
Local Artist Showcase at the Art Center this Friday;Local artist showcase at the Art Center this Friday. Come...
Karaoke night at the Oak Tree Tavern!;Karaoke night at the Oak Tree Tavern this Thursday night!...
Free cooking class this Monday!;Free cooking class at the public kitchen this Monday. Learn...
