Posts;Llama Baseline;Rule-based Baseline;ChatGPT-3.5-Turbo Baseline
Reminder: Please adhere to the recycling guidelines posted on our town’s website. Proper sorting helps reduce waste and keeps our community clean.;Proper sorting helps reduce waste and keeps our;Reminder: Please adhere to the recycling guidelines posted on our...;adhere to the recycling guidelines posted on our town’s website
We are starting a neighborhood initiative to assist the elderly with grocery shopping during these challenging times. If you can volunteer a few hours a week, please sign up through our community volunteer form.;We Are Starting a Neighborhood Initiative;We are starting a neighborhood initiative to assist the elderly...;Starting a neighborhood initiative to assist the elderly with grocery...
There's a new art exhibition at the downtown gallery featuring contemporary artists from our region. The opening reception is this Friday from 6 PM to 9 PM. Come support local art and enjoy some great company.;There's a new art exhibition at the downtown gallery;There's a new art exhibition at the downtown gallery featuring...;New art exhibition at downtown gallery featuring contemporary artists
The annual Spring Fling Festival is seeking local vendors. If you produce homemade goods, crafts, or have a food truck, apply on our website to participate.;The Spring Fling Festival;The annual Spring Fling Festival is seeking local vendors. If...;Seeking local vendors for annual Spring Fling Festival
Missing: One small drone, last seen flying near Maple Street Park. It’s white with green stripes. Contains personal footage. If found, please contact me as soon as possible.;Missing: One small drone, last seen flying near;Missing: One small drone, last seen flying near Maple Street...;Missing: One small drone, last seen flying near Maple Street...
I’m organizing a winter clothing drive for the homeless shelter downtown. If you have coats, hats, gloves, or scarves that you no longer need, please consider donating. You can drop off items at my house or I can pick them up.;I’m organizing a winter;I’m organizing a winter clothing drive for the homeless shelter...;organizing a winter clothing drive for the homeless shelter downtown
Heads up, the annual community cleanup will be this Saturday. We’re focusing on the riverbank this year. Volunteers should meet at the main bridge at 8 AM. Supplies provided.;Heads Up, the Annual Community Cleanup will;Heads up, the annual community cleanup will be this Saturday....;Annual community cleanup this Saturday, focusing on the riverbank
Community Alert: Be on the lookout for increased deer activity near the wooded areas of our neighborhood. Drive cautiously, especially during dusk and dawn.;Be on the lookout for increased deer activity near;Community Alert: Be on the lookout for increased deer activity...;Increased deer activity near wooded areas of our neighborhood
I’m offering math tutoring for high school students. If your teen needs help with algebra, geometry, or calculus, feel free to reach out. Available evenings and weekends.;I’m Offering Math Tutoring;I’m offering math tutoring for high school students. If your...;Math tutoring for high school students
If anyone finds a set of silver hoop earrings at the community gym, please let me know. They were a gift and have sentimental value.;If Finds a Set of Silver Hoop Earrings at;If anyone finds a set of silver hoop earrings at...;set of silver hoop earrings at the community gym
Notice: The water main on Jefferson Ave will be shut off for emergency repairs tomorrow from 10 AM until about 3 PM. Please plan accordingly.;Notice: The Water Main on Jefferson Ave Will Be Shut...;Notice: The water main on Jefferson Ave will be shut...;Emergency Repairs Tomorrow From 10 AM Until About 3 PM
Found a child's stuffed bear in the park near the playground. It's brown with a red bow tie. I left it on the bench near the entrance in case the owner comes looking.;Found a Child's Stuffed Bear in the Park...;Found a child's stuffed bear in the park near the...;Found a child's stuffed bear in the park near the...
The local theater group is looking for props and vintage clothing for their upcoming play set in the 1920s. If you have any items to lend or donate, please contact us.;The local Theater Group Needs Your Help!;The local theater group is looking for props and vintage...;Looking for props and vintage clothing for 1920s play
Our community's annual book fair is returning! We’re currently accepting donations of books in good condition. Drop them off at the library or contact us for large donations.;Our community's annual book;Our community's annual book fair is returning! We’re currently accepting...;Accepting donations of books in good condition
A reminder that pet licenses need to be renewed by the end of this month. You can renew online through the city’s official website or in person at the town hall.;Renew Pet Licenses by the End of This Month;A reminder that pet licenses need to be renewed by...;A reminder that pet licenses need to be renewed by...
Volunteers needed for the community garden’s fall planting event next weekend. Come help us get the garden ready for winter and enjoy some fresh air and community spirit.;Volunteers Needed for Community Garden’s Fall Planting Event Next Week;Volunteers needed for the community garden’s fall planting event next...;Volunteers needed for the community garden’s fall planting event
Looking for a study buddy for German language exams. If anyone is interested in pairing up for some practice sessions, it could be a great way to improve our skills more quickly. Let’s ace these exams together!;Let's ace these exams together!;Looking for a study buddy for German language exams. If...;Looking for a study buddy for German language exams
The high school jazz band will be giving a free concert at the town square this Thursday at 7 PM. Bring a chair and enjoy some great music from our talented students.;The high school jazz band will be giving a free...;The high school jazz band will be giving a free...;Free concert at the town square this Thursday at 7...
If you’re an expert in crafting, consider leading a workshop at our community center. We’re looking for people to teach sewing, pottery, and more this fall.;If you're an expert in crafting;If you’re an expert in crafting, consider leading a workshop...;looking for people to teach sewing, pottery, and more this...
The local food pantry is running low on supplies. We're in urgent need of canned vegetables, peanut butter, and baby formula. Please consider donating if you can.;The local food pantry is running;The local food pantry is running low on supplies. We're...;Running low on supplies. Urgent need of canned vegetables, peanut...
Free yoga classes are being offered at the park every Sunday morning at 9 AM. Bring a mat and some water, and enjoy a peaceful start to your day.;Free Yoga Classes;Free yoga classes are being offered at the park every...;Free yoga classes at the park every Sunday morning
Our neighborhood is organizing a car-free day next month to promote walking and cycling. Join us in leaving your car at home and enjoying the streets on foot or bike!;Car-Free Day;Our neighborhood is organizing a car-free day next month to...;Join us in leaving your car at home
Lost: A gold bracelet in the vicinity of Pine Street Market. If anyone has picked it up, please contact me. Offering a reward for its return.;Lost: A gold bracelet;Lost: A gold bracelet in the vicinity of Pine Street...;Lost: A gold bracelet in the vicinity of Pine Street...
The local volunteer fire department is hosting an open house next weekend. Come tour the station, meet the firefighters, and learn about fire safety.;The local volunteer fire department;The local volunteer fire department is hosting an open house...;Local volunteer fire department hosting open house next weekend
Attention all tech enthusiasts: We're forming a new club to discuss the latest in technology, from gadgets to software. Our first meeting is next Wednesday at the town library.;Attention all tech enthusiasts;Attention all tech enthusiasts: We're forming a new club to...;Attention all tech enthusiasts: We're forming a new club to...
Heads up! There will be a temporary road closure on Elm Street this weekend due to the street fair. Plan your routes accordingly to avoid delays.;Heads Up! There Will Be a Temporary Road Closure on...;Heads up! There will be a temporary road closure on...;temporary road closure on Elm Street this weekend due to...
I found a set of house keys near the fountain downtown—they have a red keychain with a soccer ball on it. Contact me if they might be yours.;I Found a Set of House Keys Near the Fountain...;I found a set of house keys near the fountain...;Keys found near fountain downtown with red soccer ball keychain
We’re starting an indoor soccer league this winter and need a few more players to fill out our roster. Games are on Tuesday nights. If you're interested in joining, please send me your details. All skill levels are welcome!;Starting an Indoor Soccer League this Winter;We’re starting an indoor soccer league this winter and need...;Indoor Soccer League this winter, need more players for Tuesday...
The annual community potluck is scheduled for next Saturday at the park pavilion. Bring a dish to share and come enjoy food and fun with your neighbors.;Annual Community Potluck Next Saturday;The annual community potluck is scheduled for next Saturday at...;Annual Community Potluck Scheduled Next Saturday
Notice: The local museum will be closed for renovations starting next week. It will reopen in early November with new exhibits and features.;The local museum will be closed for renovations;Notice: The local museum will be closed for renovations starting...;The local museum will be closed for renovations
If anyone needs assistance with fall yard cleanup, our high school service club students are offering their help as a fundraiser. Contact the school office to arrange a time.;If Anyone Needs Assistance;If anyone needs assistance with fall yard cleanup, our high...;High school service club students offering fall yard cleanup assistance
Lost cat: A small black and white cat named Oreo has gone missing from Grove Street. She's very timid. If seen, please contact me immediately.;A Lost Cat;Lost cat: A small black and white cat named Oreo...;Lost cat: A small black and white cat named Oreo...
The youth soccer league is looking for coaches and referees for the upcoming season. No experience necessary—we provide training. This is a great way to get involved in the community and make a difference for our kids.;Make a difference for our kids;The youth soccer league is looking for coaches and referees...;Looking for coaches and referees for youth soccer league
The local historical society is hosting a lecture on the architectural history of our town next Thursday. It's free for members and $5 for non-members.;The local historical society is hosting a lecture;The local historical society is hosting a lecture on the...;Architectural history lecture next Thursday
Found: A small remote control car in the alley behind Main Street. It's red and black. Please contact me if it belongs to your family.;Found: A Small Remote Control Car;Found: A small remote control car in the alley behind...;Found: A small remote control car in the alley behind...
The annual haunted house fundraiser is back! We're looking for volunteers to help with setup, acting, and cleanup. If you love Halloween and want to be part of the fun, please sign up.;Annual Haunted House Fundraiser is Back...;The annual haunted house fundraiser is back! We're looking for...;Annual haunted house fundraiser is back
Community service reminder: Please keep sidewalks clear of leaves and debris as we move into fall. This helps ensure safety and accessibility for everyone, especially those with mobility issues.;Keep Sidewalks Clear of Leaves and Debris;Community service reminder: Please keep sidewalks clear of leaves and...;Please keep sidewalks clear of leaves and debris as we...
"The local art gallery is seeking submissions for a community art project. The theme is ""Unity."" Selected works will be displayed in a special exhibit next month.";The local art gallery is seeking;The local art gallery is seeking submissions for a community...;Seeking submissions for a community art project themed 'Unity'
Good morning, fellow residents! We're organizing a clean-up day at Liberty Park this Saturday starting at 9 AM. It’s a great opportunity to help keep our community beautiful and meet some new faces. We'll provide bags and gloves, just bring your energy and maybe a friend!;Good morning, fellow residents!;Good morning, fellow residents! We're organizing a clean-up day at...;Clean-up day at Liberty Park this Saturday starting at 9...
I bake custom cakes for any occasion—birthdays, anniversaries, you name it! If you’re looking for something special, please reach out. I’d love to make your next celebration even sweeter.;I Bake Custom Cakes For Any Occasion;I bake custom cakes for any occasion—birthdays, anniversaries, you name...;I bake custom cakes for any occasion—birthdays, anniversaries, you name...
Found a digital camera at the viewpoint on Ridge Trail. It contains vacation photos. I’d love to get it back to its owner—please contact me to identify and claim it.;Found a Digital Camera at Ridge Trail Viewpoint;Found a digital camera at the viewpoint on Ridge Trail....;Digital camera found at viewpoint on Ridge Trail with vacation...
Volunteers needed for the library’s annual book sale. If you can help sort and price books or staff the sale days, please let us know. It’s a fun way to support the library and meet fellow book lovers.;Volunteers Needed for the Library's Annual Book Sale;Volunteers needed for the library’s annual book sale. If you...;Volunteers needed for the library’s annual book sale
Lost: A set of gold-rimmed reading glasses, possibly left in the park pavilion. They’re crucial for my daily activities. Please call me if you find them.;Lost: A Set of Gold-Rimmed Reading Glasses;Lost: A set of gold-rimmed reading glasses, possibly left in...;Lost: A set of gold-rimmed reading glasses, possibly left in...
Anyone interested in joining a weekly meal-prep group? We get together to cook large batches of meals for busy weeks ahead. It's a great way to learn new recipes and share the cooking load!;Anyone Interested in Joining a Weekly Meal-Prep Group?;Anyone interested in joining a weekly meal-prep group? We get...;Joining a weekly meal-prep group to cook large batches of...
Found a set of car keys in the Westside Mall parking lot near the food court entrance. They have a small Batman keychain and a USB drive attached. Please contact me to claim them.;Found a set of car keys in Westside Mall;Found a set of car keys in the Westside Mall...;Found a set of car keys in the Westside Mall...
We are looking for guest speakers for our monthly virtual technology forum. If you have expertise in IT, digital marketing, or e-commerce, we'd love to hear from you. Great opportunity to share your knowledge and connect with the community.;We are seeking guest speakers for our monthly;We are looking for guest speakers for our monthly virtual...;Looking for guest speakers for monthly virtual technology forum
Our local museum is currently seeking volunteers to help guide weekend tours. If you're passionate about history and love interacting with people, please consider signing up. Training is provided.;Our local museum seeks volunteers;Our local museum is currently seeking volunteers to help guide...;Seeking volunteers to help guide weekend tours
The high school band is hosting a charity concert to raise funds for their upcoming competition trip. Join us this Friday at 7 PM in the school auditorium for an evening of music and support.;Join us this Friday at 7 PM in the;The high school band is hosting a charity concert to...;Charity concert to raise funds for upcoming competition trip
The city will be repaving several roads starting next week. Affected streets include Pine, Maple, and First Avenue. Expect detours and plan your routes accordingly.;The city will be repaving several roads;The city will be repaving several roads starting next week....;Repaving several roads starting next week
Our annual plant swap is happening next Saturday at the botanical gardens. Bring your cuttings, seedlings, or potted plants to trade with other garden enthusiasts.;Annual Plant Swap Next Saturday at Botanical Gardens;Our annual plant swap is happening next Saturday at the...;annual plant swap is happening next Saturday at the botanical...
My computer has been acting up, and I think it might have a virus. Is there anyone in town who does reliable computer repairs? I’d really appreciate a recommendation!;My Computer Has Been Acting Up...;My computer has been acting up, and I think it...;My computer has been acting up, and I think it...
