A;B;C
Attention, pet owners!;Attention, pet owners! There have been reports of increased tick...;Increased tick activity in local parks
The water main on Jefferson Ave will be shut off...;Notice: The water main on Jefferson Ave will be shut...;Water main on Jefferson Ave shut off for emergency repairs
The annual River Cleanup;The annual river cleanup is happening this weekend. We're looking...;Volunteers needed for annual river cleanup this weekend
I’m trying to find a home for;I’m trying to find a home for a friendly stray...;I’m trying to find a home for a friendly stray...
The environmental club is leading a cleanup;The environmental club is leading a cleanup at Beachy Head...;Cleanup at Beachy Head this Saturday with provided supplies and...
A Community Garage Sale!;Heads up! A community garage sale is set for next...;Community Garage Sale Next Sunday at Pine Grove Park
Certified Sitter Available!;Experienced babysitter available! I'm certified in CPR and have five...;Experienced babysitter available!
I'm planning;I'm planning a plant exchange next month. Bring your cuttings,...;Plant exchange next month: Bring your cuttings, seedlings, or potted...
Lost Dog Alert: Missing from near Central Park since yesterday.;Lost Dog Alert: Missing from near Central Park since yesterday....;Lost Dog Alert: Missing from near Central Park since yesterday.
Street Fair this Saturday!;Street Fair this Saturday! Join us from noon to 5...;Street Fair this Saturday! Join us from noon to 5...
Important Discussions on Budget and New School Policies;Reminder: School board meeting tonight at 8 PM in the...;Important discussions on budget and new school policies.
The Book of the Month is 'The Great Gatsby';Book Lover's Club is meeting this Wednesday at the library....;Book Lover's Club is meeting this Wednesday at the library.
Yard Waste Pickup Starts This Friday;Yard waste pickup starts this Friday. Please have your leaves...;Yard waste pickup starts this Friday
A New Coffee Shop, Bean There, is Opening this Monday;A new coffee shop, Bean There, is opening on Elm...;Free coffee samples from 9 AM to 11 AM
Community Alert: Be on the lookout for suspicious activity near...;Community Alert: Be on the lookout for suspicious activity near...;Recent vandalism has been reported
Fitness Fun Day this Wednesday at 5 PM.;Fitness Fun Day at the Community Center this Wednesday at...;Fitness Fun Day at the Community Center this Wednesday at...
Seeking Volunteers for Local Food Pantry this Saturday;Seeking volunteers for the local food pantry this Saturday. Help...;Seeking volunteers for the local food pantry this Saturday
Got Extra Garden Tools?;Got extra garden tools? The community garden is accepting donations....;Drop them off at the tool shed any day this...
Raising Money for School Trip;My daughter is raising money for her school trip by...;raising money for her school trip by offering pet sitting...
Bike Sale: Selling several gently used bikes;Bike Sale: Selling several gently used bikes Saturday at 111...;Great deals for all ages!
Found Cat: Grey tabby near Willow Park...;Found Cat: Grey tabby found near Willow Park. Appears well...;Found Cat: Grey tabby found near Willow Park
Local Artist Showcase at the Art Center this Friday;Local artist showcase at the Art Center this Friday. Come...;Local artist showcase at the Art Center this Friday
Karaoke night at the Oak Tree Tavern!;Karaoke night at the Oak Tree Tavern this Thursday night!...;Karaoke night at the Oak Tree Tavern this Thursday night!
Free cooking class this Monday!;Free cooking class at the public kitchen this Monday. Learn...;Free cooking class at the public kitchen this Monday
Garage Sale Tips Workshop at the Community Hall;Garage Sale Tips Workshop at the Community Hall this Tuesday...;Garage Sale Tips Workshop at the Community Hall this Tuesday...
Need Help with Fall Leaf Removal?;Need help with fall leaf removal? Contact Jake at 555-2341....;Affordable rates for your gardens and driveways cleaning services
Historic Walk through Old Town this Saturday morning.;Join the Historic Walk through old town this Saturday morning....;Historic Walk through old town this Saturday morning
Puppy Training Sessions Start Next Week;Puppy Training Sessions start next week at the Animal Welfare...;Puppy Training Sessions start next week at the Animal Welfare...
Local Theater Auditions for 'Romeo and Juliet';Local theater group holding auditions for 'Romeo and Juliet'. Experienced...;Local theater group holding auditions for 'Romeo and Juliet'
