A;B;C
Reminder: Dog Walking Restrictions;Reminder: Dog walking is not allowed on the artificial turf...;Reminder: Dog walking is not allowed on the artificial turf...
The community center is hosting a;The community center is hosting a donation drive for school...;Donation drive for school supplies at community center
The City's Annual Tree Planting Event This Saturday;Reminder: The city’s annual tree planting event is happening this...;Annual tree planting event this Saturday at Greenway Park
;Found: A small silver bracelet near the bus stop on...;Found: A small silver bracelet near the bus stop on...
Looking for recommendations for a reliable;Looking for recommendations for a reliable babysitter in the area....;Looking for recommendations for a reliable babysitter in the area.
The community library's Wi-Fi will be upgraded;The community library's Wi-Fi will be upgraded this Thursday, leading...;Potential Service Interruptions from 8 AM to 12 PM
The Local Youth Soccer Club is Looking for Sponsors;The local youth soccer club is looking for sponsors for...;Looking for sponsors for upcoming season
Join us for a bird-watching walk through Miller Woods this;Attention bird enthusiasts: Join us for a bird-watching walk through...;Join us for a bird-watching walk through Miller Woods this...
Lost: A pair of prescription sunglasses at Sunset Park;Lost: A pair of prescription sunglasses at Sunset Park. They...;Lost: A pair of prescription sunglasses at Sunset Park.
The city council is seeking public feedback on the new...;The city council is seeking public feedback on the new...;Share your thoughts in the online survey available on the...
Volunteers needed for the community;Volunteers needed for the community food bank this Friday. We're...;Volunteers needed for the community food bank this Friday
The Importance of Being Earnest;The high school drama club is performing their spring play,...;The high school drama club is performing their spring play
Found: A Drone in Thompson Field;Found: A drone in Thompson Field, likely from a recent...;Found: A drone in Thompson Field, likely from a recent...
The Neighborhood Watch Program is Organizing a Safety Workshop;The neighborhood watch program is organizing a safety workshop focused...;Safety workshop focused on personal and home security
The Annual Book Sale;The annual book sale at the library is now accepting...;annual book sale at the library is now accepting donations
I Need a Helping Hand?;Need a helping hand? I’m available for babysitting or pet...;Available for babysitting or pet sitting services within the neighborhood
I accidentally ordered two of the same book;I accidentally ordered two of the same book online. It's...;extra copy off me at a discounted price
Lost: A small gold earring with a blue gemstone...;Lost: A small gold earring with a blue gemstone, possibly...;Lost: A small gold earring with a blue gemstone...
The City is Conducting a Survey;The city is conducting a survey to understand the community’s...;Your input is valuable and will help guide future developments
The local veterans' home is looking;The local veterans' home is looking for volunteers to spend...;Looking for volunteers to spend time with residents
Annual Fireworks Display at the Waterfront;Reminder: The annual fireworks display for the Fourth of July...;Annual fireworks display for the Fourth of July at the...
The Environmental Club is Leading a Cleanup;The environmental club is leading a cleanup at Beachy Head...;Cleanup at Beachy Head this Saturday. Supplies and snacks provided
Lost: A set of keys with a red fob;Lost: A set of keys with a red fob, last...;Lost: A set of keys with a red fob
Attention All Runners;Attention all runners: The community 5K is just around the...;community 5K is just around the corner. Sign up to...
How to make your own candles;The crafters guild is hosting a workshop on how to...;Workshop on how to make your own candles
No Parking on Main Street this Saturday;Reminder: No parking on Main Street this Saturday due to...;No parking on Main Street this Saturday due to the...
Join The Community Orchestra;The community orchestra is looking for musicians who play woodwind...;Looking for musicians who play woodwind instruments
We’re Putting Together a Community Quilt;We’re putting together a community quilt and looking for contributors....;looking for contributors
A child's drawing pad filled with sketches;Found: A child's drawing pad filled with sketches, left behind...;Child's drawing pad found filled with sketches at Central Park
The city is updating its zoning regulations.;The city is updating its zoning regulations. A public hearing...;Updating zoning regulations: Public hearing for resident input
The Downtown Farmers' Market is Now Open;The downtown farmers' market is now open every Sunday from...;Come support local farmers and artisans while enjoying fresh produce...
A Free Vaccination Clinic for Pets Will Be Held;Attention all pet owners: A free vaccination clinic for pets...;Free vaccination clinic for pets next Saturday
The Local Historical Society's Walking Tour;The local historical society is conducting a walking tour of...;Historic downtown walking tour next Saturday
A Blue And White Striped Beach Towel;Lost: A blue and white striped beach towel, left on...;Lost: A blue and white striped beach towel, left on...
If found, please contact me.;It has great sentimental value as it was a gift....;If found, please contact me.
A GoPro Camera Found;Found: A GoPro camera near the trails at Ridgeback Mountain....;Found: A GoPro camera near the trails at Ridgeback Mountain.
The Jazz Ensemble from the Community College;The jazz ensemble from the community college will be performing...;Performing live at the city park this Friday evening
Notice of Power Outages;Notice of power outages: Scheduled electrical maintenance will occur this...;Power outages: Scheduled electrical maintenance this Wednesday from 8 AM...
I've Started A Blog About Our Neighborhood's;I've just started a blog about our neighborhood’s history and...;blog about our neighborhood’s history and architecture
Attention All Pet Owners: A free vaccination clinic for pets;Attention all pet owners: A free vaccination clinic for pets...;Free vaccination clinic for pets at the animal shelter next...
The local volunteer fire department;The local volunteer fire department is hosting an open house...;hosting an open house next weekend. Come tour the station
If anyone needs help setting up;If anyone needs help setting up their new computers or...;offering my services free of charge this month
Join Us for a Night at the Movies in the...;Join us for a night at the movies in the...;Join us for a night at the movies in the...
Don't Miss Out on Great Bargains!;Reminder: The annual neighborhood garage sale is happening this Sunday...;annual neighborhood garage sale is happening this Sunday from 9...
Get Your Sneakers On for Charity Run Next Month!;Get your sneakers on for the charity run next month!...;Get your sneakers on for the charity run next month!
A Meditation and Yoga Session;A meditation and yoga session will be held every Sunday...;Start your week with some peace and tranquility
Mary Johnson to Speak about Latest Book at 4 PM;The local library is introducing 'author of the month' series...;Mary Johnson is the featured author of the month
Lost: A blue and white striped beach towel near lifeguard...;Lost: A blue and white striped beach towel, left on...;Lost: A blue and white striped beach towel
The City Park Department is Looking;The city park department is looking for volunteers to help...;Volunteers needed for planting flowers and cleaning up trails
Our local pet shelter is in;Our local pet shelter is in desperate need of foster...;Desperate need of foster homes for kittens
Seeking Volunteer Drivers for Weekly Grocery Shopping;The seniors' center is looking for volunteer drivers to help...;volunteer drivers needed for weekly grocery shopping trips
Community Alert: Reports of Suspicious Activities;Community Alert: There have been reports of suspicious activities in...;Reports of suspicious activities in the neighborhood watch area
I’m organizing a winter;I’m organizing a winter clothing drive for the homeless shelter...;Winter clothing drive for the homeless shelter downtown
Attention, pet owners!;Attention, pet owners! There have been reports of increased tick...;Increased tick activity in local parks
The water main on Jefferson Ave will be shut off...;Notice: The water main on Jefferson Ave will be shut...;Water main on Jefferson Ave shut off for emergency repairs
The annual River Cleanup;The annual river cleanup is happening this weekend. We're looking...;Volunteers needed for annual river cleanup this weekend
I’m trying to find a home for;I’m trying to find a home for a friendly stray...;I’m trying to find a home for a friendly stray...
The environmental club is leading a cleanup;The environmental club is leading a cleanup at Beachy Head...;Cleanup at Beachy Head this Saturday with provided supplies and...
A Community Garage Sale!;Heads up! A community garage sale is set for next...;Community Garage Sale Next Sunday at Pine Grove Park
Certified Sitter Available!;Experienced babysitter available! I'm certified in CPR and have five...;Experienced babysitter available!
I'm planning;I'm planning a plant exchange next month. Bring your cuttings,...;Plant exchange next month: Bring your cuttings, seedlings, or potted...
Lost Dog Alert: Missing from near Central Park since yesterday.;Lost Dog Alert: Missing from near Central Park since yesterday....;Lost Dog Alert: Missing from near Central Park since yesterday.
Street Fair this Saturday!;Street Fair this Saturday! Join us from noon to 5...;Street Fair this Saturday! Join us from noon to 5...
Important Discussions on Budget and New School Policies;Reminder: School board meeting tonight at 8 PM in the...;Important discussions on budget and new school policies.
The Book of the Month is 'The Great Gatsby';Book Lover's Club is meeting this Wednesday at the library....;Book Lover's Club is meeting this Wednesday at the library.
Yard Waste Pickup Starts This Friday;Yard waste pickup starts this Friday. Please have your leaves...;Yard waste pickup starts this Friday
A New Coffee Shop, Bean There, is Opening this Monday;A new coffee shop, Bean There, is opening on Elm...;Free coffee samples from 9 AM to 11 AM
Community Alert: Be on the lookout for suspicious activity near...;Community Alert: Be on the lookout for suspicious activity near...;Recent vandalism has been reported
Fitness Fun Day this Wednesday at 5 PM.;Fitness Fun Day at the Community Center this Wednesday at...;Fitness Fun Day at the Community Center this Wednesday at...
Seeking Volunteers for Local Food Pantry this Saturday;Seeking volunteers for the local food pantry this Saturday. Help...;Seeking volunteers for the local food pantry this Saturday
Got Extra Garden Tools?;Got extra garden tools? The community garden is accepting donations....;Drop them off at the tool shed any day this...
Raising Money for School Trip;My daughter is raising money for her school trip by...;raising money for her school trip by offering pet sitting...
Bike Sale: Selling several gently used bikes;Bike Sale: Selling several gently used bikes Saturday at 111...;Great deals for all ages!
Found Cat: Grey tabby near Willow Park...;Found Cat: Grey tabby found near Willow Park. Appears well...;Found Cat: Grey tabby found near Willow Park
Local Artist Showcase at the Art Center this Friday;Local artist showcase at the Art Center this Friday. Come...;Local artist showcase at the Art Center this Friday
Karaoke night at the Oak Tree Tavern!;Karaoke night at the Oak Tree Tavern this Thursday night!...;Karaoke night at the Oak Tree Tavern this Thursday night!
Free cooking class this Monday!;Free cooking class at the public kitchen this Monday. Learn...;Free cooking class at the public kitchen this Monday
Garage Sale Tips Workshop at the Community Hall;Garage Sale Tips Workshop at the Community Hall this Tuesday...;Garage Sale Tips Workshop at the Community Hall this Tuesday...
Need Help with Fall Leaf Removal?;Need help with fall leaf removal? Contact Jake at 555-2341....;Affordable rates for your gardens and driveways cleaning services
Historic Walk through Old Town this Saturday morning.;Join the Historic Walk through old town this Saturday morning....;Historic Walk through old town this Saturday morning
Puppy Training Sessions Start Next Week;Puppy Training Sessions start next week at the Animal Welfare...;Puppy Training Sessions start next week at the Animal Welfare...
Local Theater Auditions for 'Romeo and Juliet';Local theater group holding auditions for 'Romeo and Juliet'. Experienced...;Local theater group holding auditions for 'Romeo and Juliet'
