A;B;C
Roadworks on Main St. starting next week.;Traffic note: Roadworks on Main St. starting next week. Expect...;Roadworks on Main St. starting next week
Learn how to make Italian dishes from a professional chef.;Community cooking class: Learn how to make Italian dishes from...;Learn how to make Italian dishes from a professional chef
The Local Animal Shelter Is Seeking Donations;The local animal shelter is seeking donations of pet food,...;Seeking donations of pet food, blankets, and toys
Join Our Monthly Gardening Club This Saturday;Reminder for all gardening enthusiasts! Join our monthly gardening club...;Join our monthly gardening club this Saturday at the park
I Want to Join a Fantasy Football League;Does anyone want to join a fantasy football league? I'm...;join a fantasy football league
Bring Your Favorite Dish to the Community Potluck!;Community Potluck! Bring your favorite dish and join us at...;Community Potluck! Bring your favorite dish and join us at...
Fitness Challenge;Fitness Challenge: We are starting a community fitness challenge next...;Community fitness challenge: Join us to stay active and healthy
Opportunity to Volunteer!;Opportunity to Volunteer! Local food bank needs volunteers this weekend....;Local food bank needs volunteers this weekend
Book Club Alert: Our neighborhood book club is reading;Book Club Alert: Our neighborhood book club is reading 'The...;Join us for a vibrant discussion and some coffee
Jazz Nights Are Back at the Local Cafe;Jazz Nights are back at the local cafe! Come enjoy...;Jazz Nights are back at the local cafe!
A Golden Retriever Has Gone Missing;Lost Dog: A golden retriever named Buddy has gone missing...;Lost Dog: A golden retriever named Buddy has gone missing
Learn the basics of computer programming;Tech Workshop: Learn the basics of computer programming at our...;Learn the basics of computer programming at our free workshop
Yard Sale this Saturday!;Yard Sale this Saturday! Multiple houses participating on Maple Street....;Yard Sale this Saturday! Multiple houses participating on Maple Street.
Join us for a Photography Walk Next Sunday;Photography Club: Join us for a photography walk next Sunday....;Capture the beauty of our community
Joining a Weekend Cycling Group This Saturday;Cycling Group: Interested in joining a weekend cycling group? Meet...;Weekend cycling group at community center this Saturday morning
I'm Launching a Local Newsletter;I’m launching a local newsletter focused on community events, small...;launching a local newsletter focused on community events
Neighborhood Watch Meeting this Wednesday evening at;Neighborhood Watch Meeting: Keep our community safe by joining the...;Neighborhood Watch Meeting: Keep our community safe
Karaoke Night at the local bar this;Karaoke Night at the local bar this Thursday! Show off...;Karaoke Night at the local bar this Thursday!
School Registration is Open;Reminder: School registration is open. Please register your children for...;School registration is open
Learn how to create your own home decorations;DIY Workshop: Learn how to create your own home decorations...;Learn how to create your own home decorations
Road Closure Alert: Main Street;Road Closure Alert: Main Street will be closed this weekend...;Main Street will be closed this weekend for the annual...
Bring your kids to a delightful puppet show;Puppet Show for Kids: Bring your kids to the community...;delightful puppet show for Kids: Bring your kids to the...
Join us for a lecture on the history of;Historical Society Lecture: Join us for a lecture on the...;Lecture on the history of our town this Tuesday
Get in shape with our morning fitness boot;Fitness Bootcamp: Get in shape with our morning fitness boot...;Morning fitness boot camp at the park starts next week!
Garden Exchange: Swap plants and gardening tips next Saturday;Garden Exchange: Swap plants and gardening tips with fellow garden...;Swap plants and gardening tips with fellow garden enthusiasts
Volunteer at the Senior Center;Volunteer at the Senior Center: Spend time with our senior...;Volunteer at the Senior Center
Organic Gardening Workshop Next Month;Our community garden is hosting a workshop on organic gardening...;Organic gardening workshop next month
Art Exhibition;Art Exhibition: Local artists will be showcasing their work at...;Local artists will be showcasing their work at the downtown...
Cleanup Day: Join us for a;Cleanup Day: Join us for a community cleanup day next...;Community cleanup day: Keep our neighborhood beautiful!
Enjoy a night of laughs at the;Comedy Night: Enjoy a night of laughs at the comedy...;Enjoy a night of laughs at the comedy club
Free Health Screenings and Wellness Tips;Health Fair: Free health screenings and wellness tips available at...;Health Fair: Free health screenings and wellness tips available
A Recent Model Smartphone Was;Lost Phone: A recent model smartphone was found near the...;Lost Phone: A recent model smartphone was found near the...
Get Your Flu Shot;Seasonal Flu Shots: Get your flu shot at the local...;Weekend Flu Shots at Local Clinic: Protect Yourself and Family
Bake Sale;Bake Sale: Support our high school band by buying some...;Support our high school band by buying some delicious homemade...
Help green our neighborhood by joining the tree planting;Tree Planting: Help green our neighborhood by joining the tree...;Join the tree planting event next month
A Wallet was Found in Central Park;A wallet was found near the outdoor gym in Central...;Wallet found near Central Park's outdoor gym
Lost Cat: My Grey Tabby Has Been Missing;Lost cat: My grey tabby, Misty, has been missing since...;Lost cat: My grey tabby, Misty, has been missing since...
I've got a great home theater setup;Anyone interested in a weekly movie night at my place?...;Interested in a weekly movie night at my place?
The annual food drive starts next;The annual food drive for the local pantry starts next...;Annual food drive for local pantry starts next week
A small black notebook containing important research notes, last seen...;Lost: A small black notebook containing important research notes, last...;important research notes
Community Garden Plots Available for Upcoming Season;Our community garden has a few plots available for the...;Our community garden has a few plots available for the...
Set of keys in Lincoln Park;Found: Set of keys in Lincoln Park. Includes a keychain...;Set of keys in Lincoln Park. Includes a keychain with...
For Sale: Children's Bicycles in Good Condition;For sale: Children’s bicycles in good condition. Available in sizes...;Children’s bicycles in good condition
Hunting Season Reminder: Please be aware of increased;Hunting Season Reminder: Please be aware of increased hunting activity...;Please be aware of increased hunting activity in the surrounding...
Join us every Saturday at 10 AM in;Community Yoga Meetup: Join us every Saturday at 10 AM...;Community Yoga Meetup: Join us every Saturday at 10 AM...
Huge Sale this Saturday and Sunday;Garage Sale: Multiple families on Maple Street are coming together...;Multiple families on Maple Street are coming together for a...
Missing: Blue Parakeet;Missing: Blue parakeet named 'Sky'. Last seen around North Plaza....;Missing: Blue parakeet named 'Sky'
Seeking a reliable babysitter for Tuesday;Babysitter Needed: Seeking a reliable babysitter for Tuesday and Thursday...;Experience with toddlers preferred
