Subject Line A;Subject Line B
We're looking for local bands to perform at the upcoming...;Local Bands Wanted
My kids have outgrown their bicycles, and I'd like to...; Kids' bicycles for sale
Reminder to all residents: Please keep your dogs on a...; Dogs must be on a leash in public parks
The seniors' center is looking for volunteer drivers to help...; Volunteer drivers wanted for grocery shopping trips
Found a small drone in Lincoln Park near the playground....; Drone spotted in Lincoln Park playground
The city council is hosting a public forum on the...;The city council is hosting a public forum
Anyone missing a green parakeet? A little bird has been...; Green parakeet at my feeder
The annual children's book fair will be held at the...; Book Fair Volunteers Needed
I lost a silver bracelet somewhere between Park Avenue and...; Silver Treasure Found
We're planning a cleanup day for the community trails system....; Trails cleanup next Saturday
The local fire department will be conducting a controlled burn...; Please Keep Windows Closed to Avoid Smoke
Reminder: The community pool opens for the season this weekend!...; The community pool opens this weekend!
Please message me if interested.; Message me if interested
If anyone is interested in learning about or discussing sustainable...; Renewable Energy and More
The downtown art gallery is celebrating its 5th anniversary with...; Discover local art at downtown art gallery's anniversary
Reminder for all pet owners: The local park now requires...; Dogs must be leashed at the local park
The city library is launching a new lecture series focused...;The city library is launching a new lecture series focused...
Found a blue USB drive in the community center parking...; It looks important
Reminder: Please adhere to the recycling guidelines posted on our...; Proper sorting and community cleanliness
We are starting a neighborhood initiative to assist the elderly...;Volunteer for Neighborhood Initiative
There's a new art exhibition at the downtown gallery featuring...; New Exhibition
The annual Spring Fling Festival is seeking local vendors. If...; Spring Fling Festival Vendor Opportunities
Missing: One small drone, last seen flying near Maple Street...;Missing Drone
I'm organizing a winter clothing drive for the homeless shelter...; Help the homeless stay warm this winter
Heads up, the annual community cleanup will be this Saturday....; Community Cleanup This Saturday - Meet at Main Bridge
Community Alert: Be on the lookout for increased deer activity...; Drive cautiously especially during
I'm offering math tutoring for high school students. If your...; Evening Math Tutoring
If anyone finds a set of silver hoop earrings at...; Please help find earrings
Notice: The water main on Jefferson Ave will be shut...; Water Main Shut Off Tomorrow.
Found a child's stuffed bear in the park near the...;Found a child's stuffed bear
The local theater group is looking for props and vintage...; Vintage clothing and props needed for play
Our community's annual book fair is returning! We're currently accepting...; The Book Fair Is Back
A reminder that pet licenses need to be renewed by...; Pet Licenses Expire Soon
Volunteers needed for the community garden's fall planting event next...; Join Us for Fall Planting Event
Looking for a study buddy for German language exams. If...; Improve Our Skills
The high school jazz band will be giving a free...; Free Music at Town Square This Thursday
If you're an expert in crafting, consider leading a workshop...; Teach your craft at our community center this fall
The local food pantry is running low on supplies. We're...; Food supplies urgently needed
Free yoga classes are being offered at the park every...; Yoga classes in the park
Our neighborhood is organizing a car-free day next month to...;Car-Free Day
Lost: A gold bracelet in the vicinity of Pine Street...; Gold bracelet lost in Pine Street Market
The local volunteer fire department is hosting an open house...; Fire safety open house at the local volunteer fire department
Attention all tech enthusiasts: We're forming a new club to...; Latest software discussion
Heads up! There will be a temporary road closure on...; Weekend Road Closure
I found a set of house keys near the fountain...; Keys with a soccer ball
