Subject Line A;Subject Line B
The city is conducting a survey to understand the community's...; Future Developments
The local veterans' home is looking for volunteers to spend...; Companionship Needed
Reminder: The annual fireworks display for the Fourth of July...; Bring Blankets
The environmental club is leading a cleanup at Beachy Head...; Beachy Head cleanup this Saturday
Lost: A set of keys with a red fob, last...; Lost keys with red fob
Attention all runners: The community 5K is just around the...; The community 5K is just around the corner
The crafters guild is hosting a workshop on how to...; Candle Making Next Wednesday
Reminder: No parking on Main Street this Saturday due to...;Reminder: No parking on Main Street this Saturday due to...
The community orchestra is looking for musicians who play woodwind...;The community orchestra is looking for musicians
We're putting together a community quilt and looking for contributors....;We're putting together a community quilt
Found: A child's drawing pad filled with sketches, left behind...;Found: A child's drawing pad filled with sketches
The city is updating its zoning regulations. A public hearing...; The city is updating its zoning regulations
The downtown farmers' market is now open every Sunday from...; Downtown farmers' market open
Attention all pet owners: A free vaccination clinic for pets...;Free Vaccination Clinic
The local historical society is conducting a walking tour of...; Explore Historic Sites Up Close
Lost: A blue and white striped beach towel, left on...;Lost a blue and white striped beach towel
It has great sentimental value as it was a gift....;If found, please contact me
Found: A GoPro camera near the trails at Ridgeback Mountain....; Found camera with biking footage
The jazz ensemble from the community college will be performing...; Live music at the city park
Notice of power outages: Scheduled electrical maintenance will occur this...; Short-term disruptions
I've just started a blog about our neighborhood's history and...; Discover local history
Attention all pet owners: A free vaccination clinic for pets...;Free Vaccination Clinic for Pets
The local volunteer fire department is hosting an open house...; Open House Next Weekend
If anyone needs help setting up their new computers or...; Free Computer Services
Join us for a night at the movies in the...;Free Popcorn for the Early Birds
Reminder: The annual neighborhood garage sale is happening this Sunday...;Garage Sale
Get your sneakers on for the charity run next month!...;Get your sneakers on for the charity run
A meditation and yoga session will be held every Sunday...; Every Sunday morning at 9 AM
The local library is introducing 'author of the month' series...; Latest book talk
Lost: A blue and white striped beach towel, left on...;Lost: A blue and white striped beach towel
The city park department is looking for volunteers to help...;Beautify Public Spaces
Our local pet shelter is in desperate need of foster...; Help Needed for Local Pet Shelter
The seniors' center is looking for volunteer drivers to help...; Weekly Grocery Shopping
Community Alert: There have been reports of suspicious activities in...; Report Unusual Behavior
I'm organizing a winter clothing drive for the homeless shelter...; Coats, Hats, Gloves, and Scarves for the Homeless
Attention, pet owners! There have been reports of increased tick...; Check your pets after walks
Notice: The water main on Jefferson Ave will be shut...; Water Main Shut Off for Repairs
The annual river cleanup is happening this weekend. We're looking...; Cleanup this weekend
I'm trying to find a home for a friendly stray...; Home needed for a friendly stray cat
The environmental club is leading a cleanup at Beachy Head...; Cleanup at Beachy Head this Saturday
Heads up! A community garage sale is set for next...;Community Garage Sale
Experienced babysitter available! I'm certified in CPR and have five...; CPR certified sitter
I'm planning a plant exchange next month. Bring your cuttings,...; Bring Your Plants
Lost Dog Alert: Missing from near Central Park since yesterday....;Lost Dog Alert
Street Fair this Saturday! Join us from noon to 5...; Saturday Fun in Downtown
Reminder: School board meeting tonight at 8 PM in the...; Important discussions tonight
Book Lover's Club is meeting this Wednesday at the library....; The Great Gatsby
Yard waste pickup starts this Friday. Please have your leaves...; Get Ready for Yard Waste Pickup
A new coffee shop, Bean There, is opening on Elm...; Free Coffee for All
Community Alert: Be on the lookout for suspicious activity near...; Be On the Lookout
Fitness Fun Day at the Community Center this Wednesday at...; Fitness Fun Day this Wednesday
Seeking volunteers for the local food pantry this Saturday. Help...;Seeking Volunteers for Local Food Pantry
Got extra garden tools? The community garden is accepting donations....; Community garden accepts donations
My daughter is raising money for her school trip by...; Offer Pet Sitting Services
Bike Sale: Selling several gently used bikes Saturday at 111...; Great Deals for All Ages!
Found Cat: Grey tabby found near Willow Park. Appears well...;Grey tabby found near Willow Park
Local artist showcase at the Art Center this Friday. Come...; Local artist showcase this Friday evening
Karaoke night at the Oak Tree Tavern this Thursday night!...;Karaoke Night at the Oak Tree Tavern
Free cooking class at the public kitchen this Monday. Learn...; Register Early for Free Cooking
Garage Sale Tips Workshop at the Community Hall this Tuesday...; Pricing Items
Need help with fall leaf removal? Contact Jake at 555-2341....; Affordable Fall Leaf Removal Services
Join the Historic Walk through old town this Saturday morning....; Historic Walk this Saturday morning
Puppy Training Sessions start next week at the Animal Welfare...; Puppy Training Sessions
Local theater group holding auditions for 'Romeo and Juliet'. Experienced...; 'Romeo and Juliet' auditions
Anyone know of a good piano tuner in the area?...; Piano needs attention
