Subject Line A;Subject Line B
We're looking for local bands to perform at the upcoming...;Local Bands Wanted
My kids have outgrown their bicycles, and I'd like to...; Kids' bicycles for sale
Reminder to all residents: Please keep your dogs on a...; Dogs must be on a leash in public parks
The seniors' center is looking for volunteer drivers to help...; Volunteer drivers wanted for grocery shopping trips
Found a small drone in Lincoln Park near the playground....; Drone spotted in Lincoln Park playground
The city council is hosting a public forum on the...;The city council is hosting a public forum
Anyone missing a green parakeet? A little bird has been...; Green parakeet at my feeder
The annual children's book fair will be held at the...; Book Fair Volunteers Needed
I lost a silver bracelet somewhere between Park Avenue and...; Silver Treasure Found
We're planning a cleanup day for the community trails system....; Trails cleanup next Saturday
The local fire department will be conducting a controlled burn...; Please Keep Windows Closed to Avoid Smoke
Reminder: The community pool opens for the season this weekend!...; The community pool opens this weekend!
Please message me if interested.; Message me if interested
If anyone is interested in learning about or discussing sustainable...; Renewable Energy and More
The downtown art gallery is celebrating its 5th anniversary with...; Discover local art at downtown art gallery's anniversary
Reminder for all pet owners: The local park now requires...; Dogs must be leashed at the local park
The city library is launching a new lecture series focused...;The city library is launching a new lecture series focused...
Found a blue USB drive in the community center parking...; It looks important
Reminder: Please adhere to the recycling guidelines posted on our...; Proper sorting and community cleanliness
We are starting a neighborhood initiative to assist the elderly...;Volunteer for Neighborhood Initiative
There's a new art exhibition at the downtown gallery featuring...; New Exhibition
The annual Spring Fling Festival is seeking local vendors. If...; Spring Fling Festival Vendor Opportunities
Missing: One small drone, last seen flying near Maple Street...;Missing Drone
I'm organizing a winter clothing drive for the homeless shelter...; Help the homeless stay warm this winter
Heads up, the annual community cleanup will be this Saturday....; Community Cleanup This Saturday - Meet at Main Bridge
Community Alert: Be on the lookout for increased deer activity...; Drive cautiously especially during
I'm offering math tutoring for high school students. If your...; Evening Math Tutoring
If anyone finds a set of silver hoop earrings at...; Please help find earrings
Notice: The water main on Jefferson Ave will be shut...; Water Main Shut Off Tomorrow.
Found a child's stuffed bear in the park near the...;Found a child's stuffed bear
The local theater group is looking for props and vintage...; Vintage clothing and props needed for play
Our community's annual book fair is returning! We're currently accepting...; The Book Fair Is Back
A reminder that pet licenses need to be renewed by...; Pet Licenses Expire Soon
Volunteers needed for the community garden's fall planting event next...; Join Us for Fall Planting Event
Looking for a study buddy for German language exams. If...; Improve Our Skills
The high school jazz band will be giving a free...; Free Music at Town Square This Thursday
If you're an expert in crafting, consider leading a workshop...; Teach your craft at our community center this fall
The local food pantry is running low on supplies. We're...; Food supplies urgently needed
Free yoga classes are being offered at the park every...; Yoga classes in the park
Our neighborhood is organizing a car-free day next month to...;Car-Free Day
Lost: A gold bracelet in the vicinity of Pine Street...; Gold bracelet lost in Pine Street Market
The local volunteer fire department is hosting an open house...; Fire safety open house at the local volunteer fire department
Attention all tech enthusiasts: We're forming a new club to...; Latest software discussion
Heads up! There will be a temporary road closure on...; Weekend Road Closure
I found a set of house keys near the fountain...; Keys with a soccer ball
We're starting an indoor soccer league this winter and need...; Fill Out Our Roster
The annual community potluck is scheduled for next Saturday at...; Potluck at the park pavilion
Notice: The local museum will be closed for renovations starting...; Museum renovation updates
If anyone needs assistance with fall yard cleanup, our high...; Fall Yard Cleanup Fundraiser
Lost cat: A small black and white cat named Oreo...;LOST CAT: Small black and white cat named Oreo missing...
The youth soccer league is looking for coaches and referees...; No Experience Necessary - We Provide Training
The local historical society is hosting a lecture on the...; Lecture on our town's architectural history
Found: A small remote control car in the alley behind...;Found: A small remote control car
The annual haunted house fundraiser is back! We're looking for...; Haunted house fundraiser needs you
Community service reminder: Please keep sidewalks clear of leaves and...; Fall maintenance reminder
The local art gallery is seeking submissions for a community...; Special Exhibit Next Month
Good morning, fellow residents! We're organizing a clean-up day at...;Good morning, fellow residents!
I bake custom cakes for any occasion - birthdays, anniversaries, you name...; Custom cakes for any occasion
Found a digital camera at the viewpoint on Ridge Trail....; Digital camera contains vacation photos
Volunteers needed for the library's annual book sale. If you...; Library's annual book sale needs your help
Lost: A set of gold-rimmed reading glasses, possibly left in...; Reading glasses lost in park pavilion
Anyone interested in joining a weekly meal-prep group? We get...; Meal-prep group for busy weeks ahead
Found a set of car keys in the Westside Mall...;Found a set of car keys with Batman keychain
We are looking for guest speakers for our monthly virtual...; Share Your Knowledge at Virtual Technology Forum
Our local museum is currently seeking volunteers to help guide...;Volunteers Needed for Weekend Tours
The high school band is hosting a charity concert to...; School Auditorium
The city will be repaving several roads starting next week....;Expect detours and plan your routes accordingly
Our annual plant swap is happening next Saturday at the...; Botanical Gardens Event
My computer has been acting up, and I think it...; Computer virus alert
The community center is offering free CPR and first aid...;Free CPR and first aid training this month
Lost: A small drone, last seen near Pine Grove Park....; Reward for a drone
The local food bank is in urgent need of canned...; Donate canned goods and non-perishable items
"Join us for the annual ""Clean the Creek"" day next..."; Join us for Clean the Creek day
I'm offering tutoring services for middle and high school students...; Math and science help for students
The photography club is looking for new members! We meet...; Photography club meets every Wednesday evening.
"Missing cat: ""Whiskers,"" a fluffy white Persian, has been missing...";Missing Cat
The community theater is seeking donations of old costumes and...; Theater seeks donations of old costumes
There's a computer skills workshop focusing on basic skills like...; Basic Computer Skills Workshop
Found a small child's bike near the community center. It's...;Found a small child's bike near the community center
I'm offering guitar lessons in the evenings and weekends. Whether...; Guitar lessons for all levels
Our local fire station will be holding an open house...; Open house next Saturday
The neighborhood council is hosting a forum to discuss upcoming...; Join the community forum next Tuesday
A friendly reminder that property taxes are due at the...; Payments Due at the End of the Month
The local art league is hosting a weekend workshop on...; Weekend Watercolor Class
"The annual ""Books for Kids"" drive is happening now. We're...";Books for Kids
Attention all runners: The community 10K race is just around...; Join the morning of friendly competition
Lost drone alert: I lost my drone while taking aerial...; Drone alert in Riverside
Our local history group is seeking old photographs and stories...; Old photographs needed for town history exhibition
Found a smartphone in Central Park near the fountain. It's...;Found a smartphone in Central Park
The local community college is offering evening classes in web...; Evening Classes
Our community garden has a few plots available for the...; Community garden plots
"Our annual ""Light Up the Night"" holiday parade is seeking...";Light Up the Night Holiday Parade
If you've lost a pet, remember to check the animal...; Check the animal shelter for lost pets
The neighborhood association is planning a series of workshops on...; Home Energy Efficiency
The local symphony orchestra will be giving a free concert...; Free concert in the park this Sunday
Volunteers needed for our annual river regatta next month. We...; Join the Fun
Reminder: The community pool is now open for the season....; Community pool now open for the season
Lost a precious silver locket at the downtown market last...; Lost silver locket downtown
The local university extension is offering a series of lectures...; Free Lectures on Environmental Conservation
A note to all dog owners: Please clean up after...; Clean up after your pets
Found a pair of prescription glasses at the bus stop...; Prescription glasses found
I lost a small gold locket near the central plaza...; Last Thursday
"Join us for our annual ""Taste of the Town"" food..."; Taste of the Town
A stray dog has been seen roaming near the industrial...;Stray dog seen roaming near industrial area
The high school's annual art show is open to the...;The high school's annual art show
We're organizing a neighborhood carpool system to help reduce traffic...; Reduce Traffic and Pollution
The local library is starting a series of bi-weekly workshops...; Digital literacy workshops at the local library start soon
Please be advised that the annual maintenance of the town's...; Water System Maintenance Schedule
A brown leather briefcase was left in the cab of...; Left in Downtown Taxi
There's a community effort to restore the old mill and...; Cleaning and painting this weekend
The high school is collecting donations for their upcoming drama...;The high school is collecting donations
Our community garden plots are now available for the coming...; Planting season starts soon
We're looking for volunteers to help with the spring festival...;Join the Spring Festival Planning Committee
I found a set of keys near the lake trail,...;Found a set of keys with a red Swiss Army...
There will be a CPR and first aid training session...; Registration is free but required ahead of time
The monthly meeting of the town council will take place...;The monthly meeting of the town council will take place...
The local art club is holding an outdoor painting session...; Sunday Art Session
Our town's historical society is looking for volunteers to help...; Digitize Historical Documents
Missing: a small drone, last seen flying over Community Park....;Missing: a small drone
The community center's annual bake sale to support local homeless...; Annual Bake Sale
The road by the elementary school will be partially closed...; Partially Closed Road
The local veterans' association is organizing a charity run next...;Charity Run Next Month
A silver locket was found in the community hall following...;Found: Silver Locket
I just opened a yoga studio downtown and am offering...; Free yoga classes
The community orchestra has openings for violinists and cellists for...; Openings for Violinists and Cellists
"There is a recall on the ""Baker's Delight"" bread maker...";" Recall on ""Baker's Delight"" X100"
Lost cat: an orange tabby with a white chest, very...;Found a lost cat
We are initiating a neighborhood carpool program. If you're interested...; Join Our Neighborhood Carpool
There's a proposal to build a new playground at the...; Community park update
The annual community photo contest is now accepting entries. This...; Community Photo Contest
Volunteers are needed for the downtown clean-up day next Saturday....;Meet at the town square at 9 AM
The local book club is looking for new members to...;" ""Where the Crawdads Sing"" by Delia Owens"
A reminder to all residents to adhere to the recycling...; Recycling guidelines set by the city
The high school track and field team is hosting a...; Sparkling Clean Car Fundraiser This Sunday
Is anyone interested in a weekly game night? I was...; Fun Way to Unwind
There's a new exhibit on regional wildlife at the Natural...; New exhibit on regional wildlife
The community health clinic will be closed for renovations starting...; Clinic Renovations Starting
An orange and white bicycle was found locked outside the...;Orange and white bicycle found outside the library
The annual food drive for the local pantry starts next...; Check the community website
If anyone has expertise in repairing old radios, the school's...; Help with old radios for school production
The local animal shelter is offering discounted adoption fees this...; Adopt a New Friend
Reminder: Property taxes are due at the end of the...;Property Taxes Due
A wallet was found at the bus station on Main...;Wallet found at bus station
We're launching a weekend farmers' market starting this Saturday in...; Enjoy Fresh Produce
I've been practicing Spanish and I'm looking for someone to...; Spanish Conversation
Lost: A small black notebook containing important research notes, last...; Small black notebook with research
The city's annual jazz festival is looking for volunteers. If...;The city's annual jazz festival is looking for volunteers
The public library is discontinuing late fees on all children's...; No fees for borrowing books
If you're a homeowner interested in installing solar panels, the...; Free workshop on solar energy
Found a set of hiking poles near the trailhead of...; Lost hiking poles with blue grips
The local theatre company is in need of old suitcases...; Theatre company looking for suitcases and trunks
A free e-waste recycling event will be held at the...; Free e-waste recycling this Saturday at the community center
The community center is hosting a workshop on budget management...; Free Budget Management
Notice for garden enthusiasts: The annual flower and garden show...; Last-minute entries for the flower and garden show
A local high school's robotics club is showcasing their projects...;Young Inventors Showcase Their Creations
Our local theater group is looking for new members to...; Join our upcoming production
Attention parents: The community library is starting a new storytime...;Attention parents
If anyone is interested in participating in a community quilt...;Community Quilt Project
Lost during last weekend's festival: a small, digital camera. It's...;Lost digital camera
The downtown improvement committee is looking for volunteers to help...;The downtown improvement committee is looking for volunteers
Our local theater is looking for old 1920s-style costumes for...;The Great Gatsby
The annual community clean-up day is fast approaching. Gather at...; Community Clean-up Day
We have noticed an increase in litter in the park...; Use the bins provided
A reminder that the community potluck is happening this Sunday...; Sunday afternoon gathering
Local amateur astronomers are invited to join a night of...;Bring Your Telescopes
The youth center is in urgent need of sports equipment...;Youth Center Needs Sports Equipment
Exciting news for young parents and tots! Our community center...;Weekly Toddler Story Time
I have a bunch of moving boxes in good condition...; Free Moving Boxes Now Available
A set of keys was found this morning on Oak...;Keys Found on Oak Avenue
To anyone with expertise in tree pruning: The community orchard...; Pruning Expertise Needed
The local swim team is hosting tryouts next week for...; Local Swim Team Tryouts
If anyone is missing a drone, it was last seen...; Drone spotted in Riverside Park
The Historical Society is offering guided tours of the old...; Sunday tours of the old courthouse
Volunteers needed: The food bank is looking for help sorting...; Help make a difference
Reminder: Please keep your pets on a leash at all...; Public Safety
The community garden is organizing a harvest festival next month....; Community Garden Festival
Lost: A small drone with red markings, last seen near...; Lost: Drone near Maplewood Park
Reminder to all residents: Leaf and brush pickup is scheduled...; Leaf and brush pickup reminder
I'm a retired librarian and would love to start a...;Start a storytime for kids
A reading group is forming at the local library for...; Discuss Mystery Novels
The high school's annual art show is this weekend. Come...; Support local students and artists
Free health clinic this Saturday at the community center from...; Free health clinic services
Attention dog owners: A new dog park is opening next...; Dog owners rejoice
Found: A set of house keys with a novelty guitar...;Found: House keys with guitar keychain near public library
Local scout troops are holding a car wash fundraiser this...; Car Wash Fundraiser This Weekend
The community choir is looking for new members. No audition...;The community choir is looking for new members
If you're interested in learning how to make your own...; Soap Making Experience
The local museum is seeking volunteers for their upcoming exhibit...; Exhibit on transportation history
An outdoor yoga class will be held every morning at...; Free yoga in the morning
I found a set of keys near the bus stop...; Found keys near the bus stop
Reminder: Parking will be restricted on Main Street this Friday...;Parking will be restricted on Main Street this Friday for...
Lost: A child's teddy bear, near the fountain in Central...;Lost: A child's teddy bear
The local veterans' association is organizing a community picnic next...;Community Picnic
The neighborhood association is looking for articles and photos for...; Share your story for the community newsletter
A bicycle was found locked to a bench at the...;Blue mountain bike found at bus station
The community pottery studio is holding an open house event...; Pottery open house
Volunteers are needed for the downtown beautification project this spring....;Volunteers Needed for Downtown Beautification
Lost: Prescription glasses in a black case, possibly left on...; Prescription Glasses in Greenway Park
The local astronomy club is hosting a night of stargazing...; Experts on Hand
Found a backpack containing school books and a lunchbox at...;Found a backpack at Victory Park
I'm starting a fitness challenge group and looking for participants...;Starting a fitness challenge
A documentary film about the history of our town is...; Documentary film premiere at local theater
The annual River Run 5K is seeking sponsors. If your...;The annual River Run 5K is seeking sponsors
Reminder to all residents: The annual community survey is live....;The annual community survey is live
Lost: A small drone, last seen flying over Maple Park...; Lost drone with camera
The public library is starting a teen book club this...; Schedule for our book club
A workshop on native plants and their benefits to our...; Sign Up in Advance
If you've found a set of car keys with a...;Found car keys near high school
The local animal shelter is offering discounted microchipping services this...;Protect Your Pets
Community Alert: We've noticed an increase in bicycle thefts in...; Bike thefts on the rise
The community garden on Fifth Street is now accepting applications...; Fifth Street community garden plots
Anyone up for forming a local history club? We could...; Meet once a month to discuss our town's history
A reminder that the annual street cleaning will begin next...; Residential Area Cleaning
The jazz ensemble from the community college will be performing...; Jazz Performance at City Park
Found: A small pouch containing various crafting tools, left behind...;Found: Crafting tools
The city's transit authority will be holding a public hearing...; Bus route meeting
Lost during the fun run: a digital sports watch, black...; Found digital watch
The local theater is seeking old newspapers and magazines for...;The local theater seeks old newspapers
The high school robotics team is looking for local businesses...; High School Robotics Team Needs Sponsors
Free ESL classes will be offered every Monday and Wednesday...; Improve your English skills
The local beekeepers association is hosting a beginner's workshop on...; Learn About Beekeeping
A wallet was found near the outdoor gym in Central...;Wallet Found Near Outdoor Gym in Central Park
I make handmade jewelry and I'm thinking of setting up...; Handmade jewelry at farmers' market
Volunteers are needed to help set up and take down...; Sign Up Now
The high school's annual craft bazaar is next weekend. Come...;Handmade Gifts
Lost: a small drone with a red stripe, last seen...; Lost: a small drone with a red stripe
Reminder: Dog licenses must be renewed by the end of...;Reminder: Dog licenses must be renewed by the end of...
The city is planning a reforestation day next month. We're...; Reforestation day in local parks
A set of car keys with a novelty football keychain...;Found Car Keys
The community orchestra is inviting local musicians to join their...;Join the Community Orchestra
The local business association is hosting a networking event for...;Networking Event for Small Business Owners
Found: A pair of prescription glasses in a black case...;Found: A pair of prescription glasses
The town hall is exhibiting a collection of historical photographs...; Historical Photographs of Our Town
I've noticed a few stray dogs around the neighborhood recently....; Catching stray dogs
Lost: A children's backpack with cartoon characters, last seen at...;Lost: A children's backpack with cartoon characters
The local veterans' group is organizing a charity raffle to...; Support veterans' programs through charity raffle
The downtown area will be closed to vehicle traffic this...; Streets will be closed
Found: A small gold ring at the city park near...;Found: A small gold ring at the city park near...
Volunteers needed for the city's annual film festival. Roles include...; Annual Film Festival Volunteers Needed
The local botanical garden is starting a series of weekend...; Weekend Workshops
Reminder: The community center's swimming pool will be closed for...; The community center's swimming pool
The annual community art contest is now accepting entries. This...; Art Contest
A resident has reported a lost pet ferret in the...;Lost Pet Ferret
The local historical society is seeking donations of artifacts and...;Donations of artifacts and memorabilia sought
Is anyone else interested in sustainable living? I'm trying to...; Sustainable living tips
The community college is offering a series of free workshops...;Free Workshops on Financial Literacy
Found: A child's drawing pad with sketches, found on a...;Found: A child's drawing pad with superhero drawings
A reminder that next Saturday is the deadline for registering...; Register for the Community Soccer League
The downtown parking garage will be undergoing renovations starting next...; Parking Garage Renovations
A drone was found in the high school football field...;Drone Found in Football Field
The local senior center is looking for volunteers to help...;Volunteers Needed for Tech Tutoring Sessions
Lost: A silver locket near Cedar Mall, sentimental value, contains...; Lost: Silver Locket
The community theater's costume department is in urgent need of...;Costume Department in Urgent Need of Fabric Donations
Reminder: The quarterly bulk waste collection is scheduled for next...; Quarterly Waste Collection
"The public library is starting a new series called ""Meet..."; Discuss New Book
I'm a professional photographer offering mini photo sessions this weekend...; Photo Sessions in the Park
Found: A set of professional drawing tools in a leather...;Found: A set of professional drawing tools
The neighborhood park's new playground equipment installation has been completed....; The neighborhood park's playground equipment installation has been completed
Volunteers are needed for the upcoming Winter Festival. If you...; Winter Festival Volunteers Required
Lost: A wristwatch with a blue strap, last seen in...;Lost: A wristwatch with a blue strap
The local garden club is offering a free session on...; Winter gardening in our climate
The town's traffic lights at the intersection of Main and...; Upgrades at Main and Orchard
Reminder: Dog walking is not allowed on the artificial turf...; Keep facilities clean and safe
The community center is hosting a donation drive for school...;Drop off school supplies at the community center
Reminder: The city's annual tree planting event is happening this...; Meet at Greenway Park for tree planting
Found: A small silver bracelet near the bus stop on...;Found: A small silver bracelet
Looking for recommendations for a reliable babysitter in the area....; Reliable Babysitters in the Area
The community library's Wi-Fi will be upgraded this Thursday, leading...; Wi-Fi upgrade this Thursday
The local youth soccer club is looking for sponsors for...;Businesses Needed for Local Youth Soccer Club
Attention bird enthusiasts: Join us for a bird-watching walk through...; Meet at the west entrance
Lost: A pair of prescription sunglasses at Sunset Park. They...; Reward for Lost Sunglasses
The city council is seeking public feedback on the new...;Seeking Public Feedback
Volunteers needed for the community food bank this Friday. We're...; Volunteers needed for food bank
The high school drama club is performing their spring play,...; Spring Play Tickets Now Available
Found: A drone in Thompson Field, likely from a recent...;Found: A drone in Thompson Field
The neighborhood watch program is organizing a safety workshop focused...; Safety Workshop Next Tuesday
The annual book sale at the library is now accepting...; Donate used books to the library
Need a helping hand? I'm available for babysitting or pet...; Ideal for emergency errands
I accidentally ordered two of the same book online. It's...; Book bargain alert
Lost: A small gold earring with a blue gemstone, possibly...; Small gold earring with a blue gemstone
The city is conducting a survey to understand the community's...; Future Developments
The local veterans' home is looking for volunteers to spend...; Companionship Needed
Reminder: The annual fireworks display for the Fourth of July...; Bring Blankets
The environmental club is leading a cleanup at Beachy Head...; Beachy Head cleanup this Saturday
Lost: A set of keys with a red fob, last...; Lost keys with red fob
Attention all runners: The community 5K is just around the...; The community 5K is just around the corner
The crafters guild is hosting a workshop on how to...; Candle Making Next Wednesday
Reminder: No parking on Main Street this Saturday due to...;Reminder: No parking on Main Street this Saturday due to...
The community orchestra is looking for musicians who play woodwind...;The community orchestra is looking for musicians
We're putting together a community quilt and looking for contributors....;We're putting together a community quilt
Found: A child's drawing pad filled with sketches, left behind...;Found: A child's drawing pad filled with sketches
The city is updating its zoning regulations. A public hearing...; The city is updating its zoning regulations
The downtown farmers' market is now open every Sunday from...; Downtown farmers' market open
Attention all pet owners: A free vaccination clinic for pets...;Free Vaccination Clinic
The local historical society is conducting a walking tour of...; Explore Historic Sites Up Close
Lost: A blue and white striped beach towel, left on...;Lost a blue and white striped beach towel
It has great sentimental value as it was a gift....;If found, please contact me
Found: A GoPro camera near the trails at Ridgeback Mountain....; Found camera with biking footage
The jazz ensemble from the community college will be performing...; Live music at the city park
Notice of power outages: Scheduled electrical maintenance will occur this...; Short-term disruptions
I've just started a blog about our neighborhood's history and...; Discover local history
Attention all pet owners: A free vaccination clinic for pets...;Free Vaccination Clinic for Pets
The local volunteer fire department is hosting an open house...; Open House Next Weekend
If anyone needs help setting up their new computers or...; Free Computer Services
Join us for a night at the movies in the...;Free Popcorn for the Early Birds
Reminder: The annual neighborhood garage sale is happening this Sunday...;Garage Sale
Get your sneakers on for the charity run next month!...;Get your sneakers on for the charity run
A meditation and yoga session will be held every Sunday...; Every Sunday morning at 9 AM
The local library is introducing 'author of the month' series...; Latest book talk
Lost: A blue and white striped beach towel, left on...;Lost: A blue and white striped beach towel
The city park department is looking for volunteers to help...;Beautify Public Spaces
Our local pet shelter is in desperate need of foster...; Help Needed for Local Pet Shelter
The seniors' center is looking for volunteer drivers to help...; Weekly Grocery Shopping
Community Alert: There have been reports of suspicious activities in...; Report Unusual Behavior
I'm organizing a winter clothing drive for the homeless shelter...; Coats, Hats, Gloves, and Scarves for the Homeless
Attention, pet owners! There have been reports of increased tick...; Check your pets after walks
Notice: The water main on Jefferson Ave will be shut...; Water Main Shut Off for Repairs
The annual river cleanup is happening this weekend. We're looking...; Cleanup this weekend
I'm trying to find a home for a friendly stray...; Home needed for a friendly stray cat
The environmental club is leading a cleanup at Beachy Head...; Cleanup at Beachy Head this Saturday
Heads up! A community garage sale is set for next...;Community Garage Sale
Experienced babysitter available! I'm certified in CPR and have five...; CPR certified sitter
I'm planning a plant exchange next month. Bring your cuttings,...; Bring Your Plants
Lost Dog Alert: Missing from near Central Park since yesterday....;Lost Dog Alert
Street Fair this Saturday! Join us from noon to 5...; Saturday Fun in Downtown
Reminder: School board meeting tonight at 8 PM in the...; Important discussions tonight
Book Lover's Club is meeting this Wednesday at the library....; The Great Gatsby
Yard waste pickup starts this Friday. Please have your leaves...; Get Ready for Yard Waste Pickup
A new coffee shop, Bean There, is opening on Elm...; Free Coffee for All
Community Alert: Be on the lookout for suspicious activity near...; Be On the Lookout
Fitness Fun Day at the Community Center this Wednesday at...; Fitness Fun Day this Wednesday
Seeking volunteers for the local food pantry this Saturday. Help...;Seeking Volunteers for Local Food Pantry
Got extra garden tools? The community garden is accepting donations....; Community garden accepts donations
My daughter is raising money for her school trip by...; Offer Pet Sitting Services
Bike Sale: Selling several gently used bikes Saturday at 111...; Great Deals for All Ages!
Found Cat: Grey tabby found near Willow Park. Appears well...;Grey tabby found near Willow Park
Local artist showcase at the Art Center this Friday. Come...; Local artist showcase this Friday evening
Karaoke night at the Oak Tree Tavern this Thursday night!...;Karaoke Night at the Oak Tree Tavern
Free cooking class at the public kitchen this Monday. Learn...; Register Early for Free Cooking
Garage Sale Tips Workshop at the Community Hall this Tuesday...; Pricing Items
Need help with fall leaf removal? Contact Jake at 555-2341....; Affordable Fall Leaf Removal Services
Join the Historic Walk through old town this Saturday morning....; Historic Walk this Saturday morning
Puppy Training Sessions start next week at the Animal Welfare...; Puppy Training Sessions
Local theater group holding auditions for 'Romeo and Juliet'. Experienced...; 'Romeo and Juliet' auditions
Anyone know of a good piano tuner in the area?...; Piano needs attention
Neighborhood Watch Introduction meeting this Thursday at the town hall...; Introduction meeting this Thursday at the town hall
Annual Pancake Breakfast at the firehouse this weekend. Come enjoy...; Firehouse Pancake Breakfast
Lost Keys near Market Street. Set of car and house...; Lost Car and House Keys
I found a set of keys near the bus stop...; Found keys near the bus stop on Main Street
Found: A small pouch containing various crafting tools, left behind...;Found: Crafting Tools
Volunteers are needed for the downtown clean-up day next Saturday....; Downtown clean-up day
The local theater is holding auditions for its summer production...; Grease Production Looking for Talent
A friendly reminder that property taxes are due at the...; Reminder
Lost: A blue and white striped beach towel, left on...;Lost: A blue and white striped beach towel
I'm trying to find a home for a friendly stray...; Adopt a sweet stray cat
I'm offering free tech help for seniors this Friday at...; Free Tech Help
A wallet was found near the outdoor gym in Central...;Wallet Found in Central Park
The local art club is holding an outdoor painting session...; Creativity and Community
Attention, gardeners! The community garden is now accepting applications for...; Secure Your Spot for the Upcoming Growing Season
Lost: A gold bracelet in the vicinity of Pine Street...; A gold bracelet
The community college is offering a series of free workshops...;Financial literacy workshops
"The public library is starting a new series called ""Meet..."; Meet the Author
We're starting a community cycling group that will meet every...;Community Cycling Group
Our local history group is seeking old photographs and stories...; Share Your Memories
Lost: A small drone with a camera attachment was last...; Drone with camera seen near park
Volunteers needed! The community garden is looking for extra hands...;Volunteers Needed!
Let's clean up our beaches! I'm organizing a beach clean-up...;Let's clean up our beaches!
Reminder: The quarterly homeowner's association meeting will be held next...; Quarterly Meeting Reminder
Found: A set of keys near the playground. They have...; Found: A Set of Keys with a Red Keychain
The local school is collecting gently used books for their...; Gently used books needed for the book drive
Can anyone recommend a good electrician? My porch lights need...; Urgent repairs for porch lights
For sale: A barely-used mountain bike, suitable for teens or...; Mountain bike for sale
The neighborhood watch alerts you to a recent increase in...; Neighborhood Watch Alert
Pet adoption day this Saturday at the animal shelter! Come...; Pet adoption day this Saturday at
The local jazz club is featuring a new band this...; Live music with neighbors and friends
Annual charity run benefitting the children's hospital is coming up....; Sign up to participate
