Base Generation;Rules based generation
Missing friendly orange tabby cat near Elm Street;"We're missing a friendly orange tabby cat from our home...
"
Join us for stargazing at Hilltop Park this Wednesday;"Calling all amateur astronomers! Join us for a night of...
"
Volunteers needed for annual river cleanup this weekend;"The annual river cleanup is happening this weekend. We're looking...
"
Free computer setup and troubleshooting services this month;"If anyone needs help setting up their new computers or...
"
New choir group seeking singers of all abilities;"We are forming a new choir group in town and...
"
Found: A set of keys in the local supermarket parking lot;"Found: A set of keys in the parking lot of...
"
Neighborhood watch group seeking new members;"The neighborhood watch group is seeking new members. If you're...
"
Volunteers needed for the community garden spring planting day next Saturday.;"Volunteers needed for the community garden spring planting day next...
"
Reminder: The community pool opens for the season this weekend!;"Reminder: The community pool opens for the season this weekend!...
"
Interested in sustainable living practices? Join our casual meet-up group.;"If anyone is interested in learning about or discussing sustainable...
"
Celebrate the downtown art gallery's 5th anniversary at the open house.;"The downtown art gallery is celebrating its 5th anniversary with...
"
Offering lawn mowing services this summer with own equipment.;"IÂ’m offering lawn mowing services this summer. I have my...
"
Thank you for helping push my car out of the snow.;"To anyone who helped push my car out of the...
"
Lost cat: Our family's gray tabby, Whiskers, is missing.;"Lost cat: Our family's gray tabby, Whiskers, has been missing...
"
Community library's weekend reading program for kids starting.;"Our community library is starting a weekend reading program for...
"
Attention cyclists: City adding bike racks downtown.;"Attention cyclists: The city will be adding bike racks at...
"
Looking for advice on rainwater collection systems installation.;"Does anyone have experience with rainwater collection systems? I'm looking...
"
Calling all green thumbs! We're looking for guest contributors...;"Calling all green thumbs! We're looking for guest contributors to...
"
The annual community yard sale is scheduled for next Saturday...;"The annual community yard sale is scheduled for next Saturday...
"
A reminder that bulk trash pickup is happening next week.;"A reminder that bulk trash pickup is happening next week....
"
I found a set of car keys near the coffee shop...;"I found a set of car keys near the coffee...
"
We're starting a community cycling group that will meet every Sunday...;"We're starting a community cycling group that will meet every...
"
I recently moved here and I'm a professional carpenter...;"I recently moved here and I'm a professional carpenter looking...
"
The local theater is holding auditions for its summer production...;"The local theater is holding auditions for its summer production...
"
If anyone is interested in a weekly knitting and crochet group...;"If anyone is interested in a weekly knitting and crochet...
"
Our neighborhood watch is organizing a meeting to discuss recent concerns...;"Our neighborhood watch is organizing a meeting to discuss recent...
"
I'm offering free piano lessons for beginners.;"I'm offering free piano lessons for beginners. I have a...
"
Support the robotics team car wash fundraiser this Saturday!;"The local high school's robotics team is hosting a car...
"
Lost cat Misty missing near Willow Lane, microchipped and friendly;"Lost cat: My grey tabby, Misty, has been missing since...
"
Organize a book drive to restock the library after water damage;"I'm organizing a book drive to help restock the library...
"
Learn organic pest control methods at community garden workshop;"The community garden is offering a workshop on organic pest...
"
Claim found wallet at the community center near the fountain;"A black wallet was found in the park near the...
"
Submit demo track and bio for local bands festival performance;"We're looking for local bands to perform at the upcoming...
"
Give away kids bicycles in good condition to a family;"My kids have outgrown their bicycles, and I'd like to...
"
Reminder: Keep dogs on leash in public parks for safety;"Reminder to all residents: Please keep your dogs on a...
"
Volunteer drivers needed for seniors' center grocery trips;"The seniors' center is looking for volunteer drivers to help...
"
Found small drone in Lincoln Park with camera attached;"Found a small drone in Lincoln Park near the playground....
"
Attend the public forum on the new public transportation initiative.;"The city council is hosting a public forum on the...
"
Missing green parakeet? Contact if it might be yours.;"Anyone missing a green parakeet? A little bird has been...
"
Volunteers needed for annual children's book fair.;"The annual children's book fair will be held at the...
"
Lost silver bracelet, reward for its return.;"I lost a silver bracelet somewhere between Park Avenue and...
"
Join us for community trails cleanup day.;"We're planning a cleanup day for the community trails system....
"
Controlled burn in old forest preserve next Tuesday.;"The local fire department will be conducting a controlled burn...
"
Community pool opens for the season this weekend!;"Reminder: The community pool opens for the season this weekend!...
"
Interested? Message me.;"Please message me if interested.
"
Interested in sustainable living practices? Join the meet-up group.;"If anyone is interested in learning about or discussing sustainable...
"
Downtown art gallery 5th anniversary open house next Friday.;"The downtown art gallery is celebrating its 5th anniversary with...
"
Local park now requires all dogs to be on a leash at all times;"Reminder for all pet owners: The local park now requires...
"
City library launching new lecture series focused on local history;"The city library is launching a new lecture series focused...
"
Found a blue USB drive in the community center parking lot;"Found a blue USB drive in the community center parking...
"
Please adhere to the recycling guidelines for our town;"Reminder: Please adhere to the recycling guidelines posted on our...
"
Starting neighborhood initiative to assist the elderly with grocery shopping;"We are starting a neighborhood initiative to assist the elderly...
"
New art exhibition at downtown gallery featuring contemporary artists;"There's a new art exhibition at the downtown gallery featuring...
"
Annual Spring Fling Festival seeking local vendors;"The annual Spring Fling Festival is seeking local vendors. If...
"
Missing: One small drone last seen flying near Maple Street Park;"Missing: One small drone, last seen flying near Maple Street...
"
Organizing a winter clothing drive for the homeless shelter downtown;"IÂ’m organizing a winter clothing drive for the homeless shelter...
"
Heads up, annual community cleanup this Saturday;"Heads up, the annual community cleanup will be this Saturday....
"
Community Alert: Increased deer activity near wooded areas. Drive cautiously.;"Community Alert: Be on the lookout for increased deer activity...
"
Offering math tutoring for high school students in algebra, geometry, or calculus.;"IÂ’m offering math tutoring for high school students. If your...
"
Lost silver hoop earrings at community gym. Please let me know.;"If anyone finds a set of silver hoop earrings at...
"
Water main on Jefferson Ave shut off for emergency repairs.;"Notice: The water main on Jefferson Ave will be shut...
"
Found child's stuffed bear in the park near the playground.;"Found a child's stuffed bear in the park near the...
"
Local theater group looking for props and vintage clothing.;"The local theater group is looking for props and vintage...
"
Community's annual book fair returning! Accepting donations of books.;"Our community's annual book fair is returning! WeÂ’re currently accepting...
"
Pet licenses need to be renewed by end of this month.;"A reminder that pet licenses need to be renewed by...
"
Volunteers needed for community garden’s fall planting event.;"Volunteers needed for the community gardenÂ’s fall planting event next...
"
Looking for a study buddy for German language exams.;"Looking for a study buddy for German language exams. If...
"
High school jazz band giving free concert at town square...;"The high school jazz band will be giving a free...
"
Consider leading workshop at community center teaching sewing, pottery...;"If youÂ’re an expert in crafting, consider leading a workshop...
"
Urgent need of canned vegetables, peanut butter, and baby formula...;"The local food pantry is running low on supplies. We're...
"
Free yoga classes offered at park every Sunday morning...;"Free yoga classes are being offered at the park every...
"
Neighborhood organizing car-free day next month to promote walking...;"Our neighborhood is organizing a car-free day next month to...
"
Lost: A gold bracelet near Pine Street Market. Offering reward...;"Lost: A gold bracelet in the vicinity of Pine Street...
"
Local volunteer fire department hosting open house next weekend...;"The local volunteer fire department is hosting an open house...
"
Forming new club to discuss latest in technology. First meeting...;"Attention all tech enthusiasts: We're forming a new club to...
"
Temporary road closure on Elm Street this weekend due to...;"Heads up! There will be a temporary road closure on...
"
Found a set of house keys near fountain downtown...;"I found a set of house keys near the fountain...
"
Join our indoor soccer league this winter for Tuesday night games!;"WeÂ’re starting an indoor soccer league this winter and need...
"
Community potluck next Saturday at the park pavilion!;"The annual community potluck is scheduled for next Saturday at...
"
Local museum closed for renovations starting next week.;"Notice: The local museum will be closed for renovations starting...
"
High school service club students offering fall yard cleanup assistance.;"If anyone needs assistance with fall yard cleanup, our high...
"
Lost cat named Oreo missing from Grove Street.;"Lost cat: A small black and white cat named Oreo...
"
Youth soccer league needs coaches and referees!;"The youth soccer league is looking for coaches and referees...
"
Local historical society lecture on town's architectural history.;"The local historical society is hosting a lecture on the...
"
Found: Small red and black remote control car behind Main Street.;"Found: A small remote control car in the alley behind...
"
Annual haunted house fundraiser needs volunteers for setup and acting.;"The annual haunted house fundraiser is back! We're looking for...
"
Community service reminder: Keep sidewalks clear for fall safety.;"Community service reminder: Please keep sidewalks clear of leaves and...
"
"Seeking submissions for a community art project with theme ""Unity""";"The local art gallery is seeking submissions for a community...
"
Organizing a clean-up day at Liberty Park this Saturday;"Good morning, fellow residents! We're organizing a clean-up day at...
"
Bake custom cakes for any occasion—birthdays, anniversaries, you name it!;"I bake custom cakes for any occasionÂ—birthdays, anniversaries, you name...
"
Found a digital camera at the viewpoint on Ridge Trail;"Found a digital camera at the viewpoint on Ridge Trail....
"
Volunteers needed for the library’s annual book sale;"Volunteers needed for the libraryÂ’s annual book sale. If you...
"
Lost: A set of gold-rimmed reading glasses in the park;"Lost: A set of gold-rimmed reading glasses, possibly left in...
"
Interested in joining a weekly meal-prep group?;"Anyone interested in joining a weekly meal-prep group? We get...
"
Found a set of car keys in the Westside Mall parking lot;"Found a set of car keys in the Westside Mall...
"
Looking for guest speakers for our monthly technology forum;"We are looking for guest speakers for our monthly virtual...
"
Local museum seeks volunteers for weekend tours;"Our local museum is currently seeking volunteers to help guide...
"
Join us for a charity concert this Friday at 7 PM;"The high school band is hosting a charity concert to...
"
Expect detours on Pine, Maple, and First Avenue;"The city will be repaving several roads starting next week....
"
Join us for the annual plant swap next Saturday;"Our annual plant swap is happening next Saturday at the...
"
Need reliable computer repairs recommendation?;"My computer has been acting up, and I think it...
"
Free CPR and first aid training available this month;"The community center is offering free CPR and first aid...
"
Reward offered for lost small drone near Pine Grove Park;"Lost: A small drone, last seen near Pine Grove Park....
"
Urgent need for canned goods at the local food bank;"The local food bank is in urgent need of canned...
"
Join us for ;"Join us for the annual ""Clean the Creek"" day next...
"
Looking for new members at the photography club!;"I'm offering tutoring services for middle and high school students...
"
Offering tutoring services for middle and high school students;"The photography club is looking for new members! We meet...
"
Missing cat: Whiskers, a fluffy white Persian from Oak Street;"Missing cat: ""Whiskers,"" a fluffy white Persian, has been missing...
"
Donations needed for community theater production;"The community theater is seeking donations of old costumes and...
"
Computer skills workshop at the library this Thursday;"ThereÂ’s a computer skills workshop focusing on basic skills like...
"
Found child's bike near community center;"Found a small child's bike near the community center. It's...
"
Offering guitar lessons in evenings and weekends;"I'm offering guitar lessons in the evenings and weekends. Whether...
"
Local fire station open house next Saturday;"Our local fire station will be holding an open house...
"
Neighborhood council forum on upcoming development plans;"The neighborhood council is hosting a forum to discuss upcoming...
"
Property taxes due at end of the month;"A friendly reminder that property taxes are due at the...
"
Local art league workshop on watercolor techniques;"The local art league is hosting a weekend workshop on...
"
Books for Kids drive happening now;"The annual ""Books for Kids"" drive is happening now. We're...
"
Community 10K race registration open now!;"Attention all runners: The community 10K race is just around...
"
Lost drone alert: white drone with blue stripe missing.;"Lost drone alert: I lost my drone while taking aerial...
"
Local history group seeking old photos and stories.;"Our local history group is seeking old photographs and stories...
"
Found smartphone in Central Park—black case with sticker.;"Found a smartphone in Central Park near the fountain. It's...
"
Evening classes in web design and digital marketing available.;"The local community college is offering evening classes in web...
"
Community garden plots available for growing season.;"Our community garden has a few plots available for the...
"
Volunteers needed for ;"Our annual ""Light Up the Night"" holiday parade is seeking...
"
Check animal shelter for lost pets.;"If you've lost a pet, remember to check the animal...
"
Workshops on home energy efficiency coming soon.;"The neighborhood association is planning a series of workshops on...
"
Free symphony orchestra concert in the park this Sunday.;"The local symphony orchestra will be giving a free concert...
"
Volunteers needed for our annual river regatta;"Volunteers needed for our annual river regatta next month. We...
"
Reminder: Community pool is now open for the season;"Reminder: The community pool is now open for the season....
"
Lost a precious silver locket at the downtown market;"Lost a precious silver locket at the downtown market last...
"
Lectures on environmental conservation available for free;"The local university extension is offering a series of lectures...
"
Dog owners: Clean up after your pets in public areas;"A note to all dog owners: Please clean up after...
"
Found: Pair of prescription glasses at bus stop;"Found a pair of prescription glasses at the bus stop...
"
Lost small gold locket near Central Plaza last Thursday...;"I lost a small gold locket near the central plaza...
"
Join us for our annual food festival next weekend;"Join us for our annual ""Taste of the Town"" food...
"
Stray dog spotted near industrial area;"A stray dog has been seen roaming near the industrial...
"
High school's annual art show open to the public;"The high school's annual art show is open to the...
"
Neighborhood carpool system sign up for reducing traffic and pollution;"We're organizing a neighborhood carpool system to help reduce traffic...
"
Digital literacy workshops starting next month at local library;"The local library is starting a series of bi-weekly workshops...
"
Annual water system maintenance scheduled for next Tuesday;"Please be advised that the annual maintenance of the town's...
"
Brown leather briefcase left in downtown taxi last Friday night;"A brown leather briefcase was left in the cab of...
"
Community effort to restore old mill needs volunteers this weekend;"There's a community effort to restore the old mill and...
"
High school collecting donations for upcoming drama production;"The high school is collecting donations for their upcoming drama...
"
Community garden plots available for next planting season;"Our community garden plots are now available for the coming...
"
Volunteers needed for spring festival planning committee;"WeÂ’re looking for volunteers to help with the spring festival...
"
Found set of keys near lake trail with red Swiss Army knife attached;"I found a set of keys near the lake trail,...
"
CPR and first aid training session at community center this Saturday;"There will be a CPR and first aid training session...
"
Monthly town council meeting at town hall for park development;"The monthly meeting of the town council will take place...
"
Outdoor painting session at City Park with local art club;"The local art club is holding an outdoor painting session...
"
Volunteers needed to digitize old photos and documents;"Our town's historical society is looking for volunteers to help...
"
Missing: small drone with blue trim at Community Park;"Missing: a small drone, last seen flying over Community Park....
"
Annual bake sale at community center to support homeless shelters;"The community center's annual bake sale to support local homeless...
"
Road closure by elementary school for sidewalk repairs next week;"The road by the elementary school will be partially closed...
"
Veterans' association charity run seeking participants and volunteers;"The local veterans' association is organizing a charity run next...
"
Found: silver locket with photo inside at community hall;"A silver locket was found in the community hall following...
"
Free trial yoga classes offered at new downtown studio;"I just opened a yoga studio downtown and am offering...
"
Community orchestra auditions for violinists and cellists next month;"The community orchestra has openings for violinists and cellists for...
"
Recall on “Baker’s Delight” bread maker model X100 due to wiring issues.;"There is a recall on the Â“BakerÂ’s DelightÂ” bread maker...
"
Lost cat: an orange tabby with a white chest, very friendly, named Milo.;"Lost cat: an orange tabby with a white chest, very...
"
Initiating neighborhood carpool program. Interested in joining or learning more?;"We are initiating a neighborhood carpool program. If you're interested...
"
Proposal to build a new playground at the north end of community park.;"There's a proposal to build a new playground at the...
"
Annual community photo contest now accepting entries with theme “Life in Our Town.”;"The annual community photo contest is now accepting entries. This...
"
Volunteers needed for downtown clean-up day next Saturday. All supplies provided.;"Volunteers are needed for the downtown clean-up day next Saturday....
"
Local book club seeking new members for monthly discussions.;"The local book club is looking for new members to...
"
Reminder to adhere to recycling guidelines set by city council.;"A reminder to all residents to adhere to the recycling...
"
High school track and field team hosting car wash fundraiser this Sunday.;"The high school track and field team is hosting a...
"
Anyone interested in a weekly game night for fun and unwind?;"Is anyone interested in a weekly game night? I was...
"
New exhibit on regional wildlife at Natural History Museum next week;"There's a new exhibit on regional wildlife at the Natural...
"
Community health clinic closed for renovations from next Monday;"The community health clinic will be closed for renovations starting...
"
Orange and white bicycle found locked outside library without ID;"An orange and white bicycle was found locked outside the...
"
Annual food drive for local pantry starts next week;"The annual food drive for the local pantry starts next...
"
Expertise in repairing old radios needed for school's drama club;"If anyone has expertise in repairing old radios, the school's...
"
Local animal shelter offering discounted adoption fees this weekend;"The local animal shelter is offering discounted adoption fees this...
"
Property taxes due at end of the month;"Reminder: Property taxes are due at the end of the...
"
Community soccer league looking for referees for upcoming season;"The community soccer league is looking for referees for the...
"
Wallet found at bus station on Main Street yesterday evening;"A wallet was found at the bus station on Main...
"
Launching weekend farmers' market starting this Saturday;"We're launching a weekend farmers' market starting this Saturday in...
"
Looking for Language Exchange or Casual Chat Over Coffee;"I've been practicing Spanish and I'm looking for someone to...
"
IMPORTANT: Lost Black Notebook with Research Notes;"Lost: A small black notebook containing important research notes, last...
"
Volunteers Needed for City's Annual Jazz Festival;"The city's annual jazz festival is looking for volunteers. If...
"
No More Late Fees on Children's Books at Public Library;"The public library is discontinuing late fees on all children's...
"
Free Solar Energy Workshop for Homeowners;"If youÂ’re a homeowner interested in installing solar panels, the...
"
Found: Black hiking poles near Mount Parker trailhead;"Found a set of hiking poles near the trailhead of...
"
Needed: Old Suitcases and Trunks for Theatre Company;"The local theatre company is in need of old suitcases...
"
Free E-Waste Recycling Event This Saturday;"A free e-waste recycling event will be held at the...
"
Workshop on Budget Management and Personal Finance;"The community center is hosting a workshop on budget management...
"
Annual Flower and Garden Show Accepting Last-Minute Entries;"Notice for garden enthusiasts: The annual flower and garden show...
"
Support young inventors at robotics exhibition this weekend;"A local high school's robotics club is showcasing their projects...
"
Join local theater group for upcoming production;"Our local theater group is looking for new members to...
"
New storytime session for toddlers every Wednesday morning;"Attention parents: The community library is starting a new storytime...
"
Community quilt project needs your patches;"If anyone is interested in participating in a community quilt...
"
Lost digital camera with family photos;"Lost during last weekend's festival: a small, digital camera. ItÂ’s...
"
Volunteers needed for downtown mural painting;"The downtown improvement committee is looking for volunteers to help...
"
1920s-style costumes needed for local theater play;"Our local theater is looking for old 1920s-style costumes for...
"
Annual community clean-up day next Saturday at City Hall;"The annual community clean-up day is fast approaching. Gather at...
"
Help keep park areas clean and pleasant;"We have noticed an increase in litter in the park...
"
Community potluck happening this Sunday;"A reminder that the community potluck is happening this Sunday...
"
Local amateur astronomers invited to stargazing event at Hilltop Observatory;"Local amateur astronomers are invited to join a night of...
"
Youth center urgently needs sports equipment donations for after-school programs;"The youth center is in urgent need of sports equipment...
"
Exciting news for young parents and tots: Weekly Toddler Story Time;"Exciting news for young parents and tots! Our community center...
"
Moving boxes in good condition available for free pickup;"I have a bunch of moving boxes in good condition...
"
Found: Set of keys on Oak Avenue attached to green lanyard;"A set of keys was found this morning on Oak...
"
Seeking volunteers with expertise in tree pruning for orchard maintenance;"To anyone with expertise in tree pruning: The community orchard...
"
Local swim team hosting tryouts for all age groups next week;"The local swim team is hosting tryouts next week for...
"
Missing drone last seen stuck in tree near Riverside Park;"If anyone is missing a drone, it was last seen...
"
Historical Society offering guided tours of old courthouse every Sunday;"The Historical Society is offering guided tours of the old...
"
Volunteers needed: Help sorting donations at the food bank;"Volunteers needed: The food bank is looking for help sorting...
"
Please keep your pets on a leash in public spaces;"Reminder: Please keep your pets on a leash at all...
"
Volunteers needed for community garden harvest festival setup;"The community garden is organizing a harvest festival next month....
"
Lost small drone near Maplewood Park, contact for info;"Lost: A small drone with red markings, last seen near...
"
Leaf and brush pickup scheduled for next Monday;"Reminder to all residents: Leaf and brush pickup is scheduled...
"
Retired librarian starting storytime for kids at community center;"I'm a retired librarian and would love to start a...
"
Join local library's mystery novel reading group;"A reading group is forming at the local library for...
"
High school's annual art show this weekend, support local students;"The high school's annual art show is this weekend. Come...
"
Free health clinic this Saturday at community center;"Free health clinic this Saturday at the community center from...
"
New dog park opening next week on east side of town;"Attention dog owners: A new dog park is opening next...
"
Found house keys with novelty guitar keychain at library entrance;"Found: A set of house keys with a novelty guitar...
"
Support local scouts at car wash fundraiser this Sunday!;"Local scout troops are holding a car wash fundraiser this...
"
Join community choir for rehearsals at the hall.;"The community choir is looking for new members. No audition...
"
Learn to make your own soap at workshop next Saturday.;"If you're interested in learning how to make your own...
"
Volunteer for local museum's transportation exhibit.;"The local museum is seeking volunteers for their upcoming exhibit...
"
Outdoor yoga classes at Sunrise Park starting next week.;"An outdoor yoga class will be held every morning at...
"
Found: Keys near bus stop on Main Street.;"I found a set of keys near the bus stop...
"
Reminder: Parking restricted on Main Street this Friday.;"Reminder: Parking will be restricted on Main Street this Friday...
"
Lost: Child's teddy bear near fountain in Central Plaza.;"Lost: A child's teddy bear, near the fountain in Central...
"
Community picnic to honor service members next Saturday.;"The local veterans' association is organizing a community picnic next...
"
Submit articles for community newsletter by end of the month.;"The neighborhood association is looking for articles and photos for...
"
Bicycle found locked at bus station. Contact manager to claim.;"A bicycle was found locked to a bench at the...
"
Community pottery studio open house event next weekend. Try pottery!;"The community pottery studio is holding an open house event...
"
Volunteers needed for downtown beautification project this spring. Sign up!;"Volunteers are needed for the downtown beautification project this spring....
"
Lost: Prescription glasses at Greenway Park. Call if found.;"Lost: Prescription glasses in a black case, possibly left on...
"
Local astronomy club hosting night of stargazing at observatory.;"The local astronomy club is hosting a night of stargazing...
"
Backpack found at Victory Park. Contact office to claim.;"Found a backpack containing school books and a lunchbox at...
"
Starting fitness challenge group for a 90-day transformation.;"I'm starting a fitness challenge group and looking for participants...
"
Documentary film about town history premiering at local theater.;"A documentary film about the history of our town is...
"
Annual River Run 5K seeking sponsors. Contact event organizers!;"The annual River Run 5K is seeking sponsors. If your...
"
Reminder to all residents: Annual community survey is live. Provide feedback!;"Reminder to all residents: The annual community survey is live....
"
Lost: A small drone, last seen flying over Maple Park...;"Lost: A small drone, last seen flying over Maple Park...
"
Teen book club starting this summer. Join us for our first meeting!;"The public library is starting a teen book club this...
"
Workshop on native plants and their benefits at the nature center.;"A workshop on native plants and their benefits to our...
"
Call if you've found car keys near the high school.;"If you've found a set of car keys with a...
"
Discounted microchipping services at the local animal shelter.;"The local animal shelter is offering discounted microchipping services this...
"
Bicycle thefts on the rise in downtown. Secure your bikes!;"Community Alert: We've noticed an increase in bicycle thefts in...
"
Community garden accepting applications for new gardeners.;"The community garden on Fifth Street is now accepting applications...
"
Forming a local history club. Meet monthly to discuss town's history.;"Anyone up for forming a local history club? We could...
"
Annual street cleaning starting next week. Ensure vehicles are moved.;"A reminder that the annual street cleaning will begin next...
"
Jazz ensemble performing live at city park this Friday evening.;"The jazz ensemble from the community college will be performing...
"
Crafting tools found at arts and crafts fair. Contact now!;"Found: A small pouch containing various crafting tools, left behind...
"
Transit authority public hearing on bus routes next Thursday;"The city's transit authority will be holding a public hearing...
"
Lost sports watch at fun run. Reward offered for return.;"Lost during the fun run: a digital sports watch, black...
"
Local theater seeking old newspapers and magazines;"The local theater is seeking old newspapers and magazines for...
"
High school robotics team seeking local business sponsors;"The high school robotics team is looking for local businesses...
"
Free ESL classes offered at downtown community center;"Free ESL classes will be offered every Monday and Wednesday...
"
Beginner's beekeeping workshop this Saturday at apiary;"The local beekeepers association is hosting a beginner's workshop on...
"
Lost wallet near outdoor gym in Central Park;"A wallet was found near the outdoor gym in Central...
"
Handmade jewelry booth at local farmers' market;"I make handmade jewelry and I'm thinking of setting up...
"
Volunteers needed for Harvest Festival setup and takedown;"Volunteers are needed to help set up and take down...
"
Support our students at the high school's craft bazaar;"The high school's annual craft bazaar is next weekend. Come...
"
Important research footage found: small drone with red stripe;"Lost: a small drone with a red stripe, last seen...
"
Renew dog licenses by end of month online or in person;"Reminder: Dog licenses must be renewed by the end of...
"
Community members needed for reforestation day next month;"The city is planning a reforestation day next month. We're...
"
Claim lost car keys with novelty football keychain;"A set of car keys with a novelty football keychain...
"
Join local orchestra's spring concert series auditions;"The community orchestra is inviting local musicians to join their...
"
Networking event for small business owners next Tuesday;"The local business association is hosting a networking event for...
"
Claim found prescription glasses at community pool;"Found: A pair of prescription glasses in a black case...
"
View historical photographs of town at town hall exhibit;"The town hall is exhibiting a collection of historical photographs...
"
Stray dogs need help safely catching, checking for microchips;"I've noticed a few stray dogs around the neighborhood recently....
"
Lost: Children’s backpack with cartoon characters at public library.;"Lost: A childrenÂ’s backpack with cartoon characters, last seen at...
"
Charity raffle organized by local veterans' group.;"The local veterans' group is organizing a charity raffle to...
"
Downtown closed to vehicle traffic for open streets day.;"The downtown area will be closed to vehicle traffic this...
"
Found: Small gold ring at city park near statue.;"Found: A small gold ring at the city park near...
"
Volunteers needed for city’s annual film festival.;"Volunteers needed for the cityÂ’s annual film festival. Roles include...
"
Botanical garden starting weekend workshops on sustainable gardening.;"The local botanical garden is starting a series of weekend...
"
Community center's swimming pool closed for annual maintenance.;"Reminder: The community center's swimming pool will be closed for...
"
Annual community art contest accepting entries.;"The annual community art contest is now accepting entries. This...
"
Resident reports lost pet ferret in Oakridge Neighborhood.;"A resident has reported a lost pet ferret in the...
"
Historical society seeking donations of artifacts and memorabilia.;"The local historical society is seeking donations of artifacts and...
"
Organize group for sharing sustainable living tips;"Is anyone else interested in sustainable living? I'm trying to...
"
Free workshops on financial literacy at community college;"The community college is offering a series of free workshops...
"
Found: Child's drawing pad with superhero sketches;"Found: A childÂ’s drawing pad with sketches, found on a...
"
Deadline for registering for community soccer league approaching;"A reminder that next Saturday is the deadline for registering...
"
Downtown parking garage renovations starting next month;"The downtown parking garage will be undergoing renovations starting next...
"
Drone found in high school football field;"A drone was found in the high school football field...
"
Volunteers needed for senior center tech tutoring sessions;"The local senior center is looking for volunteers to help...
"
Lost: Silver locket near Cedar Mall with sentimental value;"Lost: A silver locket near Cedar Mall, sentimental value, contains...
"
Community theater urgently needs fabric donations for costumes;"The community theater's costume department is in urgent need of...
"
Quarterly bulk waste collection scheduled for next week;"Reminder: The quarterly bulk waste collection is scheduled for next...
"
Meet the Author this Friday at 5 PM;"The public library is starting a new series called ""Meet...
"
Mini photo sessions this weekend in the park;"I'm a professional photographer offering mini photo sessions this weekend...
"
Professional drawing tools found in art room;"Found: A set of professional drawing tools in a leather...
"
Neighborhood park's new playground open this weekend;"The neighborhood park's new playground equipment installation has been completed....
"
Volunteers needed for Winter Festival setup;"Volunteers are needed for the upcoming Winter Festival. If you...
"
Lost: Wristwatch with blue strap in gym locker room;"Lost: A wristwatch with a blue strap, last seen in...
"
Free session on winter gardening this Wednesday at 3 PM;"The local garden club is offering a free session on...
"
Town's traffic lights at Main and Orchard upgraded;"The town's traffic lights at the intersection of Main and...
"
Reminder: Dog walking not allowed on turf field;"Reminder: Dog walking is not allowed on the artificial turf...
"
Donation drive for school supplies at community center;"The community center is hosting a donation drive for school...
"
Reminder: Volunteers needed for the community food bank this Friday.;"Reminder: The cityÂ’s annual tree planting event is happening this...
"
Found: A small silver bracelet near the bus stop on Pine Street.;"Found: A small silver bracelet near the bus stop on...
"
Looking for recommendations for a reliable babysitter in the area.;"Looking for recommendations for a reliable babysitter in the area....
"
Attention bird enthusiasts: Join us for a bird-watching walk through Miller Woods.;"The community library's Wi-Fi will be upgraded this Thursday, leading...
"
Lost: A pair of prescription sunglasses at Sunset Park.;"The local youth soccer club is looking for sponsors for...
"
The city’s annual tree planting event is happening this Saturday at Greenway Park.;"Attention bird enthusiasts: Join us for a bird-watching walk through...
"
The community library's Wi-Fi will be upgraded this Thursday.;"Lost: A pair of prescription sunglasses at Sunset Park. They...
"
The local youth soccer club is looking for sponsors for the upcoming season.;"The city council is seeking public feedback on the new...
"
