Subject Line A;Subject Line B
Book Club Alert: Our neighborhood book club is reading 'The...; Coffee and discussion
Jazz Nights are back at the local cafe! Come enjoy...; Perfect way to relax
Lost Dog: A golden retriever named Buddy has gone missing...;Lost Dog
Tech Workshop: Learn the basics of computer programming at our...; Learn programming basics
Yard Sale this Saturday! Multiple houses participating on Maple Street....;Multiple houses participating on Maple Street
Photography Club: Join us for a photography walk next Sunday....; Learn Photography Tips
Cycling Group: Interested in joining a weekend cycling group? Meet...;Join Weekend Cycling Group
I'm launching a local newsletter focused on community events, small...; Community News
Neighborhood Watch Meeting: Keep our community safe by joining the...;Neighborhood Watch Meeting
Karaoke Night at the local bar this Thursday! Show off...; Karaoke Night at the local bar
Reminder: School registration is open. Please register your children for...; School registration reminder
DIY Workshop: Learn how to create your own home decorations...; DIY Workshop this Weekend
Road Closure Alert: Main Street will be closed this weekend...; Road Closure Alert: Main Street Closure
Puppet Show for Kids: Bring your kids to the community...; Community theater this weekend
Historical Society Lecture: Join us for a lecture on the...;Join us this Tuesday for a lecture on the history...
Fitness Bootcamp: Get in shape with our morning fitness boot...; Fitness boot camp at the park starts next week
Garden Exchange: Swap plants and gardening tips with fellow garden...; Swap plants and gardening tips with fellow garden enthusiasts
Volunteer at the Senior Center: Spend time with our senior...;Volunteer at the Senior Center
Our community garden is hosting a workshop on organic gardening...; Workshop on Organic Gardening
Art Exhibition: Local artists will be showcasing their work at...; This Weekend
Cleanup Day: Join us for a community cleanup day next...; Community Cleanup Day: Join us next month
Comedy Night: Enjoy a night of laughs at the comedy...; Comedy Night at the local club
Health Fair: Free health screenings and wellness tips available at...; Free Health Screenings and Wellness Tips
Lost Phone: A recent model smartphone was found near the...;Lost Phone
Seasonal Flu Shots: Get your flu shot at the local...;Get your flu shot this weekend
Bake Sale: Support our high school band by buying some...;Support our high school band
Tree Planting: Help green our neighborhood by joining the tree...;Tree Planting: Help green our neighborhood
A wallet was found near the outdoor gym in Central...;Found wallet near Central Park outdoor gym
Lost cat: My grey tabby, Misty, has been missing since...;Lost Cat
Anyone interested in a weekly movie night at my place?...; Movie Night at Home
The annual food drive for the local pantry starts next...; Food drive for the local pantry starts
Lost: A small black notebook containing important research notes, last...; Reward for lost notebook
Our community garden has a few plots available for the...; Community garden plots available now
Found: Set of keys in Lincoln Park. Includes a keychain...;Set of keys found in Lincoln Park
For sale: Children's bicycles in good condition. Available in sizes...; Children's Bicycles in Good Condition
Hunting Season Reminder: Please be aware of increased hunting activity...; Increased Hunting Activity
Community Yoga Meetup: Join us every Saturday at 10 AM...; Every Saturday at 10 AM
Garage Sale: Multiple families on Maple Street are coming together...;Garage Sale
Missing: Blue parakeet named 'Sky'. Last seen around North Plaza....;Blue parakeet named 'Sky' missing
Babysitter Needed: Seeking a reliable babysitter for Tuesday and Thursday...; Reliable babysitter needed
I'm trying to find a home for a friendly stray...; Cat adoption opportunity
