A;B
If Anyone Is Interested In A Weekly Knitting And Crochet...;If anyone is interested in a weekly knitting and crochet...
Vehicles Break-Ins Meeting;Our neighborhood watch is organizing a meeting to discuss recent...
I'm Offering Free Piano Lessons for Beginners;I'm offering free piano lessons for beginners. I have a...
Car Wash Fundraiser This Saturday;The local high school's robotics team is hosting a car...
LOST CAT: Grey Tabby Missing Since Yesterday;Lost cat: My grey tabby, Misty, has been missing since...
I'm Organizing a Book Drive to Help Restock the Library...;I'm organizing a book drive to help restock the library...
Organic Pest Control Methods;The community garden is offering a workshop on organic pest...
A Black Wallet Found in the Park;A black wallet was found in the park near the...
Local Bands Wanted for Community Festival;We're looking for local bands to perform at the upcoming...
My Kids Have Outgrown Their Bicycles;My kids have outgrown their bicycles, and I'd like to...
Please Keep Your Dogs On A Leash;Reminder to all residents: Please keep your dogs on a...
The seniors' center needs volunteer drivers for weekly grocery shopping...;The seniors' center is looking for volunteer drivers to help...
FOUND A SMALL DRONE IN LINCOLN PARK;Found a small drone in Lincoln Park near the playground....
The City Council is Hosting a Public Forum on the...;The city council is hosting a public forum on the...
Anyone Missing a Green Parakeet?;Anyone missing a green parakeet? A little bird has been...
The annual children's book fair will be held at the...;The annual children's book fair will be held at the...
I LOST A SILVER BRACELET;I lost a silver bracelet somewhere between Park Avenue and...
Meet at the trailhead parking lot at 9 AM next...;We're planning a cleanup day for the community trails system....
Controlled Burn in the North Section of the Old Forest...;The local fire department will be conducting a controlled burn...
The Community Pool Opens for the Season This Weekend!;Reminder: The community pool opens for the season this weekend!...
Please Message Me If Interested;Please message me if interested.
If Anyone Is Interested In Learning About Or Discussing Sustainable...;If anyone is interested in learning about or discussing sustainable...
The Downtown Art Gallery Celebrating Its 5th Anniversary;The downtown art gallery is celebrating its 5th anniversary with...
The local park now requires all dogs to be on...;Reminder for all pet owners: The local park now requires...
The City Library's New Lecture Series;The city library is launching a new lecture series focused...
Found a blue USB drive in the community center parking...;Found a blue USB drive in the community center parking...
Proper Sorting Helps Reduce Waste;Reminder: Please adhere to the recycling guidelines posted on our...
We Are Starting A Neighborhood Initiative;We are starting a neighborhood initiative to assist the elderly...
There's a new art exhibition at the downtown gallery featuring...;There's a new art exhibition at the downtown gallery featuring...
Annual Spring Fling Festival Seeking Local Vendors;The annual Spring Fling Festival is seeking local vendors. If...
One small drone, last seen flying near Maple Street Park.;Missing: One small drone, last seen flying near Maple Street...
Iâ€™m Organizing a Winter Clothing Drive for the Homeless Shelter...;I’m organizing a winter clothing drive for the homeless shelter...
Heads Up: Community Cleanup This Saturday;Heads up, the annual community cleanup will be this Saturday....
Be on the lookout for increased deer activity near the...;Community Alert: Be on the lookout for increased deer activity...
Iâ€™m Offering Math Tutoring for High School Students;I’m offering math tutoring for high school students. If your...
If anyone finds a set of silver hoop earrings at...;If anyone finds a set of silver hoop earrings at...
Notice: The water main on Jefferson Ave will be shut...;Notice: The water main on Jefferson Ave will be shut...
Found a child's stuffed bear in the park near the...;Found a child's stuffed bear in the park near the...
The Local Theater Group Needs Your Help;The local theater group is looking for props and vintage...
Our community's annual book fair is returning!;Our community's annual book fair is returning! We’re currently accepting...
Reminder: Pet Licenses Need to Be Renewed;A reminder that pet licenses need to be renewed by...
Volunteers needed for the community garden's fall planting event next...;Volunteers needed for the community garden’s fall planting event next...
Let's ace these exams together;Looking for a study buddy for German language exams. If...
Free Concert at Town Square this Thursday at 7 PM;The high school jazz band will be giving a free...
If you're an expert in crafting;If you’re an expert in crafting, consider leading a workshop...
Urgent Need of Canned Vegetables, Peanut Butter, and Baby Formula;The local food pantry is running low on supplies. We're...
Free yoga classes every Sunday morning at 9 AM.;Free yoga classes are being offered at the park every...
Join Us in a Car-Free Day for a Safer Neighborhood;Our neighborhood is organizing a car-free day next month to...
Lost: A gold bracelet in the vicinity of Pine Street...;Lost: A gold bracelet in the vicinity of Pine Street...
Tour the Station, Meet the Firefighters, and Learn About Fire...;The local volunteer fire department is hosting an open house...
Attention all tech enthusiasts;Attention all tech enthusiasts: We're forming a new club to...
Heads Up! There Will Be a Temporary Road Closure on...;Heads up! There will be a temporary road closure on...
I FOUND A SET OF HOUSE KEYS NEAR THE FOUNTAIN...;I found a set of house keys near the fountain...
